001	質問です！　あなたは聖教騎士団に<br>どんなイメージを抱いていますか？
051	ていうか、盗賊が白昼堂々<br>リクルーティングしてる件はいいんすか？<br>就活生もついてっちゃったし	EQ_APRILFOOL2022_02_a_2d.stknight_b_2022april_0013
052	…彼らは聖教騎士の理念を<br>正しく理解できていないだけだ	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0052
053	若さゆえ、甘い誘惑に乗ることはある<br>そんな若者を導くことこそ大人の使命	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0053
054	そうだとも！　<br>心を尽くして誠実に話し合えば<br>きっと彼らもわかってくれるはず！	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0054
055	一生をかけられる仕事として<br>聖教騎士がいかにやりがいがあるかを<br>そして、聖教騎士になりたいと――	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0055
056	ベルトラン様…<br>今はもうそういう時代じゃないんですよ<br>仕事に求めるのは…安定です	EQ_APRILFOOL2022_02_a_2d.stknight_a_2022april_0030
057	…！	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0056
058	あ、定時なんで上がりますね<br>おつかれさまですー	EQ_APRILFOOL2022_02_a_2d.stknight_b_2022april_0014
059	おつかれさまですー	EQ_APRILFOOL2022_02_a_2d.stknight_f_2022april_0001
060	あ、ちょっとお前ら<br>まだ巡回99件残って――　	EQ_APRILFOOL2022_02_a_2d.stknight_a_2022april_0031
061	…………	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0057
062	…………	EQ_APRILFOOL2022_02_a_2d.stknight_a_2022april_0032
063	そういう時代じゃない、か…	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0058
064	私が信じて貫いてきた道は、<br>時代遅れだというのか…	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0059
065	ベルトラン様…	EQ_APRILFOOL2022_02_a_2d.stknight_a_2022april_0033
066	…それでも私は、<br>自分の正義を貫いてみせる	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0060
067	な、なんだお前は!?	EQ_APRILFOOL2022_02_a_2d.thief_2022april_0005
068	げ！　さっきのヤバい聖教騎士！	EQ_APRILFOOL2022_02_a_2d.thief_y_2022april_0001
069	大陸の平和の為、道を誤った若者を正す為<br>そしてなにより、民の笑顔の為…<br>私は…戦い続けるのだ!!	EQ_APRILFOOL2022_02_a_2d.bertrand_2022april_0061
