AF_ARMS_POK_CASS01_00_EXPR	カシウス
AF_ARMS_SWO_TYRHUNG_EXPR	能力:物攻・器用さ・運アップ、確率で攻撃禁止効果、ティルフィング、ブラックキラーズティルフィングが装備するとマスターアビリティ『ショックトゥキル』使用可能(敵に光属性の斬撃攻撃&自身にクロックアップ効果&対人特効[射程:1,高低差:1])、★5進化時にティルフィングがジョブ『ホーリーナイト【ギア】』『戦剣姫』で装備するとマスターアビリティ『キリングトゥギア』使用可能(マップ出現時にジュエル自動回復効果)、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを斬撃攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを斬撃耐性アップに変更
AF_ARMS_SWO_TYRHUNG_FLAVOR	願いを叶えるとされる魔剣。ティルフィ<br>ングのキラーズと同じ物で出来ている。<br>ティルフィングの名を持つ者が装備する<br>とキラーズとアルケミィが反応し、特別<br>な力を発揮すると言われている。
AF_ARMS_SWO_TYRHUNG_FILTER_KEYWORD	ファントムオブキル,ファンキル,ティルフィング,ブラックキラーズ,黒ティルフィング
AF_ARMS_SWO_LAEVATEIN_EXPR	能力:物攻・会心アップ、確率で移動禁止効果、レーヴァテインが装備するとマスターアビリティ『ひとりでできるし！』使用可能(敵に闇属性の斬撃攻撃&次ターン自身の移動力+1[射程1,高低差:1])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを斬撃攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを斬撃耐性アップに変更
AF_ARMS_SWO_LAEVATEIN_FLAVOR	世界を焼き尽くしたとされる魔剣。レー<br>ヴァテインのキラーズと同じ物で出来て<br>いる。レーヴァテインの名を持つ者が装<br>備するとキラーズとアルケミィが反応し<br>特別な力を発揮すると言われている。
AF_ARMS_SWO_LAEVATEIN_FILTER_KEYWORD	ファントムオブキル,ファンキル,レーヴァテイン,黒レーヴァテイン
AF_ARMS_SWO_DANDELGA_EXPR	能力:HP上限・物攻・獲得ジュエルアップ、確率で睡眠効果、ヴァルガスが装備するとマスターアビリティ『ファイナルバースト』使用可能(敵に火属性の斬撃攻撃&3ターン自身の物攻2倍[射程1,高低差:2])
AF_ARMS_SWO_DANDELGA_FLAVOR	六英雄の一人“ヴァルガス”が私用した<br>大剣。ヴァルガスのブレイブが込められ<br>ている。ヴァルガスの名を持つ者が装備<br>するとブレイブとアルケミィが反応し特<br>別な力を発揮すると言われている。
AF_ARMS_SWO_DANDELGA_FILTER_KEYWORD	ブレフロ,ブレイブフロンティア,ヴァルガス
AF_ARMS_SWO_LEQSIDA_EXPR	能力:物攻・物防アップ、確率で鈍足効果、セレナが装備するとマスターアビリティ『ラストブリザード』(敵に自身の物防が高いほど強力な水属性の斬撃攻撃&3ターン自身の物防2倍[射程1,高低差:2])使用可能、★5進化時に『聖騎士』『ホーリーナイト』『氷剣士』『氷輝姫』が装備すると『氷創神の希求』（マップ出現時に自身の最大HPアップ&HP上昇分回復&物防アップ）使用可能
AF_ARMS_SWO_LEQSIDA_FLAVOR	六英雄の一人“セレナ”が使用した美し<br>い長剣。セレナのブレイブが込められて<br>いる。セレナの名を持つ者が装備すると<br>ブレイブとアルケミィが反応し、特別な<br>力を発揮すると言われている。
AF_ARMS_SWO_LEQSIDA_FILTER_KEYWORD	ブレフロ,ブレイブフロンティア,セレナ
AF_ARMS_KNI_SABARETA_EXPR	能力:HP上限・物攻・素早さアップ、確率で攻撃禁止効果、サバレタが装備するとマスターアビリティ『魔人召喚』使用可能(範囲内の敵に闇属性の斬撃攻撃&3ターン自身の物防2倍&強力な魔人特効[射程:3,範囲:十字1マス,高低差:2])サバレタが装備するとマスターアビリティ『魔人覚醒』使用可能(5ターン魔人を召喚し使役する&HP全回復&全パラメータアップ&アビリティが変化)
AF_ARMS_KNI_SABARETA_FLAVOR	一族に伝わる古い懐刀。サバレタの愛用<br>の短剣。その刃は触れた指が落ちてしま<br>うほど研ぎ澄まされており、防具の隙間<br>に突き立てることで、重装備をした相手<br>すら動けなくすると言われている。
AF_ARMS_KNI_SABARETA_FILTER_KEYWORD	サバレタ
AF_ARMS_GUN_01_EXPR	能力:物攻・器用さアップ、確率で麻痺効果
AF_ARMS_GUN_01_FLAVOR	スロウスシュタインのガンスミス作成の<br>逸品。男性ガンナーに人気の黄色のライ<br>ンが特徴的な二丁一対の拳銃。この銃で<br>魔弾を放つと、銃に施された効果を発揮<br>し、撃った相手を稀に麻痺させる。
AF_ARMS_GUN_02_EXPR	能力:物攻・器用さ・会心アップ、確率で魅了効果
AF_ARMS_GUN_02_FLAVOR	スロウスシュタインのガンスミス作成の<br>逸品。女性ガンナーに人気のピンクのラ<br>インが特徴的な二丁一対の拳銃。この銃<br>で魔弾を放つと、銃に施された効果を発<br>揮し、撃った相手を稀に魅了する。
AF_ARMS_LAN_01_EXPR	能力:物攻・会心アップ、確率で麻痺効果
AF_ARMS_LAN_01_FLAVOR	古代錬金時代に使われていたとされる、<br>ランスのレプリカ。ボディにあたる部分<br>は魔道素材で作られており、力を発揮す<br>ると黄金色に輝く。そのまばゆい輝きに<br>目を奪われると稀に麻痺状態に陥る。
AF_ARMS_LAN_02_EXPR	能力:物攻・会心・器用さアップ、確率で魅了効果
AF_ARMS_LAN_02_FLAVOR	古代錬金時代に使われていたとされる、<br>ランスのレプリカ。ボディにあたる部分<br>は魔道素材で作られており、力を発揮す<br>ると桜色に輝く。その妖艶な輝きを目の<br>当たりにすると稀に魅了されるという。
AF_ARMO_ARMOR_01_EXPR	能力:HP上限・物防・魔防・ストップ耐性アップ
AF_ARMO_ARMOR_01_FLAVOR	歴史に名を残す遠征軍の一団が使ってい<br>たとされる鎧。サガ地方に生息する希少<br>植物の繊維が使われており、防御力が上<br>がるのみでなく、奇術師が使う“時を止<br>める魔法”を防ぐことができるらしい。
AF_ARMO_SHIELD_01_EXPR	能力:HP上限・物防・デバフ耐性アップ
AF_ARMO_SHIELD_01_FLAVOR	耳を澄ますと不思議な声が聞こえると言<br>われる盾。声の実態は埋め込まれた十文<br>字鋼が放つ微細な振動。その振動が装備<br>者をさまざま攻撃から守るという。材料<br>の鋼の数が少ないため高級品である。
AF_ARMO_ARMOR_02_EXPR	能力:HP上限・物防・魔防・光属性耐性アップ
AF_ARMO_ARMOR_02_FLAVOR	ラーストリス騎士団に、代々伝わる鎧。<br>戦場で死んだ兵士の憤怒の感情が、鎧に<br>込められている。装着すると憤怒の感情<br>に支配され、強大な力を得ると言われて<br>いる。危険なため女性は装備できない。
AF_ARMO_ARMOR_02_FILTER_KEYWORD	ザハル,サバレタ,ネヴィル,ブラド,カイザル
AF_ARMO_SUM_ROBE_01_EXPR	能力:HP上限・物防・魔防・光属性耐性アップ
AF_ARMO_SUM_ROBE_01_FLAVOR	ラーストリス騎士団に代々伝わる外套。<br>戦場で死んだ兵士の憤怒の感情が込めら<br>れている。装着すると憤怒の感情を受け<br>て強大な力を得るという。女性にのみ、<br>その感情の支配が叶うと言われている。
AF_ARMS_SWO_CADANOVA_EXPR	能力:HP上限・物攻・火属性耐性・獲得ジュエルアップ、確率で魔防アップ、カダノバが装備するとマスターアビリティ『紅蓮秘剣・焔』使用可能(敵に火属性の斬撃攻撃&火属性耐性アップ[射程1,高低差:1])、カノン(※カノンver．決戦礼装は使用不可)が装備するとマスターアビリティ『ミラクルカノンスラッシュ』使用可能(敵に光属性の斬撃攻撃&物攻アップ[射程1,高低差:1])
AF_ARMS_SWO_CADANOVA_FLAVOR	“焔竜王”の異名で知られるカダノバが<br>愛用した剣。カダノバと同等の“聖教騎<br>士としての心”を持つものが手にすると<br>アルケミィが反応し、刃が炎に包まれ、<br>特別な力を発揮すると言われている。
AF_ARMS_SWO_CADANOVA_FILTER_KEYWORD	カダノバ,カノン
AF_ARMS_ROD_WIZARD_DAI_EXPR	能力:魔攻・魔防・初期ジュエルアップ、確率で攻撃禁止効果
AF_ARMS_ROD_WIZARD_DAI_FLAVOR	魔道士の長が愛用していたという権杖。<br>中央の赤い鉱石は固体から液体へと常に<br>状態変化を繰り返しており、物質として<br>安定していない。その影響か、攻撃され<br>た者の動きを止めることがある。
AF_ARMS_WEDSWO_PINK_EXPR	能力:物攻・魔攻・素早さアップ、確率で魅了効果
AF_ARMS_WEDSWO_PINK_FLAVOR	夫婦の誓いをたて、祝福を受けた者だけ<br>が手にできる武器。相手を虜にする輝き<br>に包まれており、切りつけた者を魅了す<br>ることがある。好きな異性への想いを力<br>とするとされ、恋する者を後押しする。
AF_ARMS_WEDSWO_DAT_EXPR	能力:物攻・魔攻アップ、確率で移動禁止効果
AF_ARMS_WEDSWO_DAT_FLAVOR	夫婦の誓いをたて、祝福を受けた者だけ<br>が手にできる武器。決して惑わされぬ意<br>志の光で、切りつけた者の動きを封じる<br>ことがある。好きな異性への想いを力と<br>するとされ、恋する者を後押しする。
AF_ARMS_SWO_CLOE_EXPR	能力:HP上限・物攻・会心アップ、確率でクロックアップ効果、クロエが装備するとマスターアビリティ『クリスタルブレイク』使用可能(敵に光属性の斬撃攻撃&1回攻撃するまで自身の物防4倍[射程1,高低差:1])、クロエ(ダークファントムver)が装備するとマスターアビリティ『憤怒の纏い』使用可能(HP自動回復効果&隣接する味方がいる場合、隣接する味方と自身の物攻・物防・範囲攻撃耐性アップ)
AF_ARMS_SWO_CLOE_FLAVOR	エンヴィリア緋炎騎士団・近衛隊長クロ<br>エの愛剣。この剣を鍛える際、クロエ自<br>らが水晶を集め、鍛冶師に頼んだ。“隊<br>の仲間を守る盾となる”という強い意志<br>が中心の大きな水晶に込められている。
AF_ARMS_SWO_CLOE_FILTER_KEYWORD	クロエ,闇クロエ,ダークファントム
AF_ARMS_BOW_01_EXPR	能力:物攻・器用さ・素早さアップ、確率で対象の物攻ダウン
AF_ARMS_BOW_01_FLAVOR	大国の軍隊を押し返したとされる、戦闘<br>部族が使っていた紅弓。今は亡き弓師に<br>より作られた速射ができる貴重品。矢尻<br>にまじないが施されており、まれに矢傷<br>を負った者の力を弱めることがある。
AF_ARMS_BOW_02_EXPR	能力:物攻・器用さ・確率で対象の物防ダウン
AF_ARMS_BOW_02_FLAVOR	大国の軍隊を押し返したとされる、戦闘<br>部族が使っていた蒼弓。生産数の多い量<br>産品ではあるが、作りは丁寧。矢尻にま<br>じないが施されており、まれに矢傷を受<br>けた者の防御を弱めることがある。
AF_ARMS_GLV_01_EXPR	能力:物攻・器用さ・素早さアップ、確率で物攻アップ
AF_ARMS_GLV_01_FLAVOR	拳ひとつで諸国渡り歩いた英雄が愛用し<br>ていた手甲。軽量化の工夫が施されてお<br>り、素早い攻撃ができるという。まれに<br>英雄の魂が身体能力を高め、拳の破壊力<br>をも高めることがあるといわれている。
AF_ARMS_GLV_02_EXPR	能力:物攻・器用さアップ、確率で器用さアップ
AF_ARMS_GLV_02_FLAVOR	拳ひとつで諸国渡り歩いた英雄の弟子た<br>ちが使っていたとされる手甲。非常に扱<br>いやすいと評判の一品。まれに英雄の魂<br>が身体能力を高め、普段より攻撃を確実<br>に当てるようになれるといわれている。
AF_ARMS_SAB_CAPTAIN_EXPR	能力:HP上限・物攻・会心・雷属性耐性アップ、確率で物攻アップ、マスターアビリティ『灘蒼蒼』使用可能(敵に斬撃攻撃&魔人特効[射程:1,高低差:2])
AF_ARMS_SAB_CAPTAIN_FLAVOR	大海原を行く海賊船の船長が愛用したと<br>いうカトラス。航海で数々のモンスター<br>を斬り倒した実績があり、魔人をも打ち<br>倒すとの噂になるほど。稀に歴代の船長<br>の力を借りたような攻撃力を発揮する。
AF_ARMS_SAB_PIRATE_EXPR	能力:物攻・会心アップ、確率で毒・暗闇効果
AF_ARMS_SAB_PIRATE_FLAVOR	大海原を行く海賊船の船員が愛用したと<br>いうカットラス。長い航海でなんにでも<br>便利に使える剣として、どんな船乗りも<br>一度は手にする物。稀に追加効果で毒と<br>暗闇を与えることが可能。
AF_ARMS_RIF_SNIPER_EXPR	能力:物攻・器用さ・会心アップ、確率で移動禁止効果、マスターアビリティ『ウォーロックバスター』使用可能(敵に射撃攻撃&魔人特効[射程:5(延長可),高低差:無制限])
AF_ARMS_RIF_SNIPER_FLAVOR	伝説のスナイパーが愛用したという、高<br>性能のライフル。マスターとまで呼ばれ<br>た伝説のスナイパーの恩恵に預かり、魔<br>人をも撃ち倒せると言われる。稀に相手<br>の動きを止める効果も発揮する。
AF_ARMS_RIF_ASSAULT_EXPR	能力:器用さ・会心アップ、確率で沈黙・スタン効果
AF_ARMS_RIF_ASSAULT_FLAVOR	伝説のスナイパーが傭兵修業時代に愛用<br>したという、ライフル。スナイパーとし<br>て活躍を目指す者は一度は手にする物。<br>クリティカルな射撃が可能で、稀に相手<br>を黙らせ気絶させる効果も発揮する。
AF_ARMS_ROD_KAGURA_EXPR	能力:魔攻・魔防・運・最大ジュエルアップ、カグラが装備するとマスターアビリティ『カグツチ』使用可能(範囲内の対象に火属性の魔法攻撃&3ターン自身の魔攻アップ&十戒衆特効[射程:3,範囲:十字1マス,高低差:2])
AF_ARMS_ROD_KAGURA_FLAVOR	カグラ愛用の杖。ワダツミ王家に伝わる<br>秘術を使える者だけが装備し、扱うこと<br>ができると言われている。王家代々の歴<br>史とそれを受け継ぎ強く生きるという意<br>志が、先端の紅珠に込められている。
AF_ARMS_ROD_KAGURA_FILTER_KEYWORD	カグラ
AF_ARMS_LAN_KUDHAN_EXPR	能力:物攻・素早さ・会心・獲得ジュエルアップ、クダンシュタイン、クダンシュタインver．舞台版、クダンシュタインver．決戦礼装が特定のジョブで装備するとマスターアビリティ使用可能
AF_ARMS_LAN_KUDHAN_FLAVOR	クダンシュタイン愛用の槍。騎士団へ入<br>団前から、この槍と共に成長してきたク<br>ダン。長年カスタマイズしながら使用し<br>ているため、クダン以外が装備しても本<br>来の力が発揮できないと言われている。
AF_ARMS_LAN_KUDHAN_FILTER_KEYWORD	クダンシュタイン,舞台版,決戦礼装
AF_ARMS_FEN_RAPIER_EXPR	能力:HP上限・物攻・物防・素早さ・雷属性耐性アップ、確率で回避率アップ、フェンサーが装備するとマスターアビリティ『シンフォニックスタブ』使用可能(敵に風属性の刺突攻撃&次ターン自身の回避率大幅アップ[射程1,高低差:1])
AF_ARMS_FEN_RAPIER_FLAVOR	アルカディアでは標準的なレイピア。新<br>人の冒険者でも扱いやすく作られている<br>が、熟練した者が扱うと幾重にも及ぶ連<br>携攻撃を繰り出すことができる。刺突攻<br>撃や追撃能力に優れている。
AF_ARMS_FEN_RAPIER_FILTER_KEYWORD	世界樹の迷宮,フェンサー
AF_ARMS_REA_SICKLE_EXPR	能力:物攻・器用さ・会心アップ、確率で対象にクロックダウン効果、リーパーが装備するとマスターアビリティ『瘴気兵装-贄-』使用可能(敵に闇属性の斬撃攻撃&死の宣告効果&確率でクリティカル発生[射程:4,高低差:2])
AF_ARMS_REA_SICKLE_FLAVOR	アルカディアのリーパーたちが好んで使<br>用する大鎌。刃の付け根にあるドクロの<br>意匠が瘴気を呼び込むといわれている。<br>武器としての扱いは難しいが、それを使<br>いこなしてこそ、一人前とされる。
AF_ARMS_REA_SICKLE_FILTER_KEYWORD	世界樹の迷宮,リーパー
AF_ARMS_SHE_TAROT_EXPR	能力:魔攻・魔防・最大ジュエルアップ、確率で移動禁止効果、シャーマンが装備するとマスターアビリティ『敬謙なる守りの光』使用可能(自身を中心とした範囲内の味方のHPを全回復&次ターン物防・魔防2倍[範囲:菱形3マス,高低差:2])
AF_ARMS_SHE_TAROT_FLAVOR	アルカディアのシャーマンが愛用する祭<br>祀用のお札。それぞれの符には呪術的な<br>まじないが込められており、それを使い<br>超自然的存在と交信することでさまざま<br>な奇跡の力を発揮する。
AF_ARMS_SHE_TAROT_FILTER_KEYWORD	世界樹の迷宮,シャーマン
AF_ARMS_KUNAI_02_EXPR	能力:物攻・器用さ・素早さアップ、確率で物防アップ、マスターアビリティ『魔砕の瞬刃』使用可能(敵に斬撃攻撃&魔人特効[射程:1,高低差:2])
AF_ARMS_KUNAI_02_FLAVOR	ワダツミでは中忍以上の忍者なら扱える<br>と言われている苦無。持ち手についてい<br>る魔除石により、魔人に対して効果があ<br>ると伝えられている。まれにアルケミィ<br>が溢れ出し、防御力も上がるとされる。
AF_ARMS_KUNAI_03_EXPR	能力:物攻・器用さアップ、確率で麻痺効果
AF_ARMS_KUNAI_03_FLAVOR	ワダツミでは下忍や見習いの忍者が一度<br>は手にするという苦無。攻撃力があがる<br>ほかに、金鳳花を混ぜ込んだ刃によって<br>まれに相手を麻痺させるとも言われる。
AF_ARMS_CHAKRAM_02_EXPR	能力:物攻・器用さ・素早さアップ、確率でクロックアップ効果、マスターアビリティ『柔斬円舞踏』使用可能(敵に斬撃攻撃&3ターン対象の斬撃攻撃力ダウン[射程:2,高低差:1])
AF_ARMS_CHAKRAM_02_FLAVOR	踊り子稼業をしながらも闘う者に人気の<br>円月輪。妖美な踊りに誘われて無暗に近<br>寄る輩を舞いながら撃退することができ<br>る。刃より発せらせるアルケミィにより<br>相手の攻撃力を下げる効果もある。
AF_ARMS_CHAKRAM_03_EXPR	能力:物攻・器用さアップ、 確率で麻痺効果
AF_ARMS_CHAKRAM_03_FLAVOR	踊り子の基本装備とも言われる扱いやす<br>いチャクラム。舞いながら闘う基本動作<br>をこれで学ぶ者が多い。飾り輝石の力に<br>より、まれに相手を麻痺させる効果を発<br>揮することがある。
AF_ARMO_SHIELD_02_EXPR	能力:HP上限・物防・魔防アップ、マスターアビリティ『鉄壁の守護』使用可能(自身を中心とした範囲内の味方の物防・魔防アップ[範囲:十字1マス,高低差:2])
AF_ARMO_SHIELD_02_FLAVOR	ラグナ大陸の希少な青鏡鉱で作られたか<br>なり重い大盾。アイギスの名を持つよう<br>にかなりの防御力を誇る。装備した者と<br>盾のアルケミィがうまく呼応すると、鉄<br>壁とも言える効果を得られるらしい。
AF_ARMO_SHIELD_02_FILTER_KEYWORD	ファントムオブキル,ファンキル
AF_ARMS_HARP_02_EXPR	能力:物攻・器用さ・素早さアップ、確率でストップ効果、マスターアビリティ『威風導々』使用可能(自身を中心とした範囲内の味方の斬撃攻撃力アップ[範囲:菱形2マス,高低差:2])
AF_ARMS_HARP_02_FLAVOR	サガ地方の民族楽器で５弦の弦楽器。吟<br>遊詩人の中でも名手と呼ばれる者たちが<br>一生に一度は手にしてみたいと言うほど<br>の名品。アルケミィを含んだ音色は自分<br>だけでなく味方に作用することもある。
AF_ARMS_HARP_03_EXPR	能力:物攻・器用さアップ、確率で対象にクロックダウン効果
AF_ARMS_HARP_03_FLAVOR	サガ地方の民族楽器で５弦の弦楽器。吟<br>遊詩人になりたての者が一度は手にする<br>入門者用の楽器。アルケミィを含んだ音<br>色は稀に敵を惑わし、行動を遅らせる。
AF_ARMS_AXE_02_EXPR	能力:HP上限・物攻・会心アップ、確率で物防アップ、マスターアビリティ『断罪の双刃』使用可能(範囲内の対象に斬撃攻撃[射程:2,範囲:幅1マスの直線,高低差:1])
AF_ARMS_AXE_02_FLAVOR	両刃のついた大斧で、取り扱うのに相当<br>の力と筋肉を必要すると言われている。<br>ウォーリアの中でもかなりの力自慢でな<br>いと斧自体とその繰り出せる技に振り回<br>されてしまうと言われている。
AF_ARMS_AXE_03_EXPR	能力:HP上限・物攻アップ、確率で物攻アップ
AF_ARMS_AXE_03_FLAVOR	両刃のついた大斧で、取り扱うのに相当<br>の力と筋肉を必要すると言われている。<br>それでもウォーリアの中では、新米でも<br>扱える斧として、幅広く人気がある。
AF_ARMS_SEDA_BOW_EXPR	能力:物攻・器用さ・素早さアップ、確率で攻撃禁止効果、セーダ、セーダver．決戦礼装が装備するとマスターアビリティ使用可能
AF_ARMS_SEDA_BOW_FLAVOR	サガ地方のアリーズ族に、代々伝わる弓<br>矢。アリーズ族の得意とする風読みの能<br>力と合わせると、とてつもない威力を発<br>揮する。現在はセーダが日々愛用してお<br>り、彼女以外扱えないと言われている。
AF_ARMS_SEDA_BOW_FILTER_KEYWORD	セーダ,決戦礼装
AF_ARMS_MONZ_AXE_EXPR	能力:HP上限・物攻・物防アップ、確率で対象の物防ダウン、モンゼインが装備するとマスターアビリティ『ライトニング・アクス』使用可能(範囲内の対象に雷属性の斬撃攻撃&5ターン自身の物攻アップ[射程:3,範囲:幅3マスの直線,高低差:2])
AF_ARMS_MONZ_AXE_FLAVOR	エンヴィリアの武器職人がワダツミの職<br>人の知恵を取り入れ作ったとされる強力<br>な戦斧。斧自体が規格外に大きく、扱え<br>る者がいないとされていたが、モンゼイ<br>ンは手に取って以来、愛用している。
AF_ARMS_MONZ_AXE_FILTER_KEYWORD	モンゼイン
