UN_V2_LOGI_TRUTH_EQUIPMENT_INAME	TE_LOGI
UN_V2_CANON_TRUTH_EQUIPMENT_INAME	TE_CANON
UN_V2_CADANOVA_TRUTH_EQUIPMENT_INAME	TE_CADANOVA
UN_V2_FUNGLIU_TRUTH_EQUIPMENT_INAME	TE_FUNGLIU
UN_V2_RYLE_TRUTH_EQUIPMENT_INAME	TE_RYLE
UN_V2_ALBELL_TRUTH_EQUIPMENT_INAME	TE_ALBELL
UN_V2_SHAYNA_TRUTH_EQUIPMENT_INAME	TE_SHAYNA
UN_V2_REIMEI_TRUTH_EQUIPMENT_INAME	TE_REIMEI
UN_V2_SOLEIL_TRUTH_EQUIPMENT_INAME	TE_SOLEIL
UN_V2_MILIS_TRUTH_EQUIPMENT_INAME	TE_MILIS
UN_V2_SHENMEI_TRUTH_EQUIPMENT_INAME	TE_SHENMEI
UN_V2_TAMAMO_TRUTH_EQUIPMENT_INAME	TE_TAMAMO
UN_V2_KURAJU_TRUTH_EQUIPMENT_INAME	TE_KURAJU
UN_V2_KAGURA_TRUTH_EQUIPMENT_INAME	TE_KAGURA
UN_V2_KUDHANSTEIN_TRUTH_EQUIPMENT_INAME	TE_KUDHANSTEIN
UN_V2_KUDHANSTEIN_LINK_TRUTH_EQUIPMENT_INAME	TE_KUDHANSTEIN_LINK
UN_V2_GORMALAS_TRUTH_EQUIPMENT_INAME	TE_GORMALAS
UN_V2_SHEHERAZADE_TRUTH_EQUIPMENT_INAME	TE_SHEHERAZADE
UN_V2_SEIDA_TRUTH_EQUIPMENT_INAME	TE_SEIDA
UN_V2_MONZEIN_TRUTH_EQUIPMENT_INAME	TE_MONZEIN
UN_V2_SPICA_TRUTH_EQUIPMENT_INAME	TE_SPICA
UN_V2_VINCENT_TRUTH_EQUIPMENT_INAME	TE_VINCENT
UN_V2_DENEB_TRUTH_EQUIPMENT_INAME	TE_DENEB
UN_V2_GLANZ_TRUTH_EQUIPMENT_INAME	TE_GLANZ
UN_V2_PERIDOT_TRUTH_EQUIPMENT_INAME	TE_PERIDOT
UN_V2_YAULAS_TRUTH_EQUIPMENT_INAME	TE_YAULAS
UN_V2_ZAYIN_TRUTH_EQUIPMENT_INAME	TE_ZAYIN
UN_V2_LUPINUS_TRUTH_EQUIPMENT_INAME	TE_LUPINUS
UN_V2_VICTOR_TRUTH_EQUIPMENT_INAME	TE_VICTOR
UN_V2_OTHIMA_TRUTH_EQUIPMENT_INAME	TE_OTHIMA
UN_V2_ARUBA_TRUTH_EQUIPMENT_INAME	TE_ARUBA
UN_V2_CHIRURU_TRUTH_EQUIPMENT_INAME	TE_CHIRURU
UN_V2_SHEKINAH_TRUTH_EQUIPMENT_INAME	TE_SHEKINAH
UN_V2_SITA_TRUTH_EQUIPMENT_INAME	TE_SITA
UN_V2_MASAMUNE_TRUTH_EQUIPMENT_INAME	TE_MASAMUNE
UN_V2_TEONA_TRUTH_EQUIPMENT_INAME	TE_TEONA
UN_V2_RAMESES_TRUTH_EQUIPMENT_INAME	TE_RAMESES
UN_V2_DOROTHEA_TRUTH_EQUIPMENT_INAME	TE_DOROTHEA
UN_V2_REIDA_TRUTH_EQUIPMENT_INAME	TE_REIDA
UN_V2_ERURIKE_TRUTH_EQUIPMENT_INAME	TE_ERURIKE
UN_V2_ASUWADO_TRUTH_EQUIPMENT_INAME	TE_ASUWADO
UN_V2_SOPHIA_TRUTH_EQUIPMENT_INAME	TE_SOPHIA
UN_V2_KYARORU_TRUTH_EQUIPMENT_INAME	TE_KYARORU
UN_V2_SETSUNA_TRUTH_EQUIPMENT_INAME	TE_SETSUNA
UN_V2_HAZEL_TRUTH_EQUIPMENT_INAME	TE_HAZEL
UN_V2_EIZAN_TRUTH_EQUIPMENT_INAME	TE_EIZAN
UN_V2_THILLIE_TRUTH_EQUIPMENT_INAME	TE_THILLIE
UN_V2_ZEKE_TRUTH_EQUIPMENT_INAME	TE_ZEKE
UN_V2_MIUNA_TRUTH_EQUIPMENT_INAME	TE_MIUNA
UN_V2_S_SAKURA_TRUTH_EQUIPMENT_INAME	TE_S_SAKURA
UN_V2_S_YOMI_TRUTH_EQUIPMENT_INAME	TE_S_YOMI
UN_V2_FOLCAS_TRUTH_EQUIPMENT_INAME	TE_FOLCAS
UN_V2_S_HIRAGI_TRUTH_EQUIPMENT_INAME	TE_S_HIRAGI
UN_V2_BASYOSEN_TRUTH_EQUIPMENT_INAME	TE_BASYOSEN
UN_V2_MIKOTO_TRUTH_EQUIPMENT_INAME	TE_MIKOTO
UN_V2_MARGARET_TRUTH_EQUIPMENT_INAME	TE_MARGARET
UN_V2_MEIFAN_TRUTH_EQUIPMENT_INAME	TE_MEIFAN
UN_V2_VIVI_TRUTH_EQUIPMENT_INAME	TE_VIVI
UN_V2_YUTO_TRUTH_EQUIPMENT_INAME	TE_YUTO
UN_V2_BASINI_TRUTH_EQUIPMENT_INAME	TE_BASINI
UN_V2_NEICA_TRUTH_EQUIPMENT_INAME	TE_NEICA
UN_V2_YUNAGI_TRUTH_EQUIPMENT_INAME	TE_YUNAGI
UN_V2_MARIANNU_TRUTH_EQUIPMENT_INAME	TE_MARIANNU
UN_V2_CHAO_TRUTH_EQUIPMENT_INAME	TE_CHAO
UN_V2_DAISY_TRUTH_EQUIPMENT_INAME	TE_DAISY
UN_V2_NASARIO_TRUTH_EQUIPMENT_INAME	TE_NASARIO
UN_V2_LAVINA_TRUTH_EQUIPMENT_INAME	TE_LAVINA
UN_V2_SUIRAN_TRUTH_EQUIPMENT_INAME	TE_SUIRAN
UN_V2_BLANCHETT_TRUTH_EQUIPMENT_INAME	TE_BLANCHETT
UN_V2_ZIN_TRUTH_EQUIPMENT_INAME	TE_ZIN
UN_V2_NOAH_TRUTH_EQUIPMENT_INAME	TE_NOAH
UN_V2_ZOPHIE_TRUTH_EQUIPMENT_INAME	TE_ZOPHIE
UN_V2_OLGA_TRUTH_EQUIPMENT_INAME	TE_OLGA
UN_V2_CHATNOIR_TRUTH_EQUIPMENT_INAME	TE_CHATNOIR
UN_V2_JUSTIN_TRUTH_EQUIPMENT_INAME	TE_JUSTIN
UN_V2_KLIMA_TRUTH_EQUIPMENT_INAME	TE_KLIMA
UN_V2_LEONIA_TRUTH_EQUIPMENT_INAME	TE_LEONIA
UN_V2_ACHAD_TRUTH_EQUIPMENT_INAME	TE_ACHAD
UN_V2_VIER_TRUTH_EQUIPMENT_INAME	TE_VIER
UN_V2_FAIRLILY_TRUTH_EQUIPMENT_INAME	TE_FAIRLILY
UN_V2_EDWIN_TRUTH_EQUIPMENT_INAME	TE_EDWIN
UN_V2_ANNIKA_TRUTH_EQUIPMENT_INAME	TE_ANNIKA
UN_V2_HUGO_TRUTH_EQUIPMENT_INAME	TE_HUGO
UN_V2_CELLIERS_TRUTH_EQUIPMENT_INAME	TE_CELLIERS
UN_V2_POK_EROS_TRUTH_EQUIPMENT_INAME	TE_POK_EROS
UN_V2_S_AMATERASU_TRUTH_EQUIPMENT_INAME	TE_S_AMATERASU
UN_V2_S_YURI_TRUTH_EQUIPMENT_INAME	TE_S_YURI
UN_V2_PRISCILA_TRUTH_EQUIPMENT_INAME	TE_PRISCILA
UN_V2_FUJICA_TRUTH_EQUIPMENT_INAME	TE_FUJICA
UN_V2_ZYVA_TRUTH_EQUIPMENT_INAME	TE_ZYVA
UN_V2_NOIN_TRUTH_EQUIPMENT_INAME	TE_NOIN
UN_V2_FURY_TRUTH_EQUIPMENT_INAME	TE_FURY
UN_V2_FEIRIN_TRUTH_EQUIPMENT_INAME	TE_FEIRIN
UN_V2_TOMAS_TRUTH_EQUIPMENT_INAME	TE_TOMAS
UN_V2_TETIS_TRUTH_EQUIPMENT_INAME	TE_TETIS
UN_V2_LUCILLE_TRUTH_EQUIPMENT_INAME	TE_LUCILLE
UN_V2_EMA_TRUTH_EQUIPMENT_INAME	TE_EMA
UN_V2_HISHARMU_TRUTH_EQUIPMENT_INAME	TE_HISHARMU
UN_V2_LEYDOW_TRUTH_EQUIPMENT_INAME	TE_LEYDOW
UN_V2_IZAYOI_TRUTH_EQUIPMENT_INAME	TE_IZAYOI
UN_V2_DARTAGNAN_TRUTH_EQUIPMENT_INAME	TE_DARTAGNAN
UN_V2_WON_TRUTH_EQUIPMENT_INAME	TE_WON
UN_V2_INES_TRUTH_EQUIPMENT_INAME	TE_INES
UN_V2_UZUMA_TRUTH_EQUIPMENT_INAME	TE_UZUMA
UN_V2_BLITZ_TRUTH_EQUIPMENT_INAME	TE_BLITZ
UN_V2_BIRGITTA_TRUTH_EQUIPMENT_INAME	TE_BIRGITTA
UN_V2_TORITOH_TRUTH_EQUIPMENT_INAME	TE_TORITOH
UN_V2_CORDELIA_TRUTH_EQUIPMENT_INAME	TE_CORDELIA
UN_V2_ITSUKI_TRUTH_EQUIPMENT_INAME	TE_ITSUKI
UN_V2_TSANGLEI_TRUTH_EQUIPMENT_INAME	TE_TSANGLEI
UN_V2_POK_LONGINUS_TRUTH_EQUIPMENT_INAME	TE_POK_LONGINUS
UN_V2_POK_ARTEMIS_TRUTH_EQUIPMENT_INAME	TE_POK_ARTEMIS
UN_V2_ZENN_TRUTH_EQUIPMENT_INAME	TE_ZENN
UN_V2_BELTA_TRUTH_EQUIPMENT_INAME	TE_BELTA
UN_V2_POK_BLK_TYRHUNG_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_TYRHUNG
UN_V2_LOTIA_TRUTH_EQUIPMENT_INAME	TE_LOTIA
UN_V2_KEVIN_TRUTH_EQUIPMENT_INAME	TE_KEVIN
UN_V2_AISHA_TRUTH_EQUIPMENT_INAME	TE_AISHA
UN_V2_GUILDFORD_TRUTH_EQUIPMENT_INAME	TE_GUILDFORD
UN_V2_TERESA_TRUTH_EQUIPMENT_INAME	TE_TERESA
UN_V2_KURT_TRUTH_EQUIPMENT_INAME	TE_KURT
UN_V2_SHIRMA_TRUTH_EQUIPMENT_INAME	TE_SHIRMA
UN_V2_POK_BLK_LAEVATEINN_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_LAEVATEINN
UN_V2_POK_PARASHU_TRUTH_EQUIPMENT_INAME	TE_POK_PARASHU
UN_V2_POK_FREIKUGEL_TRUTH_EQUIPMENT_INAME	TE_POK_FREIKUGEL
UN_V2_S_TSUKUYOMI_TRUTH_EQUIPMENT_INAME	TE_S_TSUKUYOMI
UN_V2_FIONA_TRUTH_EQUIPMENT_INAME	TE_FIONA
UN_V2_GERALD_TRUTH_EQUIPMENT_INAME	TE_GERALD
UN_V2_NATALIE_TRUTH_EQUIPMENT_INAME	TE_NATALIE
UN_V2_L_UROB_TRUTH_EQUIPMENT_INAME	TE_L_UROB
UN_V2_NINA_TRUTH_EQUIPMENT_INAME	TE_NINA
UN_V2_REN_TRUTH_EQUIPMENT_INAME	TE_REN
UN_V2_THOL_TRUTH_EQUIPMENT_INAME	TE_THOL
UN_V2_LETICIA_TRUTH_EQUIPMENT_INAME	TE_LETICIA
UN_V2_NIGURU_TRUTH_EQUIPMENT_INAME	TE_NIGURU
UN_V2_IRA_TRUTH_EQUIPMENT_INAME	TE_IRA
UN_V2_CARLA_TRUTH_EQUIPMENT_INAME	TE_CARLA
UN_V2_ANKH_TRUTH_EQUIPMENT_INAME	TE_ANKH
UN_V2_NEFERTY_TRUTH_EQUIPMENT_INAME	TE_NEFERTY
UN_V2_APR_LIZ_TRUTH_EQUIPMENT_INAME	TE_APR_LIZ
UN_V2_DON_TARAS_TRUTH_EQUIPMENT_INAME	TE_DON_TARAS
UN_V2_ORION_TRUTH_EQUIPMENT_INAME	TE_ORION
UN_V2_POK_BLK_ARTEMIS_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_ARTEMIS
UN_V2_CRY_MERLINUS_TRUTH_EQUIPMENT_INAME	TE_CRY_MERLINUS
UN_V2_CRY_ARTHUR_TRUTH_EQUIPMENT_INAME	TE_CRY_ARTHUR
UN_V2_MORE_TRUTH_EQUIPMENT_INAME	TE_MORE
UN_V2_LEAFA_TRUTH_EQUIPMENT_INAME	TE_LEAFA
UN_V2_ALMA_TRUTH_EQUIPMENT_INAME	TE_ALMA
UN_V2_REBECCA_TRUTH_EQUIPMENT_INAME	TE_REBECCA
UN_V2_KAYA_TRUTH_EQUIPMENT_INAME	TE_KAYA
UN_V2_YUDIT_TRUTH_EQUIPMENT_INAME	TE_YUDIT
UN_V2_BUD_TRUTH_EQUIPMENT_INAME	TE_BUD
UN_V2_SYARON_TRUTH_EQUIPMENT_INAME	TE_SYARON
UN_V2_HOZUKI_TRUTH_EQUIPMENT_INAME	TE_HOZUKI
UN_V2_POK_BLK_LONGINUS_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_LONGINUS
UN_V2_WILHELM_TRUTH_EQUIPMENT_INAME	TE_WILHELM
UN_V2_POK_BLK_MASAMUNE_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_MASAMUNE
UN_V2_PAMERA_TRUTH_EQUIPMENT_INAME	TE_PAMERA
UN_V2_CHERYL_TRUTH_EQUIPMENT_INAME	TE_CHERYL
UN_V2_RAKINA_TRUTH_EQUIPMENT_INAME	TE_RAKINA
UN_V2_EMMEL_TRUTH_EQUIPMENT_INAME	TE_EMMEL
UN_V2_KU_IENA_TRUTH_EQUIPMENT_INAME	TE_KU_IENA
UN_V2_WAGINAO_TRUTH_EQUIPMENT_INAME	TE_WAGINAO
UN_V2_MOCA_TRUTH_EQUIPMENT_INAME	TE_MOCA
UN_V2_BF_LUNA_TRUTH_EQUIPMENT_INAME	TE_BF_LUNA
UN_V2_JUURIA_TRUTH_EQUIPMENT_INAME	TE_JUURIA
UN_V2_POK_BLK_FREIKUGEL_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_FREIKUGEL
UN_V2_GINO_TRUTH_EQUIPMENT_INAME	TE_GINO
UN_V2_POK_BLK_PARASHU_TRUTH_EQUIPMENT_INAME	TE_POK_BLK_PARASHU
UN_V2_ZWEI_TRUTH_EQUIPMENT_INAME	TE_ZWEI
UN_V2_RAURA_TRUTH_EQUIPMENT_INAME	TE_RAURA
UN_V2_KUZA_TRUTH_EQUIPMENT_INAME	TE_KUZA
UN_V2_ST_MELA_TRUTH_EQUIPMENT_INAME	TE_ST_MELA
UN_V2_POK_ARUMASU_TRUTH_EQUIPMENT_INAME	TE_POK_ARUMASU
UN_V2_ST_NIKUSU_TRUTH_EQUIPMENT_INAME	TE_ST_NIKUSU
UN_V2_ZAYIN_DARK_TRUTH_EQUIPMENT_INAME	TE_ZAYIN_DARK
UN_V2_SETSUNA_DARK_TRUTH_EQUIPMENT_INAME	TE_SETSUNA_DARK
UN_V2_KASUMI_TRUTH_EQUIPMENT_INAME	TE_KASUMI
UN_V2_CLOE_DARK_TRUTH_EQUIPMENT_INAME	TE_CLOE_DARK
UN_V2_OTHIMA_DARK_TRUTH_EQUIPMENT_INAME	TE_OTHIMA_DARK
UN_V2_MASHULI_TRUTH_EQUIPMENT_INAME	TE_MASHULI
UN_V2_AMBROSIA_TRUTH_EQUIPMENT_INAME	TE_AMBROSIA
UN_V2_ST_MELA_DARK_TRUTH_EQUIPMENT_INAME	TE_ST_MELA_DARK
UN_V2_ST_NIKUSU_DARK_TRUTH_EQUIPMENT_INAME	TE_ST_NIKUSU_DARK
UN_V2_RISHEN_TRUTH_EQUIPMENT_INAME	TE_RISHEN
UN_V2_SIYI_TRUTH_EQUIPMENT_INAME	TE_SIYI
UN_V2_DREI_TRUTH_EQUIPMENT_INAME	TE_DREI
UN_V2_EVERICA_TRUTH_EQUIPMENT_INAME	TE_EVERICA
UN_V2_POK_TIFARET_TRUTH_EQUIPMENT_INAME	TE_POK_TIFARET
UN_V2_ADOREI_TRUTH_EQUIPMENT_INAME	TE_ADOREI
UN_V2_POK_FAILNAUGHT_TRUTH_EQUIPMENT_INAME	TE_POK_FAILNAUGHT
UN_V2_IKONA_TRUTH_EQUIPMENT_INAME	TE_IKONA
UN_V2_MINARIO_TRUTH_EQUIPMENT_INAME	TE_MINARIO
UN_V2_IKASA_TRUTH_EQUIPMENT_INAME	TE_IKASA
UN_V2_TSP_RIMURU_SLIME_TRUTH_EQUIPMENT_INAME	TE_TSP_RIMURU_SLIME
UN_V2_TSP_RIMURU_TRUTH_EQUIPMENT_INAME	TE_TSP_RIMURU
UN_V2_TSP_MILLIM_TRUTH_EQUIPMENT_INAME	TE_TSP_MILLIM
UN_V2_TSP_BENIMARU_TRUTH_EQUIPMENT_INAME	TE_TSP_BENIMARU
UN_V2_NERO_TRUTH_EQUIPMENT_INAME	TE_NERO
UN_V2_HOO_TRUTH_EQUIPMENT_INAME	TE_HOO
UN_V2_VODA_TRUTH_EQUIPMENT_INAME	TE_VODA
UN_V2_TEHRE_TRUTH_EQUIPMENT_INAME	TE_TEHRE
UN_V2_TAMISU_TRUTH_EQUIPMENT_INAME	TE_TAMISU
UN_V2_EINZ_TRUTH_EQUIPMENT_INAME	TE_EINZ
UN_V2_POK_CASSIUS_TRUTH_EQUIPMENT_INAME	TE_POK_CASSIUS
UN_V2_MALTA_TRUTH_EQUIPMENT_INAME	TE_MALTA
UN_V2_EULALIA_TRUTH_EQUIPMENT_INAME	TE_EULALIA
UN_V2_POK_RISANAUT_TRUTH_EQUIPMENT_INAME	TE_POK_RISANAUT
UN_V2_ZYVA_MALE_TRUTH_EQUIPMENT_INAME	TE_ZYVA_MALE
UN_V2_FURY_MALE_TRUTH_EQUIPMENT_INAME	TE_FURY_MALE
UN_V2_VIER_MALE_TRUTH_EQUIPMENT_INAME	TE_VIER_MALE
UN_V2_ACHAD_MALE_TRUTH_EQUIPMENT_INAME	TE_ACHAD_MALE
UN_V2_PLUMERIA_TRUTH_EQUIPMENT_INAME	TE_PLUMERIA
UN_V2_JUURIA_DARK_TRUTH_EQUIPMENT_INAME	TE_JUURIA_DARK
UN_V2_SB_NAOFUMI_TRUTH_EQUIPMENT_INAME	TE_SB_NAOFUMI
UN_V2_SB_RAPHTALIA_TRUTH_EQUIPMENT_INAME	TE_SB_RAPHTALIA
UN_V2_SB_MELTY_TRUTH_EQUIPMENT_INAME	TE_SB_MELTY
UN_V2_SB_FIRO_TRUTH_EQUIPMENT_INAME	TE_SB_FIRO
UN_V2_RACHEL_TRUTH_EQUIPMENT_INAME	TE_RACHEL
UN_V2_AINANNA_TRUTH_EQUIPMENT_INAME	TE_AINANNA
UN_V2_YUEN_TRUTH_EQUIPMENT_INAME	TE_YUEN
UN_V2_DAPHNE_TRUTH_EQUIPMENT_INAME	TE_DAPHNE
UN_V2_NICAEA_TRUTH_EQUIPMENT_INAME	TE_NICAEA
UN_V2_NAJU_TRUTH_EQUIPMENT_INAME	TE_NAJU
UN_V2_RYUI_TRUTH_EQUIPMENT_INAME	TE_RYUI
UN_V2_SION_TRUTH_EQUIPMENT_INAME	TE_SION
UN_V2_POK_MINERVA_TRUTH_EQUIPMENT_INAME	TE_POK_MINERVA
UN_V2_POK_HERCULE_TRUTH_EQUIPMENT_INAME	TE_POK_HERCULE
UN_V2_ANDECHS_TRUTH_EQUIPMENT_INAME	TE_ANDECHS
UN_V2_LEYCHEL_TRUTH_EQUIPMENT_INAME	TE_LEYCHEL
UN_V2_SURUBA_TRUTH_EQUIPMENT_INAME	TE_SURUBA
UN_V2_QENS_TRUTH_EQUIPMENT_INAME	TE_QENS
UN_V2_ZEX_TRUTH_EQUIPMENT_INAME	TE_ZEX
UN_V2_UGACHI_TRUTH_EQUIPMENT_INAME	TE_UGACHI
UN_V2_CELES_TRUTH_EQUIPMENT_INAME	TE_CELES
UN_V2_TANOSUKE_TRUTH_EQUIPMENT_INAME	TE_TANOSUKE
UN_V2_NIMURU_TRUTH_EQUIPMENT_INAME	TE_NIMURU
UN_V2_BIANCA_TRUTH_EQUIPMENT_INAME	TE_BIANCA
UN_V2_POK_RAGNAROK_TRUTH_EQUIPMENT_INAME	TE_POK_RAGNAROK
UN_V2_MT3_HITOSYURA_TRUTH_EQUIPMENT_INAME	TE_MT3_HITOSYURA
UN_V2_MT3_TITANIA_TRUTH_EQUIPMENT_INAME	TE_MT3_TITANIA
UN_V2_MT3_EVIL_FROST_TRUTH_EQUIPMENT_INAME	TE_MT3_EVIL_FROST
UN_V2_MT3_KU_CHULAINN_TRUTH_EQUIPMENT_INAME	TE_MT3_KU_CHULAINN
UN_V2_MT3_CERBERUS_TRUTH_EQUIPMENT_INAME	TE_MT3_CERBERUS
UN_V2_BENIKA_TRUTH_EQUIPMENT_INAME	TE_BENIKA
UN_V2_KUBERA_TRUTH_EQUIPMENT_INAME	TE_KUBERA
UN_V2_NEVILLE_TRUTH_EQUIPMENT_INAME	TE_NEVILLE
UN_V2_CAESAR_TRUTH_EQUIPMENT_INAME	TE_CAESAR
UN_V2_VLAD_TRUTH_EQUIPMENT_INAME	TE_VLAD
UN_V2_NATSUME_TRUTH_EQUIPMENT_INAME	TE_NATSUME
UN_V2_YURA_TRUTH_EQUIPMENT_INAME	TE_YURA
UN_V2_IRENE_TRUTH_EQUIPMENT_INAME	TE_IRENE
UN_V2_CRY_MASAKADO_TRUTH_EQUIPMENT_INAME	TE_CRY_MASAKADO
UN_V2_CRY_DARK_OLIVIER_TRUTH_EQUIPMENT_INAME	TE_CRY_DARK_OLIVIER
