IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_US_AOT_POTATO_FLAVOR	ほこほこと湯気を立てているふかし芋が<br>入った籠。取り合いの喧嘩が絶えず、訓<br>練兵の宿舎の食堂にてたびたび盗み食い<br>が発生しているという噂もあるらしい。<br>ふかしたてが一番美味しい。
IT_US_TS_STEW_01_EXPR	一定時間の間、対象をクロックアップ状態にする
IT_US_TS_STEW_01_FLAVOR	蒼炎騎士団団長ジークの娘・アガサお手<br>製シチュー。特徴である星型の飾り切り<br>には、ニンジン嫌いの兄弟たちに対する<br>彼女の気遣いと愛情、そしてかつて皆で<br>眺めた星空の思い出が込められている。
IT_US_TS_JEWEL_HEAL_01_EXPR	対象のジュエルを50回復する
IT_US_TS_JEWEL_HEAL_01_FLAVOR	商人アイリュが発見した新種かもしれな<br>いメルポト茸。シチューの具材などに使<br>われる一般的な食材だが、稀に個性的な<br>変種が現れる。未だ明確な違いは判明し<br>ておらず、専門家をざわつかせている。
IT_US_CARAMEL_EXPR	3ターン自身を中心とした範囲内の味方の全攻撃に巨体特効付与[範囲:十字1マス,高低差:2]
IT_US_CARAMEL_FLAVOR	スロウスシュタインが発祥である甘酒。<br>アルコール度数が高く、癖はあるものの<br>好きな人は好きといった種類のお酒。ル<br>ストブルグの酒場では、お洒落な感じに<br>アレンジして提供するお店もあるとか。
IT_US_TS_PORK_EXPR	永続で最大HP30％ダウン＆3ターン全攻撃アップ[射程:1,高低差:2]
IT_US_TS_PORK_FLAVOR	〈豚の帽子〉亭のハンバーグプレート。<br>メリオダスが作ったもので、見た目は完<br>璧だがまずい。ともに旅するエリザベス<br>が作ってくれた彼の優しさに感動し、涙<br>を流しながら食べた思い出の一品。
IT_US_MCF_PINECAKE_EXPR	自身に強制で死の宣告効果＆3ターン味方の全攻撃アップ[射程:1,高低差:2]
IT_US_MCF_PINECAKE_FLAVOR	ランカ・リーの保護者であるオズマ特製<br>パインケーキ。ランカの大好物で食べる<br>と優しい味がして元気が出るのだとか。<br>最初は上手に作れなかったが、彼女の為<br>に頑張り上達したのだという。
IT_US_TSP_PORTION_EXPR	ユニットのHPを全回復&状態異常・デバフを回復
IT_US_TSP_PORTION_FLAVOR	リムルが捕食したヒポクテ草から体内で<br>99％抽出した完全回復薬。飲んで良し、<br>振りかけて良しのすぐれもの。ドワーフ<br>の技術でも98％の抽出が限界と言われて<br>おり、非常に希少価値の高い品。
IT_US_KOF_COFFEE_EXPR	ユニットのHPを割合大回復する＆次ターンでジュエルが小回復する
IT_US_KOF_COFFEE_FLAVOR	バベル大陸で行われたザ・キング・オブ<br>・ファイターズで配布されるという缶コ<br>ーヒー。アルケミィが豊富な材料で作ら<br>れており、これを飲むと力が漲る。刺激<br>が強い為、飲み過ぎには注意が必要。
IT_US_MT3_DRINK_EXPR	味方のHPを割合回復&確率で1ターンジュエル自動回復&確率で麻痺・沈黙・猛毒・クロックアップ・クロックダウンいずれかの状態異常効果
IT_US_MT3_DRINK_FLAVOR	急激に心身の疲労を回復してくれる栄養<br>ドリンク。アルケミィを利用した飲み物<br>で、飲むと力が漲り、自身の力を極限ま<br>で発揮できるようになる。強制的な賦活<br>剤である為、飲み過ぎには注意が必要。
IT_US_WHITEDAY_BOUQUET_EXPR	1ターン味方の移動力+2
IT_US_WHITEDAY_BOUQUET_FLAVOR	ホワイトデーに感謝を伝えたい大切な人<br>に贈る為のブーケ。相手を笑顔にしたい<br>という贈り主の優しさがつまっている。<br>受け取った者はその想いを感じ取り、活<br>力が湧いて足取りも軽くなるという。
IT_US_MT3_WHISTLE_EXPR	1ターンマップ全域の敵に強制ターゲット効果[範囲:マップ全体,高低差:無制限]
IT_US_MT3_WHISTLE_FLAVOR	ジャックフロストがモチーフとなったホ<br>イッスル。これを吹くと、ヒーホーとい<br>うジャックフロストの声が周囲に響き、<br>自身に注目を集めることができる。すぐ<br>に注目を集め人気者になれるアイテム。
IT_US_DUNG_POTATO_EXPR	味方のジュエルを回復&3ターン味方の全攻撃にモンスター特効付与[射程:1,高低差:2]
IT_US_DUNG_POTATO_FLAVOR	潰した芋に衣をつけて、油で揚げた食べ<br>物。迷宮都市オラリオの市場で購入する<br>ことができ、味付けは様々な種類ある。<br>ジャガ丸くんが大好物のアイズのお気に<br>入りは、小豆クリーム味だという。
IT_20200501CP_MASK_01_EXPR	3ターン自身の状態異常耐性大幅アップ
IT_20200501CP_MASK_01_FLAVOR	機械屋の少女が汚染された大気から身を<br>守る為に制作したマスク。粉塵などを排<br>除し、酸素のみを取り込む高性能な物。<br>機械屋の師匠である父にも手渡したが、<br>職人気質な父は付けてはくれなかった。
IT_US_GT_JUSTAWAY_EXPR	範囲内の敵に火属性の魔法攻撃&《アルケミィオーバー》を付与[射程:3,範囲:十字1マス,高低差:2]
IT_US_GT_JUSTAWAY_FLAVOR	マムシ工業の工場長が大量生産した爆弾<br>。これが何か尋ねられても工場長は「ジ<br>ャスタウェイはジャスタウェイ以外の何<br>物でもない。それ以上でもそれ以下でも<br>ない」と説明していた。
IT_US_MENBEI_EXPR	味方が2回攻撃するまでクリティカル率・クリティカルダメージ大幅アップ[射程:1,高低差:2]
IT_US_MENBEI_FLAVOR	異世界にある博多土産の定番。福太郎の<br>明太子と、海鮮の旨味を凝縮した新感覚<br>のせんべいとして人々から愛されている<br>。これを食べた者は心身ともに癒され、<br>新たな戦いに挑む活力が漲る。
IT_US_POTION_EXPR	ユニットのHPを割合小回復する薬
IT_US_POTION_FLAVOR	あらゆる傷をたちまち癒すとされる霊薬<br>が詰められた小瓶。人間のみならず、錬<br>成されたファントムにも効果がある。あ<br>る程度の傷であれば治しきれるため、小<br>瓶タイプが一番よく市場に出回る。
IT_US_HIGH_POTION_EXPR	ユニットのHPを割合中回復する薬
IT_US_HIGH_POTION_FLAVOR	あらゆる傷をたちまち癒すとされる霊薬<br>が詰められた小瓶。人間のみならず、錬<br>成されたファントムにも効果がある。冒<br>険者が世界各地を歩き回るなら、このサ<br>イズを持っていくのが安心だろう。
IT_US_EXTRA_POTION_EXPR	ユニットのHPを割合大回復する薬
IT_US_EXTRA_POTION_FLAVOR	あらゆる傷をたちまち癒すとされる霊薬<br>が詰められた小瓶。人間のみならず、錬<br>成されたファントムにも効果がある。容<br>量が多いため高価だが、生死をさまよう<br>ような危険地帯では必須アイテム。
IT_US_PANACEA_EXPR	死の宣告以外の状態異常を回復する薬
IT_US_PANACEA_FLAVOR	複数の霊薬をブレンドした回復薬。特殊<br>な状態異常を複数回復出来る優れもので<br>七色が美しい。ただし味は強烈。先人の<br>思いつきで精製されたが効果は確かで、<br>今日まで続くロングセラー商品。
IT_US_POISON_EXPR	「毒」を回復する薬
IT_US_POISON_FLAVOR	霊薬をベースに、鉱石や木の実などから<br>抽出した特殊な成分を混ぜて作る合成霊<br>薬。毒の状態異常を回復してくれる。か<br>なり毒々しい色合いで飲むのを躊躇しが<br>ちだが、意外にも甘く飲みやすい味。
IT_US_ENERGY_EXPR	「攻撃禁止・沈黙・移動禁止」を回復する薬
IT_US_ENERGY_FLAVOR	霊薬をベースに、鉱石や木の実などから<br>抽出した特殊な成分を混ぜて作る合成霊<br>薬。攻撃禁止、沈黙、移動の状態異常を<br>回復してくれる。新緑のように爽やかな<br>色合いで、まさに青草のような味わい。
IT_US_VITALITY_EXPR	「ステータスダウン」を回復する薬
IT_US_VITALITY_FLAVOR	霊薬をベースに、鉱石や木の実などから<br>抽出した特殊な成分を混ぜて作る合成霊<br>薬。ステータスダウンの状態異常を回復<br>してくれる。鮮やかで愛らしい色合いだ<br>が、かなりスパイシーな味がする。
IT_US_LIFE_EXPR	「死の宣告」を回復する薬
IT_US_LIFE_FLAVOR	神々しいデザインの鈴。揺らすと軽やか<br>で美しい音色を奏でる。元はルストブル<br>グの一部の地域で作られていたお守りで<br>あり、その美しい音色は持ち主から死を<br>遠ざけてくれるという。
IT_US_POWDER_POWER_EXPR	物攻と魔攻を増加させる粉
IT_US_POWDER_POWER_FLAVOR	薬草に含まれるアルケミィを抽出して出<br>来た粉。一時的に肉体を強化できる。一<br>回量は効果によって違うが味は共通して<br>薬草そのもの。緑の粉は微量でも効果が<br>あり、体内から力が湧いてくる。
IT_US_POWDER_GUARD_EXPR	物防と魔防を増加させる粉
IT_US_POWDER_GUARD_FLAVOR	薬草に含まれるアルケミィを抽出して出<br>来た粉。一時的に肉体を強化できる。一<br>回量は効果によって違うが味は共通して<br>薬草そのもの。オレンジの粉はそれなり<br>の量が必要だが、身を守る効果を持つ。
IT_US_POWDER_HP_EXPR	HPを増加させる粉
IT_US_POWDER_HP_FLAVOR	薬草に含まれるアルケミィを抽出して出<br>来た粉。一時的に肉体を強化できる。一<br>回量は効果によって違うが味は共通して<br>薬草そのもの。黄の粉は一番容量を必要<br>とするが、体力アップの効果を持つ。
IT_US_POWDER_SPEED_EXPR	素早さを増加させる粉
IT_US_POWDER_SPEED_FLAVOR	薬草に含まれるアルケミィを抽出して出<br>来た粉。一時的に肉体を強化できる。一<br>回量は効果によって違うが味は共通して<br>薬草そのもの。水色の粉は微量でも効果<br>があり、素早さを上げる効果を持つ。
IT_US_SC_FIRE_Lv1_EXPR	「炎属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_FIRE_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の炎を巻き起こす。
IT_US_SC_FIRE_Lv2_EXPR	「炎属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_FIRE_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の炎を巻き起こす。
IT_US_SC_FIRE_Lv3_EXPR	「炎属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_FIRE_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の炎を巻き起こす。
IT_US_SC_FIRE_Lv4_EXPR	「炎属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_FIRE_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の炎を巻き起こす。
IT_US_SC_FIRE_Lv5_EXPR	「炎属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_FIRE_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の炎を巻き起こす。
IT_US_SC_WATER_Lv1_EXPR	「水属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_WATER_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の氷刃をつくりだす。
IT_US_SC_WATER_Lv2_EXPR	「水属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_WATER_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の氷刃をつくりだす。
IT_US_SC_WATER_Lv3_EXPR	「水属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_WATER_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の氷刃をつくりだす。
IT_US_SC_WATER_Lv4_EXPR	「水属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_WATER_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の氷刃をつくりだす。
IT_US_SC_WATER_Lv5_EXPR	「水属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_WATER_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の氷刃をつくりだす。
IT_US_SC_WIND_Lv1_EXPR	「風属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_WIND_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の旋風を巻き起こす。
IT_US_SC_WIND_Lv2_EXPR	「風属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_WIND_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の旋風を巻き起こす。
IT_US_SC_WIND_Lv3_EXPR	「風属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_WIND_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の旋風を巻き起こす。
IT_US_SC_WIND_Lv4_EXPR	「風属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_WIND_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の旋風を巻き起こす。
IT_US_SC_WIND_Lv5_EXPR	「風属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_WIND_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の旋風を巻き起こす。
IT_US_SC_THUNDER_Lv1_EXPR	「雷属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_THUNDER_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の電撃を発動する。
IT_US_SC_THUNDER_Lv2_EXPR	「雷属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_THUNDER_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の雷撃を発動する。
IT_US_SC_THUNDER_Lv3_EXPR	「雷属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_THUNDER_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の雷撃を発動する。
IT_US_SC_THUNDER_Lv4_EXPR	「雷属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_THUNDER_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の雷撃を発動する。
IT_US_SC_THUNDER_Lv5_EXPR	「雷属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_THUNDER_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の雷撃を発動する。
IT_US_SC_SHINE_Lv1_EXPR	「光属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_SHINE_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の閃光を放つ。
IT_US_SC_SHINE_Lv2_EXPR	「光属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_SHINE_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の閃光を放つ。
IT_US_SC_SHINE_Lv3_EXPR	「光属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_SHINE_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の閃光を放つ。
IT_US_SC_SHINE_Lv4_EXPR	「光属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_SHINE_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の閃光を放つ。
IT_US_SC_SHINE_Lv5_EXPR	「光属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_SHINE_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の閃光を放つ。
IT_US_SC_DARK_Lv1_EXPR	「闇属性　Lv1」の攻撃魔法が発動する巻物
IT_US_SC_DARK_Lv1_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると低威力の闇が襲う。
IT_US_SC_DARK_Lv2_EXPR	「闇属性　Lv2」の攻撃魔法が発動する巻物
IT_US_SC_DARK_Lv2_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると小威力の闇が襲う。
IT_US_SC_DARK_Lv3_EXPR	「闇属性　Lv3」の攻撃魔法が発動する巻物
IT_US_SC_DARK_Lv3_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると中威力の闇が襲う。
IT_US_SC_DARK_Lv4_EXPR	「闇属性　Lv4」の攻撃魔法が発動する巻物
IT_US_SC_DARK_Lv4_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると高威力の闇が襲う。
IT_US_SC_DARK_Lv5_EXPR	「闇属性　Lv5」の攻撃魔法が発動する巻物
IT_US_SC_DARK_Lv5_FLAVOR	アルケミィ濃度を高めたインクで秘術を<br>記した巻物。インクだけではなく、書を<br>施す者の高い技量が求められるため、一<br>部でしか発行していない国が多い。使用<br>すると最大威力の闇が襲う。
IT_PG_CLOVER1_EXPR	プレイヤーの経験値が小アップするクローバー
IT_PG_CLOVER1_FLAVOR	アルケミィとの反応を高める性質を持っ<br>た魔法の植物。アルケミィの塊である賢<br>者の石と反応させることで、様々なもの<br>を見通すことが出来ると言われている。<br>緑の葉はまだ若い葉のため力は弱い。
IT_PG_CLOVER2_EXPR	プレイヤーの経験値が中アップするクローバー
IT_PG_CLOVER2_FLAVOR	アルケミィとの反応を高める性質を持っ<br>た魔法の植物。アルケミィの塊である賢<br>者の石と反応させることで、様々なもの<br>を見通すことが出来ると言われている。<br>桃色の葉は成熟しており、反応が強い。
IT_PG_CLOVER3_EXPR	プレイヤーの経験値が大アップするクローバー
IT_PG_CLOVER3_FLAVOR	アルケミィとの反応を高める性質を持っ<br>た魔法の植物。アルケミィの塊である賢<br>者の石と反応させることで、様々なもの<br>を見通すことが出来ると言われている。<br>金の葉は希少で、反応がかなり強い。
IT_UG_APPLE1_EXPR	ユニットの経験値が小アップするリンゴ
IT_UG_APPLE1_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。緑色は数年の記憶を蓄えていると<br>言われている。
IT_UG_APPLE2_EXPR	ユニットの経験値が中アップするリンゴ
IT_UG_APPLE2_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。赤色は10年単位の記憶を蓄えてい<br>ると言われている。
IT_UG_APPLE3_EXPR	ユニットの経験値が大アップするリンゴ
IT_UG_APPLE3_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。金色は時代ごとの記憶を有してい<br>ると言われ、大変貴重品。
IT_UG_APPLE4_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE4_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。虹色は時代を超えて記憶を有して<br>いると言われ、ほぼ手に入らない。
IT_UG_APPLE5_EXPR	ユニットの経験値が極大アップするリンゴ
IT_UG_APPLE5_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。結晶の林檎はあまたの記憶を有し<br>ていると言われ、希少性が非常に高い。
IT_UG_APPLE6_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE7_EXPR	ユニットの経験値が極大アップするリンゴ
IT_UG_APPLE7_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。あまたな記憶と世界の平和を願う<br>想いを有し、希少性が非常に高い。
IT_UG_APPLE_GRI_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_GRI_FLAVOR	異世界に存在する魔族の子息が好んだと<br>いわれる林檎。手に持つとその記憶は受<br>け継がれ永遠に使用者の中で生き続ける<br>という。グリモンの持つ林檎は、長年に<br>渡る聖戦の記憶を有し、大変貴重品。
IT_UG_APPLE_MGOD_EXPR	ユニットの経験値が大アップするリンゴ
IT_UG_APPLE_MGOD_FLAVOR	世界の冒険者が記憶を込めたといわれる<br>林檎。手に持つとその記憶は受け継がれ<br>永遠に使用者の中で生き続けるという。<br>メタルゴッドの持つ林檎は蛮勇なる記憶<br>を有していると言われ、大変貴重品。
IT_UG_APPLE_ACORN_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_ACORN_FLAVOR	世界樹の迷宮に挑む冒険者たちの記憶を<br>込めたといわれる林檎。手に持つとその<br>記憶は受け継がれ永遠に使用者の中で生<br>き続けるという。迷宮を攻略するための<br>様々な叡智を有しており、大変貴重品。
IT_UG_APPLE_DIS_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_DIS_FLAVOR	プリニーたちの記憶を込めたといわれる<br>林檎。手に持つと彼らの罪、そしてこき<br>使われる日々の記憶が受け継がれ、永遠<br>に使用者の中で生き続けるという。爆発<br>はしないが、たまにサボって姿を消す。
IT_UG_APPLE_FF15_EXPR	ユニットの経験値が特大アップするリンゴ
