TS_ENVYRIA_VETTEL_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_VETTEL_01
TS_ENVYRIA_MARGARET_01_CNDS_INAME	CARD_CNDS_UROBOROS_2
TS_ENVYRIA_MARGARET_01_CNDS_INAME	CARD_CNDS_ERIZ_MARG
TS_ENVYRIA_DARTAGNAN_01_CNDS_INAME	CARD_CNDS_HIEN_NIGHT
TS_ENVYRIA_DARTAGNAN_01_FILTER_KEYWORD	ダルタニアン
TS_ENVYRIA_DARTAGNAN_01_CNDS_INAME	CARD_CNDS_DARU
TS_ENVYRIA_LUCRETIA_01_FILTER_KEYWORD	ゲイン,ルクレティア,結晶の林檎
TS_ENVYRIA_LUCRETIA_01_CNDS_INAME	CARD_CNDS_LCRE_GEIN
TS_ENVYRIA_DECEL_01_FILTER_KEYWORD	デセル,研究手帳
TS_ENVYRIA_DECEL_01_CNDS_INAME	CARD_CNDS_DECE
TS_ENVYRIA_ALFRED_01_FILTER_KEYWORD	シェイナ
TS_ENVYRIA_ALFRED_01_CNDS_INAME	CARD_CNDS_SYAI_ALFR
TS_ENVYRIA_ALFRED_01_CNDS_INAME	CARD_CNDS_ALFR
TS_ENVYRIA_PRISCILA_01_FILTER_KEYWORD	プリシラ,グレートランス,ラミア,テレサ
TS_ENVYRIA_PRISCILA_01_CNDS_INAME	CARD_CNDS_PRIC_LAMI_TERE
TS_ENVYRIA_ELAINE_01_FILTER_KEYWORD	エレイン
TS_ENVYRIA_ELAINE_01_CNDS_INAME	CARD_CNDS_ERIN
TS_ENVYRIA_DILGA_01_FILTER_KEYWORD	ディルガ,炎帝の鎧
TS_ENVYRIA_DILGA_01_CNDS_INAME	CARD_CNDS_DILG
TS_ENVYRIA_AGATHA_01_FILTER_KEYWORD	ロギ,ディオス,ジーク,アガサのシチュー
TS_ENVYRIA_AGATHA_01_CNDS_INAME	CARD_CNDS_LOGI_DIOS_ZEKE_AGATHA
TS_ENVYRIA_AYLLU_01_FILTER_KEYWORD	アイリュ,変種のメルポト茸
TS_ENVYRIA_AYLLU_01_CNDS_INAME	CARD_CNDS_LUST
TS_ENVYRIA_AYLLU_01_CNDS_INAME	CARD_CNDS_AIRY
TS_ENVYRIA_ROTEN_01_FILTER_KEYWORD	古の懐中時計
TS_ENVYRIA_ROTEN_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_RUNBELL_01_FILTER_KEYWORD	ランベル
TS_ENVYRIA_RUNBELL_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_RUNBELL_01_CNDS_INAME	CARD_CNDS_LANB
TS_ENVYRIA_FOUNTAIN_01_FILTER_KEYWORD	エンチャントマテリア
TS_ENVYRIA_FOUNTAIN_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_DISGAEA_01_CNDS_INAME	CARD_CNDS_DESGAIA
TS_DISGAEA_01_FILTER_KEYWORD	キリア,セラフィーヌ,レッドマグナス,リン,ウサリア,ラハール,エトナ,プリニー,アルミラ,ローザ,魔界戦記ディスガイア
TS_SLOTH_FIONA_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_SLOTH_FIONA_01
TS_SLOTH_FIONA_01_CNDS_INAME	CARD_CNDS_SLOTH
TS_SLOTH_FIONA_01_FILTER_KEYWORD	フィオナ,エドガー,ヴェロス
TS_SLOTH_FIONA_01_CNDS_INAME	CARD_CNDS_FIONA
TS_SLOTH_FIONA_01_CNDS_INAME	CARD_CNDS_SLOTH
TS_SLOTH_FIONA_01_ABIL_INAME	AB_01_SLOTH_FIONA_01
TS_SLOTH_FIONA_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_SLOTH_FIONA_01_ABIL_INAME	AB_01_SLOTH_FIONA_01
TS_SLOTH_FIONA_01_CNDS_INAME	CARD_CNDS_FIONA_UROB_MAX
TS_SLOTH_FIONA_01_ABIL_INAME	AB_SLOTH_FIONA_01_MAX_SPD_VA_NON
TS_SLOTH_FIONA_01_ABIL_INAME_LVMAX	AB_SLOTH_FIONA_01_MAX_SPD_VA
TS_ENVYRIA_ALAIA_01_FILTER_KEYWORD	アライア
TS_ENVYRIA_ALAIA_01_CNDS_INAME	CARD_CNDS_ARAI
TS_ENVYRIA_VICTOR_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_VICTOR_01
TS_ENVYRIA_VICTOR_01_CNDS_INAME	CARD_CNDS_HIEN_NIGHT
TS_ENVYRIA_VICTOR_01_FILTER_KEYWORD	ヴェテル,クロエ,ヴィクター,ナタリー,ニーナ,闇クロエ,ダークファントム
TS_ENVYRIA_VICTOR_01_CNDS_INAME	CARD_CNDS_VICT_NATA_VETT_CLOE_NINA
TS_ENVYRIA_VICTOR_01_ABIL_INAME	AB_01_ENVYRIA_VICTOR_01
TS_ENVYRIA_VICTOR_01_CNDS_INAME	CARD_CNDS_VICT_NINA_UROB
TS_ENVYRIA_VICTOR_01_ABIL_INAME	AB_ENVYRIA_VICTOR_01_MAX_SPD_VA_NON
TS_ENVYRIA_VICTOR_01_ABIL_INAME_LVMAX	AB_ENVYRIA_VICTOR_01_MAX_SPD_VA
TS_ENVYRIA_VICTOR_01_CNDS_INAME	CARD_CNDS_VICT
TS_WRATH_ZAHAR_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WRATH_ZAHAR_01
TS_WRATH_ZAHAR_01_CNDS_INAME	CARD_CNDS_SHADOW_MESSIAH
TS_WRATH_ZAHAR_01_FILTER_KEYWORD	ザハル,レティシア,イーラ,ニグル
TS_WRATH_ZAHAR_01_CNDS_INAME	CARD_CNDS_LETI_UROB
TS_WRATH_ZAHAR_01_CNDS_INAME	CARD_CNDS_ZAHA_LETI_IRA
TS_WRATH_ZAHAR_01_ABIL_INAME	AB_01_WRATHTRIZ_ZAHA_01
TS_WRATH_ZAHAR_01_CNDS_INAME	CARD_CNDS_ZAHA_LETI_UROB
TS_WRATH_ZAHAR_01_ABIL_INAME	AB_WRATH_ZAHAR_01_MAX_SPD_VA_NON
TS_WRATH_ZAHAR_01_ABIL_INAME_LVMAX	AB_WRATH_ZAHAR_01_MAX_SPD_VA
TS_WRATH_ZAHAR_01_CNDS_INAME	CARD_CNDS_ZAHA
TS_WRATH_SPICA_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WRATH_SPICA_01
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_SHADOW_MESSIAH
TS_WRATH_SPICA_01_FILTER_KEYWORD	スピカ,シルマ
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_ZAHA_SPIC
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_WRATHTRIZ
TS_WRATH_SPICA_01_ABIL_INAME	AB_01_WRATHTRIZ_SPICA_01
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_WRATH_SPICA_01_ABIL_INAME	AB_01_WRATHTRIZ_SPICA_01
TS_WRATH_SPICA_01_ABIL_INAME	AB_02_WRATHTRIZ_SPICA_01
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_SPIC_SHIR_UROB
TS_WRATH_SPICA_01_ABIL_INAME	AB_TS_WRATH_SPICA_01_MAX_SPD_VA_NON
TS_WRATH_SPICA_01_ABIL_INAME_LVMAX	AB_TS_WRATH_SPICA_01_MAX_SPD_VA
TS_WRATH_SPICA_01_CNDS_INAME	CARD_CNDS_SPIC
TS_WRATH_GLANZ_01_CNDS_INAME	CARD_CNDS_WRATHTRIZ
TS_WRATH_GLANZ_01_FILTER_KEYWORD	グランツ,アナスタシア
TS_WRATH_GLANZ_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_WRATH_GLANZ_01_CNDS_INAME	CARD_CNDS_GRANZ_ANASTASIA
TS_WRATH_LAMIA_01_CNDS_INAME	CARD_CNDS_WRATHTRIZ
TS_WRATH_LAMIA_01_FILTER_KEYWORD	ラミア,テレサ
TS_WRATH_LAMIA_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_WRATH_LAMIA_01_CNDS_INAME	CARD_CNDS_LAMIA_TERESA
TS_WRATH_ROSA_01_CNDS_INAME	CARD_CNDS_WRATHTRIZ
TS_WRATH_ROSA_01_FILTER_KEYWORD	ローザ
TS_WRATH_ROSA_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_WRATH_ROSA_01_CNDS_INAME	CARD_CNDS_ROSA
TS_WRATH_MAGNUS_01_CNDS_INAME	CARD_CNDS_MAGN_SUTO_AISH
TS_WRATH_MAGNUS_01_FILTER_KEYWORD	マグヌス,ストリエ,アイシャ,金塊
TS_WRATH_SABALETA_01_CNDS_INAME	CARD_CNDS_SABA_VANE
TS_WRATH_SABALETA_01_FILTER_KEYWORD	サバレタ,ヴァネキス
TS_WRATH_MARE_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WRATH_MARE_01
TS_WRATH_MARE_01_CNDS_INAME	CARD_CNDS_SHADOW_MESSIAH
TS_WRATH_MARE_01_FILTER_KEYWORD	メア,イーラ
TS_WRATH_MARE_01_CNDS_INAME	CARD_CNDS_IRA_UROB
TS_WRATH_MARE_01_CNDS_INAME	CARD_CNDS_MARE_IRA
TS_WRATH_MARE_01_ABIL_INAME	AB_01_WRATHTRIZ_MARE_01
TS_WRATH_MARE_01_CNDS_INAME	CARD_CNDS_MARE_IRA_UROB
TS_WRATH_MARE_01_ABIL_INAME	AB_WRATH_MARE_01_MAX_SPD_VA_NON
TS_WRATH_MARE_01_ABIL_INAME_LVMAX	AB_WRATH_MARE_01_MAX_SPD_VA
TS_WRATH_MARE_01_CNDS_INAME	CARD_CNDS_MARE
TS_APR_LIZ_01_CNDS_INAME	CARD_CNDS_ANIMAL_FRIEND_LIZ
TS_APR_LIZ_01_FILTER_KEYWORD	リザードマン,エイプリルフール
TS_APR_LIZ_01_CNDS_INAME	CARD_CNDS_LIZ
TS_DESERT_BALT_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_DESERT_BALT_01
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_BALT_01_FILTER_KEYWORD	バルト,カルラ
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_BALT_KARLA
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_BALT_01_ABIL_INAME	AB_01_DESERT_BALT_01
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_DESERT_BALT_01_ABIL_INAME	AB_01_DESERT_BALT_01
TS_DESERT_BALT_01_ABIL_INAME	AB_02_DESERT_BALT_01
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_BALT_KARLA_UROB
TS_DESERT_BALT_01_ABIL_INAME	AB_DESERT_BALT_01_MAX_SPD_VA_NON
TS_DESERT_BALT_01_ABIL_INAME_LVMAX	AB_DESERT_BALT_01_MAX_SPD_VA
TS_DESERT_BALT_01_CNDS_INAME	CARD_CNDS_BALT
TS_DESERT_RAMESES_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_RAMESES_01_FILTER_KEYWORD	ラメセス,ネフェルティ
TS_DESERT_RAMESES_01_CNDS_INAME	CARD_CNDS_RAMESES_NEFERTY
TS_DESERT_RETZIUS_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_RETZIUS_01_FILTER_KEYWORD	レシウス,ルシア
TS_DESERT_RETZIUS_01_CNDS_INAME	CARD_CNDS_RETZIUS_LUCIA
TS_DESERT_ANK_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_ANK_01_FILTER_KEYWORD	アンク,ライル
TS_DESERT_ANK_01_CNDS_INAME	CARD_CNDS_ANKH_RYLE
TS_DESERT_ARKILL_01_CNDS_INAME	CARD_CNDS_ARKILL_CHATNOIR_AISHA_SUTORIE
TS_DESERT_ARKILL_01_FILTER_KEYWORD	アーキル,シャノワール,ストリエ,アイシャ,金塊
TS_DESERT_RYLE_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_DESERT_RYLE_01
TS_DESERT_RYLE_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_RYLE_01_FILTER_KEYWORD	アンク,ライル
TS_DESERT_RYLE_01_CNDS_INAME	CARD_CNDS_ANKH_RYLE
TS_DESERT_RYLE_01_ABIL_INAME	AB_01_DESERT_RYLE_01
TS_DESERT_RYLE_01_CNDS_INAME	CARD_CNDS_ANKH_RYLE_UROB
TS_DESERT_RYLE_01_ABIL_INAME	AB_DESERT_RYLE_01_MAX_SPD_VA_NON
TS_DESERT_RYLE_01_ABIL_INAME_LVMAX	AB_DESERT_RYLE_01_MAX_SPD_VA
TS_DESERT_RYLE_01_CNDS_INAME	CARD_CNDS_RYLE
TS_SLOTH_FIONA_02_EXTRA_RARITY_INAME	CARD_EXTRA_TS_SLOTH_FIONA_02
TS_SLOTH_FIONA_02_CNDS_INAME	CARD_CNDS_SLOTH
TS_SLOTH_FIONA_02_FILTER_KEYWORD	フィオナ
TS_SLOTH_FIONA_02_CNDS_INAME	CARD_CNDS_FIONA_02
TS_SLOTH_FIONA_02_CNDS_INAME	CARD_CNDS_FIONA_UROB
TS_SLOTH_FIONA_02_ABIL_INAME	AB_SLOTH_FIONA_02_MAX_SPD_VA_NON
TS_SLOTH_FIONA_02_ABIL_INAME_LVMAX	AB_SLOTH_FIONA_02_MAX_SPD_VA
TS_SLOTH_FIONA_02_CNDS_INAME	CARD_CNDS_FIONA_02
TS_DESERT_ASUWADO_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_ASUWADO_01_FILTER_KEYWORD	アスワド
TS_DESERT_ASUWADO_01_CNDS_INAME	CARD_CNDS_ASUWADO
TS_DESERT_SUTORIE_01_CNDS_INAME	CARD_CNDS_ARKILL_CHATNOIR_AISHA_SUTORIE
TS_DESERT_SUTORIE_01_FILTER_KEYWORD	アーキル,シャノワール,ストリエ,アイシャ
TS_SLOTH_TARAS_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_SLOTH_TARAS_01
TS_SLOTH_TARAS_01_CNDS_INAME	CARD_CNDS_SLOTH
TS_SLOTH_TARAS_01_FILTER_KEYWORD	ドン・タラス
TS_SLOTH_TARAS_01_CNDS_INAME	CARD_CNDS_DON_TARAS
TS_SLOTH_TARAS_01_CNDS_INAME	CARD_CNDS_TARAS_UROB
TS_SLOTH_TARAS_01_ABIL_INAME	AB_SLOTH_TARAS_01_MAX_SPD_VA_NON
TS_SLOTH_TARAS_01_ABIL_INAME_LVMAX	AB_SLOTH_TARAS_01_MAX_SPD_VA
TS_ENVYRIA_CANON_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_CANON_01
TS_ENVYRIA_CANON_01_CNDS_INAME	CARD_CNDS_SEIKYOU_NIGHT
TS_ENVYRIA_CANON_01_FILTER_KEYWORD	カノン
TS_ENVYRIA_CANON_01_CNDS_INAME	CARD_CNDS_CANON
TS_ENVYRIA_CANON_01_ABIL_INAME	AB_01_ENVYRIA_CANON_01
TS_ENVYRIA_CANON_01_CNDS_INAME	CARD_CNDS_CANON_UROB
TS_ENVYRIA_CANON_01_ABIL_INAME	AB_ENVYRIA_CANON_01_MAX_SPD_VA_NON
TS_ENVYRIA_CANON_01_ABIL_INAME_LVMAX	AB_ENVYRIA_CANON_01_MAX_SPD_VA
TS_ENVYRIA_CANON_01_CNDS_INAME	CARD_CNDS_CANON
TS_WRATH_KUDHANSTEIN_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WRATH_KUDHANSTEIN_01
TS_WRATH_KUDHANSTEIN_01_CNDS_INAME	CARD_CNDS_WRATHTRIZ
TS_WRATH_KUDHANSTEIN_01_FILTER_KEYWORD	クダンシュタイン,舞台版
TS_WRATH_KUDHANSTEIN_01_CNDS_INAME	CARD_CNDS_SEIKYOU_NIGHT
TS_WRATH_KUDHANSTEIN_01_CNDS_INAME	CARD_CNDS_KUDHANSTEIN
TS_WRATH_KUDHANSTEIN_01_CNDS_INAME	CARD_CNDS_KUDHANSTEIN_UROB
TS_WRATH_KUDHANSTEIN_01_ABIL_INAME	AB_WRATH_KUDHANSTEIN_01_MAX_SPD_VA_NON
TS_WRATH_KUDHANSTEIN_01_ABIL_INAME_LVMAX	AB_WRATH_KUDHANSTEIN_01_MAX_SPD_VA
TS_LOST_ACHAD_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_LOST_ACHAD_01
TS_LOST_ACHAD_01_CNDS_INAME	CARD_CNDS_TEN_CMNDMNTS
TS_LOST_ACHAD_01_FILTER_KEYWORD	アハト
TS_LOST_ACHAD_01_CNDS_INAME	CARD_CNDS_ACHAD
TS_LOST_ACHAD_01_CNDS_INAME	CARD_CNDS_ACHAD_UROB
TS_LOST_ACHAD_01_ABIL_INAME	AB_LOST_ACHAD_01_MAX_SPD_VA_NON
TS_LOST_ACHAD_01_ABIL_INAME_LVMAX	AB_LOST_ACHAD_01_MAX_SPD_VA
TS_LUST_YAULAS_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_LUST_YAULAS_01
TS_LUST_YAULAS_01_CNDS_INAME	CARD_CNDS_LUST
TS_LUST_YAULAS_01_FILTER_KEYWORD	ヤウラス
TS_LUST_YAULAS_01_CNDS_INAME	CARD_CNDS_SEIKYOU_NIGHT
TS_LUST_YAULAS_01_CNDS_INAME	CARD_CNDS_YAULAS
TS_LUST_YAULAS_01_CNDS_INAME	CARD_CNDS_YAULAS_UROB
TS_LUST_YAULAS_01_ABIL_INAME	AB_LUST_YAULAS_01_MAX_SPD_VA_NON
TS_LUST_YAULAS_01_ABIL_INAME_LVMAX	AB_LUST_YAULAS_01_MAX_SPD_VA
TS_ENVYRIA_MONZOTM_02_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_MONZOTM_02
TS_ENVYRIA_MONZOTM_02_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_MONZOTM_02_FILTER_KEYWORD	モンゼイン
TS_ENVYRIA_MONZOTM_02_CNDS_INAME	CARD_CNDS_SEIKYOU_NIGHT
TS_ENVYRIA_MONZOTM_02_CNDS_INAME	CARD_CNDS_MONZOTM
TS_ENVYRIA_MONZOTM_02_CNDS_INAME	CARD_CNDS_MONZOTM_UROB
TS_ENVYRIA_MONZOTM_02_ABIL_INAME	AB_ENVYRIA_MONZOTM_02_MAX_SPD_VA_NON
TS_ENVYRIA_MONZOTM_02_ABIL_INAME_LVMAX	AB_ENVYRIA_MONZOTM_02_MAX_SPD_VA
TS_CRY_MERL_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_CRY_MERL_01
TS_CRY_MERL_01_CNDS_INAME	CARD_CNDS_CRY_COLABO
TS_CRY_MERL_01_FILTER_KEYWORD	メルリヌス,クリユニ,クリスタルオブリユニオン
TS_CRY_MERL_01_CNDS_INAME	CARD_CNDS_MERLNUS_UROBOROS
TS_CRY_MERL_01_CNDS_INAME	CARD_CNDS_CRY_COLABO
TS_CRY_MERL_01_ABIL_INAME	AB_CRY_MERL_01_MAX_SPD_VA_NON
TS_CRY_MERL_01_ABIL_INAME_LVMAX	AB_CRY_MERL_01_MAX_SPD_VA
TS_REALEVENT_01_ABIL_INAME	AB_01_REALEVENT_01
TS_REALEVENT_02_ABIL_INAME	AB_01_REALEVENT_01
TS_REALEVENT_03_ABIL_INAME	AB_01_REALEVENT_01
TS_WADA_SETSUNA_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WADA_SETSUNA_01
TS_WADA_SETSUNA_01_CNDS_INAME	CARD_CNDS_WADA
TS_WADA_SETSUNA_01_FILTER_KEYWORD	セツナ,闇セツナ,ダークファントム
TS_WADA_SETSUNA_01_CNDS_INAME	CARD_CNDS_LOGI_DIOS_SETSUNA
TS_WADA_SETSUNA_01_CNDS_INAME	CARD_CNDS_SETSUNA
TS_WADA_SETSUNA_01_CNDS_INAME	CARD_CNDS_SETSUNA_UROB
TS_WADA_SETSUNA_01_ABIL_INAME	AB_WADA_SETSUNA_01_MAX_SPD_VA_NON
TS_WADA_SETSUNA_01_ABIL_INAME_LVMAX	AB_WADA_SETSUNA_01_MAX_SPD_VA
TS_WADA_IZAYOI_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WADA_IZAYOI_01
TS_WADA_IZAYOI_01_CNDS_INAME	CARD_CNDS_WADA
TS_WADA_IZAYOI_01_FILTER_KEYWORD	イザヨイ
TS_WADA_IZAYOI_01_CNDS_INAME	CARD_CNDS_RINN_TAMAMO_HAYATE_IZAYOI
TS_WADA_IZAYOI_01_CNDS_INAME	CARD_CNDS_IZAYOI
TS_WADA_IZAYOI_01_CNDS_INAME	CARD_CNDS_IZAYOI_UROB
TS_WADA_IZAYOI_01_ABIL_INAME	AB_WADA_IZAYOI_01_MAX_SPD_VA_NON
TS_WADA_IZAYOI_01_ABIL_INAME_LVMAX	AB_WADA_IZAYOI_01_MAX_SPD_VA
TS_WADA_ZIN_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_WADA_ZIN_01
TS_WADA_ZIN_01_CNDS_INAME	CARD_CNDS_WADA
TS_WADA_ZIN_01_FILTER_KEYWORD	ジン,ヨミ
TS_WADA_ZIN_01_CNDS_INAME	CARD_CNDS_ZIN_YOMI
TS_WADA_ZIN_01_ABIL_INAME	AB_01_WADA_ZIN_01
TS_WADA_ZIN_01_CNDS_INAME	CARD_CNDS_ZIN_YOMI_UROB
TS_WADA_ZIN_01_ABIL_INAME	AB_WADA_ZIN_01_MAX_SPD_VA_NON
TS_WADA_ZIN_01_ABIL_INAME_LVMAX	AB_WADA_ZIN_01_MAX_SPD_VA
TS_WADA_ZIN_01_CNDS_INAME	CARD_CNDS_ZIN
TS_DESERT_UZUMA_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_DESERT_UZUMA_01
TS_DESERT_UZUMA_01_CNDS_INAME	CARD_CNDS_DESERT
TS_DESERT_UZUMA_01_FILTER_KEYWORD	ウズマ,シェヘラザーデ,ウェディング
TS_DESERT_UZUMA_01_CNDS_INAME	CARD_CNDS_MARRIAGE
TS_DESERT_UZUMA_01_CNDS_INAME	CARD_CNDS_UZUMA_SHEHERAZADE
TS_DESERT_UZUMA_01_CNDS_INAME	CARD_CNDS_UZUMA_SHEHERAZADE_UROB
TS_DESERT_UZUMA_01_ABIL_INAME	AB_DESERT_UZUMA_01_MAX_SPD_VA_NON
TS_DESERT_UZUMA_01_ABIL_INAME_LVMAX	AB_DESERT_UZUMA_01_MAX_SPD_VA
TS_DESERT_UZUMA_01_CNDS_INAME	CARD_CNDS_UZUMA
TS_ENVYRIA_LUCRETIA_02_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_LUCRETIA_02
TS_ENVYRIA_LUCRETIA_02_CNDS_INAME	CARD_CNDS_MARRIAGE
TS_ENVYRIA_LUCRETIA_02_FILTER_KEYWORD	ルクレティア,ウェディング
TS_ENVYRIA_LUCRETIA_02_CNDS_INAME	CARD_CNDS_LUCRETIA
