001	ネヴィル、カイザル、ブラド…
002	ラーストリスの柱、<br>“ラース三傑”と呼ばれ<br>他国の戦士たちに恐れられていた彼らは…
003	――どこか様子がおかしかった
004	――4月1日の1週間前
021	大丈夫だって、もーネヴィルは<br>ホントに心配性なんだから<br>大丈夫、俺らが実装されないわけないって	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0009
022	いや、俺もそう思いたいさ<br>でもさ、実際結構不安だよな…<br>忘れられてるのかな？　みんなに？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0003
023	え？　それはないっしょ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0010
024	なんでだよ？<br>俺たち出番自体は少ないからな…	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0004
025	絶対忘れられてないってば	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0011
026	なんで、そんな自信持って言えんだよ？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0005
027	だってさ、毎回さ、ゲーム立ち上げる時、<br>ちょっと繋がり悪いと<br>過去のあらすじ流れるじゃん？	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0012
028	ゲームって言っちゃったよ<br>…いや流れるけど	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0006
029	そこに、たまに俺らの<br>デザイン画みたいなの出てくるじゃん	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0013
030	出るな	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0007
031	…………
032	…………
033	そういうことだよ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0015
034	それだけ!?<br>よく自信持てるな、あれだけで！	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0009
035	あそこ出てるのは強いね	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0007
036	そーでもねぇって	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0010
037	プレイするには<br>まず俺たち見なきゃってことだもん	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0016
038	あそこの時、みんなあんまり<br>見てないと思うよ、画面	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0011
039	序盤にあのポジション<br>取れてる時点で勝ちよ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0017
040	六本木に昔から<br>土地持ってましたみたいなことだよね	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0008
041	例えが合ってるのか<br>わかんねーけど	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0012
042	とにかく、俺らが忘れられてる<br>ってのは絶対にないから	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0018
043	じゃあさ、俺たち<br>ナメられてるんじゃねーのか？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0013
044	どーゆうことだよ？	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0009
045	だから、みんなに忘れられてなくて、<br>それでもこんなに実装遅れてるってことは、<br>ナメられてるってことだろ？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0014
046	それだったらネヴィル<br>お前のせいだろ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0019
047	なんでだよ	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0015
048	あのチュートリアルだよ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0020
049	チュートリアル？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0016
050	あのチュートリアルの時、<br>お前さブラドに錬成されて<br>出てきたじゃん？	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0021
051	ああ、あれね、あれがどうかした？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0017
052	なんか、俺凄い奴です感<br>半端なく出てきたじゃん？	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0022
053	まあね、そういう流れだったから	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0018
054	そんな感じで出てきたのに<br>ガキふたりにアッサリやられてんだもん	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0023
055	え？	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0019
056	あれね～、あれはマジ引いたよ<br>錬成し損だったわ	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0010
057	いや、別にあれは関係ねーだろ	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0020
058	いや、あれだよナメられてるのは、<br>絶対にあれ<br>ちゃんと思い返してみろよ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0024
