QE_TM_POT_LIM_LV1	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_EV_TRIAL_01	【念動師説明】<br>・通常攻撃は魔攻参照の物理攻撃<br>・スキルの一部は魔攻・魔防および相手の魔防を参照の魔法攻撃<br> - パイロキネシス<br> - 電磁念撃<br> - 念波水流<br>※魔防100～500のラットンに使用してダメージの違いを確認しよう！<br>・開始3ターンはサポートアビリティ「念動加速」により物攻、物防、魔攻、魔防、素早さが上昇
QE_MULTI_CLEAR_IMPOSSIBLE_01	コンティニュー不可
QE_EV_CLEAR_IMPOSSIBLE_02_VERYEASY	魔人との戦いは厳しいものとなる！　まずはこのクエストで腕試しだ！
QE_EV_CLEAR_IMPOSSIBLE_02_EASY	ハイレベルな魔人とのバトル！　※エクストラのクエストミッション報酬の幻晶石はギフトに送られます
QE_EV_CLEAR_IMPOSSIBLE_02	コンティニュー不可
QE_EV_CLEAR_IMPOSSIBLE_03	出身国がラーストリスのユニットが出撃すると、マップ上でステータスがアップ!!　コンティニュー不可
QE_EV_CLEAR_IMPOSSIBLE_05	攻略のヒント：<br>①『報復の影』は不死状態だが反撃で自爆攻撃を使用する。自爆攻撃の威力は使用者のHPに依存する。HPを減らして対処することも有効だ。<br>②クエスト後半ではガーゴイル【深淵】が出現する。高いステータスを持つ強力な敵だが、HPが減ると行動パターンが変化し危険度も上がる。注意して挑もう！<br>コンティニュー不可<br><br>※マップクリアにはガーゴイル【深淵】の撃破が必須となります。
QE_MULTI_CLEAR_IMPOSSIBLE_02	コンティニュー不可
QE_MULTI_CLEAR_IMPOSSIBLE_03	出身国がラーストリスのユニットが出撃すると、マップ上でステータスがアップ!!　コンティニュー不可
QE_MULTI_CLEAR_IMPOSSIBLE_04	コンティニュー不可
QE_MULTI_CLEAR_IMPOSSIBLE_05	攻略のヒント：<br>①『報復の影』は不死状態だが反撃で自爆攻撃を使用する。自爆攻撃の威力は使用者のHPに依存する。HPを減らして対処することも有効だ。<br>②クエスト後半ではガーゴイル【深淵】が出現する。高いステータスを持つ強力な敵だが、HPが減ると行動パターンが変化し危険度も上がる。注意して挑もう！<br>コンティニュー不可<br><br>※マップクリアにはガーゴイル【深淵】の撃破が必須となります。
QE_WA_UZMA_EX_SP_1	『途中交代』機能が使用可能。サブユニットと任意のタイミングで交代することができ、交代したサブユニットはすぐに行動可能となります。
QE_EV_HALL_HAYATE_EX	ヒント：ラットンは弱ってくると不思議なお菓子を食べます
QE_EV_HAGAREN_14	攻略のヒント：クラヤミバナは瀕死になると特殊なスキルを使うぞ！<br>
QE_EV_HAGAREN_2_14	攻略のヒント：クラヤミバナは瀕死になると特殊なスキルを使うぞ！<br>
QE_EV_HAGAREN_3_14	攻略のヒント：クラヤミバナは瀕死になると特殊なスキルを使うぞ！<br>
QE_EV_HAGAREN_EX_SP_3	◇◇錬金境界値上昇率アップ対象◇◇<br>・迫り来る約束の日<br>※詳細はイベント詳細をご確認ください。<br><br>攻略のヒント：ブロックに阻まれたパネルを踏むと強力なバフ効果を得ることができるぞ！<br>ある敵を倒すことでブロックを消すことが可能だ！<br>
QE_CB_POK_LV_EX_SP	コンティニュー不可<br><br>攻略のヒント：メタルメイデンは行動後すぐに撤退する！<br>メタルメイデン撤退前に攻撃することが出来れば味方全体にバフがかかる。バフを上手く利用して攻略しよう！
QE_MULTI_POK_LV_EX_SP	コンティニュー不可<br><br>攻略のヒント：メタルメイデンは行動後すぐに撤退する！<br>メタルメイデン撤退前に攻撃することが出来れば味方全体にバフがかかる。バフを上手く利用して攻略しよう！
QE_MULTI_POK_LV_EX_SP2	コンティニュー不可<br><br>攻略のヒント：支援秘石は通常攻撃を行うと回復＆CTアップをかけてくれる。上手く利用して攻略しよう！
QE_EV_POK3_SAM_EX	攻略のヒント：支援バフクリスタルのリアクションは距離によって支援効果が異なるぞ！<br>うまく利用してクエストを攻略しよう！
QE_EV_SEISEKI_DJ_10_EX	※「5人以内のパーティでクリア」にはNPCのオーティマも含まれます。<br>攻略のヒント：クロックダウン[呪い]はやっかいだが、パネルを踏むことでカタヒバナを倒すことが可能！
QE_EV_POK3_SAM_EX2	※「「ティルフィング」で最後の敵を倒してクリア」は[黒]ティルフィングでは達成されません。<br>攻略のヒント：<br>・対○○の守護獣が敵全体の攻撃区分の耐性をアップさせているぞ！早めに倒すか耐性の無い攻撃区分で倒そう！<br>・ティルフィンググリードのリアクションアビリティ『粛清の黒』は非常にやっかい！「ある」状態異常に掛けられれば反撃はこないぞ！
QE_EV_XMAS2017_EX	攻略のヒント：カップルの♂は、それぞれ名前に対応した攻撃から自分以外の味方全体を守っているぞ。自分のPTの属性や攻撃区分に合った敵から倒していこう！<br>トラップなどによる固定ダメージも効果的だ！！
QE_EV_POK4_SAM_EX	攻略のヒント：メタルラットンに攻撃があたると大きなダメージがくるぞ！固い敵に相性のいいユニット編成も･･･　
QE_EV_VALENTINE2018_EX	攻略のヒント：メタルラットンに攻撃があたると様々な攻撃を仕掛けてくるぞ！属性をよく確認して攻撃しよう！
QE_MULTI_VALENTINE2018_EX	攻略のヒント：メタルラットンに攻撃があたると様々な攻撃を仕掛けてくるぞ！属性をよく確認して攻撃しよう！
QE_EV_APRIL_2018_EX	攻略のヒント：門の壁を壊すと出現する石垣ADを...。
QE_EV_POK5_EX	攻略のヒント：支援バフクリスタルを撃つことで得られる支援効果をうまく利用して攻略しよう！
QE_MULTI_POK5_EX	攻略のヒント：支援バフクリスタルを撃つことで得られる支援効果をうまく利用して攻略しよう！
QE_EV_WEDDING_2018_EX	◇◇錬金境界値上昇率アップ対象◇◇<br>・幸せってこと♪<br>※詳細はイベント詳細をご確認ください。<br>ステージ効果：Jump-2
QE_EV_MULTI_WEDDING_2018_EX	ステージ効果：Jump-2

QE_EV_VISION_CLEAR_CP	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_01	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_02	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_03	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_04	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_05	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_06	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_07	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_08	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_09	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！
QE_EV_VISION_CLEAR_CP_10	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！

QE_2018_COMIKE_EV	特定の真理念装の錬金境界値がアップする!?　詳しくはイベント詳細へ！！

QE_MT_TOWER_7	攻略のヒント：監視ラットンに見つかると熟睡している敵が全て起きてしまうぞ！うまく見つからずに1体ずつ倒していこう！
QE_MT_TOWER_9	攻略のヒント：ステージ奥にいるシビレバナは敵全体の回復パネルに乗っているので早く倒そう！ユニット配置で初期位置をうまく変更してパネルを活用しよう！
QE_MT_TOWER_11	攻略のヒント：ステージ奥にいるアイリュを素早く倒すことが攻略のポイント！しかしメタルラットンが邪魔をしてくるぞ！うまく飛び越えることが出来れば・・！？
QE_MT_TOWER_12	攻略のヒント：ハナに海賊のあの範囲スキルを浴びせれば、状態異常を無効化できるぞ！
QE_MT_TOWER_13	攻略のヒント：鬼魔人をいかに足止めできるかが攻略のポイント！素早さやCTを下げると時間が稼げるぞ！
QE_MT_TOWER_14	攻略のヒント：相手の素早さを凌駕するユニットがいるか否かで戦い方が変わるぞ！
QE_MT_TOWER_15	攻略のヒント：異層の惚れ魔人を味方に出来れば大幅な戦力となる！幻影魔兵・僧侶の全体予防には注意が必要だ！
QE_MT_TOWER_16	攻略のヒント：高低差に強いドラゴンナイトの出番！
QE_MT_TOWER_17	攻略のヒント：敵の攻撃があたらなければ問題ない！高回避ユニットに回避系スキルで避けまくろう！
QE_MT_TOWER_18	攻略のヒント：プッシュ魔人の「押し出し」に気を付けよう！
QE_MT_TOWER_19	攻略のヒント：命輝のラットンを素早く倒さないと全滅必至の大ダメージを受けてしまうので早く倒そう！AJ5000を攻撃するとAJシリーズの能力が機械学習によりどんどん上がっていくぞ！一気に倒してしまおう！
QE_MT_TOWER_20	攻略のヒント：射撃UPパネルを有効活用し、迫りくる爆裂型ヒラットンが近づく前に倒してしまおう！
QE_MT_TOWER_21	攻略のヒント：魔攻UP＆詠唱速度UPバフパネルを利用して、プッシュ魔人を倒そう。
QE_MT_TOWER_22	攻略のヒント：斬撃ユニットで挑もう。対人特効、魔人特効があるとより有利になる。
QE_MT_TOWER_23	攻略のヒント：射撃職は天候効果「突風」で射程がアップするスキルが多い。
QE_MT_TOWER_24	攻略のヒント：対斬打射刺魔の守護獣は敵全体の耐性を上げているやっかいな敵。増援のたびに耐性は少しずつ減っていく。対斬打射刺魔の守護獣にも弱点は無いように見えるが、ステータス画面でパラメータや耐性をよく見ると攻略の糸口がつかめるかも！？
QE_MT_TOWER_25	攻略のヒント：邪魔なデザート魔人はブロックに閉じ込めよう！
QE_MT_TOWER_26	攻略のヒント：敷き詰められたトラップは魔法攻撃区分だ。耐性があるユニットは限られているぞ。
QE_MT_TOWER_27	攻略のヒント：物理攻撃は完全回避されてしまうので、魔法攻撃で攻略しよう！支援秘石をうまく活用することが攻略のポイントとなるが、射程1と近づかないと発動しないので注意！
QE_MT_TOWER_29	攻略のヒント：行動短縮パネルにのると次ターンまでの待ち時間が大幅に短縮されるぞ！
QE_MT_TOWER_30	攻略のヒント：毒の沼は進むことは出来るがダメージを受けたり毒・回復無効状態となるので、なるべく入らないようにしよう！
QE_MT_TOWER_31	攻略のヒント：爆発するメタルラットン達をどう処理するかで難易度が大きく変わるぞ。メタルラットンたちはリアクションアビリティでも自爆するが、魔法攻撃を当てると爆発を無効化して倒すことができるぞ。新型ガードロイド（盗品）のすぐ隣にメタルラットンをおくと・・？
QE_MT_TOWER_32	攻略のヒント：魔法区分の射撃で攻撃する毎に物攻、魔防が大幅にアップしていくが、代わりにどんどん下がっていく物もあるぞ！
QE_MT_TOWER_33	攻略のヒント：ラットンは隣接するユニットが多くなれば魔法の威力が上がっていくぞ！魔人は増援が来る度に攻撃が通りやすくなるぞ！魔人に見つからず、追いつかれないように動こう。
QE_MT_TOWER_34	攻略のヒント：ソウルジュエルを取ることで、影魔道士が消滅し新たな道がひらけるぞ！カウントが終わる前にソウルジュエルの獲得に向けて速やかに進軍しよう！また、敵ユニットは刺突・打撃以外に強力な耐性を持っているので適切なユニットを選定しよう！
QE_MT_TOWER_35	攻略のヒント：初期配置や使用ユニットやスキルを工夫することによって、多数の敵を一撃で倒すことができるぞ！黒騎士と狂ウルフは高火力のスキルを使用するため、負けじと高火力のスキルで一気にたたみかけよう！
QE_MT_TOWER_36	攻略のヒント：各種耐性の花は攻撃を行うと各種攻撃区分の耐性を下げてくれるぞ。しかし、射撃区分で攻撃を行うと『機能停止』してしまうので注意しよう。
QE_MT_TOWER_37	攻略のヒント：惚れ魔人にはいつもの状態異常が有効だぞ！魔人の通常攻撃には耐性を貫通するある状態異常効果があるぞ。
QE_MT_TOWER_38	攻略のヒント：マップの5つのパネルは、それぞれ特定の敵ユニットが踏むことで味方にプラスとなる効果を発揮するぞ！パネルの名称をヒントにして、どの敵ユニットを乗せれば良いか考えよう。
QE_MT_TOWER_39	攻略のヒント：メタルラットンが毎ターン有効な属性を変化させるシールドを展開するぞ。賢者など複数の属性で攻撃できるジョブでチャレンジしよう！増援の登場直後の耐性は注意が必要だ。敵ユニットは索敵感知外だと近づいてこないため、無理せず近場の敵から各個撃破していこう！
QE_MT_TOWER_40	攻略のヒント：二体の守護獣がそれぞれ、物理、魔法の二種のバリアを張ってくるため、詠唱中断などのスキルでこれを食い止めよう！終盤に出現するクイーンには状態異常として毒が入るので、毒を使用できれば一気に楽になるぞ！
QE_MT_TOWER_41	攻略のヒント：下位魔人の通常攻撃はダメージは無いが自身を中心として周りの敵を毒と魅了状態にするぞ！<br>幻影兵・レンジャーのアローレイン、上位魔人の改造レーザー、ディアブロのフォールエッジは状態異常特効が付与されているぞ！なるべく状態異常にならないように気をつけよう！
QE_MT_TOWER_43	攻略のヒント：敵はHPが最大に近いほど強力な先制反撃をしてくるぞ。リアクションでの反撃やリアクション封じを駆使して敵を殲滅しよう。また攻撃する区分によって反撃してくる射程や距離が違うぞ。よく見極めよう！
QE_MT_TOWER_44	ショックラットンは放っておくとスタン効果のある攻撃を仕掛けてくるのであまり長く放置しないように注意しよう！<br>ＡＪ７０００は自身がユニットを倒す度に少しずつステータスがダウンしていくぞ！<br>ＡＪ７０００の使用スキル一覧<br>ハイエナジーショット：対象に無属性の射撃攻撃&対象が猛毒・移動禁止状態の場合威力大幅アップ、直射[射程:10]<br>ハイエナジースフィア：指定範囲内の対象に無属性の魔法攻撃&対象が多いほど威力アップ[射程:7,範囲:正方形1マス]<br>ハイアルケミックウェーブ：自身を中心とした範囲内の対象に無属性の魔法攻撃&対象が少ないほど威力アップ&対象が鈍足・移動禁止状態の場合威力大幅アップ[範囲:菱形2マス]<br>サイコストーム：対象に風属性の魔法攻撃&強制的に猛毒効果[射程:4,高低差:3]<br>サイコダーク：対象に闇属性の魔法攻撃&強制的に鈍足効果[射程:4,高低差:3]<br>狂乱射:マップ全域の対象に無属性の魔法攻撃&対象が少ないほど威力アップ&ダメージの一部吸収（HP50%以下になった際1回のみ使用）<br>暴走乱射:マップ全域の対象に無属性の魔法攻撃&対象が少ないほど威力アップ（HP25%以下になった際1回のみ使用）<br>暴走：永続で自身の物攻・魔攻・素早さ・デバフ耐性を大幅アップ&このスキルのバフ効果・デバフ効果解除不可（HP25%以下になった際1回のみ使用）
QE_MT_TOWER_45	攻略のヒント：ハナ達は範囲攻撃に耐性をもっているぞ。早く倒さないと敵を強化したり味方を弱体化してくるため単体攻撃で迅速に処理しよう。また敵の魔人の射程に気をつけながら戦おう！
QE_MT_TOWER_46	攻略のヒント：『踊るメタルラットン』以外は不死で、『踊るメタルラットン』を全て倒すと倒れるので近づけさせずに対処しよう。『踊るメタルラットン』は自身の属性耐性を変更する時があるので、対応した属性攻撃で倒したい。ただし『踊るメタルラットン』は先制リアクションで敵全体にバフをかけ、さらに倒すと敵全体の能力が強化されるので注意しよう。
QE_MT_TOWER_47	攻略のヒント：<br>・『黒騎士』は「送還ポイント」に乗せることで倒すことができるぞ！<br>・『魔人』は毎ターンHPが回復し、満タンになると非常に高威力の全体攻撃を行うためHPを削って対処しよう！<br>・増援で登場する『巨大黒騎士』は、他の敵を倒さないとダメージが通りにくいぞ！
QE_MT_TOWER_48	攻略のヒント：クエストに入ると任意の2ユニットが強制的にチェンジングされ、『祈祷するバナ』から呪いの移動・攻撃禁止かつ毒を付与される。『祈祷するバナ』は対応した『ジャム』を倒すことで死亡するが、『祈祷するバナ』がマップ上にいる状態でプレイヤー側のユニットが死亡すると敵全体に強力なバフがかかるので注意しよう。
QE_MT_TOWER_49	攻略のヒント：『幻影兵・ドラゴンナイト』の自爆ジャンプ攻撃は菱形4と広範囲かつ、ジャンプ攻撃耐性を下げるので可能な限り受ける回数を減らしたい。また『黒騎士』は死者が多いほど強力になるスキル攻撃を持っているが、自爆攻撃されるとすぐに強化されるので注意しよう。
QE_MT_TOWER_50	攻略のヒント：『バフマンドラゴラ』と『デバフマンドラゴラ』はダメージが通りづらいため連続攻撃で処理しよう！
QE_MT_TOWER_51	攻略のヒント：『エスケープジャッジ』は、その場から動かず通常攻撃もしてこないが、プレイヤー側ユニットが直線上にいた場合は、致死ダメージを与えるスキル『ニガシハシマセン』を使用する。<br>『グレイト・カイザー』『ジーニアス・ビートル』にダメージを与えていくと、『乱入者』が増援で現れる。敵全員がノックバックを使用するので、『エスケープジャッジ』の射程内に弾き飛ばされないよう位置取りに注意して戦いたい。
QE_MT_TOWER_52	攻略のヒント：各ラットンはHPが1のときにターンが回ってくると、敵味方問わず巻き込む自爆攻撃を使用する。範囲はそれぞれ「十字4マス」「クロス4マス」「菱形2マス」となっている。<br>『磁力ロボ』は一定周期で、マップ全域の「菱形メタルラットン」を引き寄せる攻撃を行うため位置取りに注意しよう。なお攻撃を入れようとすると、敵陣営のユニット全員に「1ターン回避率大幅アップ」のバフ効果をかける。<br>※このクエストでクロックアップ効果を使用することはできない。
QE_MT_TOWER_53	攻略のヒント：『クイーン』はクエスト開始時に『女王の聖域』を使用し、「永続で対象にかかるバフ発動率を大幅ダウン」させる。<br>敵ユニットは「無区分以外の攻撃による被ダメージ時に1回ダメージを受けるまでダメージを受けた攻撃の区分耐性大幅アップ」のリアクションアビリティと「無区分攻撃による被ダメージ時にCTアップ」のリアクションアビリティを持っている。<br>HP50%以下になると『AJ7000』は「対男性防御補正大幅アップ」、『クイーン』は「対女性防御補正大幅アップ」し、「デバフ効果を無効化」する。また、「永続でマップ全域の敵のクロックアップ・CTアップを無効化」するスキルを使用する。<br>敵ユニットを1体倒すと残りの1体の全パラメータが大幅に強化される。
QE_MT_TOWER_54	攻略のヒント：<br>・敵がパネル『最終防衛ライン』に到達するとクエスト失敗になる。<br>・敵は全員<現実>タイプ、もしくは<幻影>タイプに属している。<br>・『パネル＜幻影＞』や『パネル＜現実＞』に乗っている間は、同じタイプの防御補正と異なるタイプの特効補正が大幅アップ。
QE_MT_TOWER_55	攻略のヒント：敵ユニットは特定の攻撃区分で攻撃すると1ターンスタン状態になりダメージが通りやすくなる。複数の攻撃区分を使用可能なユニットを編成しておくと攻略しやすくなるだろう。<br>また、敵ユニットは特定の敵ユニットが撃破された場合に強化されることがある。特に『マシン・ゴールド』は一番最後まで残さないようにしよう。
QE_MT_TOWER_56	攻略のヒント：特定のユニットを倒すと、対応した『影』ユニットの石化が解除され、本体が増援で出現する。(石化解除の為、特定のユニットはガッツを持っているのでリアクションに注意)<br>石化が解除された『影』のユニットは不死だが、本体を倒すと同時に倒れる。<br>『ニムル』だけは少し違う動きをするので注意。
QE_MT_TOWER_57	攻略のヒント：『AJ7000』の使用するスキル『リアクション号令【1ターン】』効果中はリアクションアビリティが発動する為『AJ7000』『AJ5000』のリアクションアビリティに注意しよう。<br>また、『AJ7000』『AJ5000』は全防御が非常に高いが、『操られている幻影兵』が発動するリアクションアビリティは『AJ7000』『AJ5000』の全防御を下げる効果がある為、攻撃するタイミングや対象を見極め攻略しよう。
QE_MT_TOWER_58	攻略のヒント：このマップに出現する敵ユニットは全て不死なので倒せない。<br>マップで特定の高さで停止すると『堅物審判』に排除される。<br>『せっかちバナ』はジュエルが貯まると『鬼』にクロックアップをかける。<br>『のんびりラットン』はジュエルが貯まると『プレイヤーユニット全員』にCTダウンをかける。<br>『せっかちバナ』『のんびりラットン』はガッツが発動(HP1以下)になるとスタン状態になり、ジュエルが0になる(スタン状態中もジュエルは貯まらない)
QE_MT_TOWER_59	攻略のヒント：それぞれ敵ユニットは以下の属性耐性や特徴がある為、複数属性のユニットを編成して攻略しよう。<br>・対近距離特化の火闇竜：火属性、闇属性耐性が非常に高く、生存している間プレイヤーユニットのクリティカル率大幅ダウン<br>・対遠距離特化の水闇竜：水属性、闇属性耐性が非常に高く、生存している間プレイヤーユニットのジュエル自動回復効果を無効化<br>・対近距離特化の風光竜：風属性、光属性耐性が非常に高く、生存している間プレイヤーユニットの移動力ダウン<br>・対遠距離特化の雷光竜：雷属性、光属性耐性が非常に高く、生存している間プレイヤーユニットの消費ジュエル増加
QE_MT_TOWER_60	攻略のヒント：「禁忌狼」のスキル「『禁域』レベルロスト」の効果で補助行動禁止状態になってしまうので攻撃が得意なユニットで挑もう。<br>ラットンたちはプレイヤーの攻撃でHPが1以下になった場合プレイヤーの物攻・物防・魔攻・魔防・器用さ・会心・運を上昇させるリアクションを発動する。全て重複するためうまく活用しよう。<br>敵は反撃攻撃に高い耐性がある。さらにラットンは追加で範囲攻撃に高い耐性があるぞ。


QE_EV_GEKITOUQUEST_LV_01	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃
QE_EV_GEKITOUQUEST_LV_02	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>羨望ノ物襲撃：プレイヤーの物攻に依存した先制反撃<br>羨望ノ魔襲撃：プレイヤーの魔攻に依存した先制反撃<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃
QE_EV_GEKITOUQUEST_LV_03	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>羨望ノ物襲撃：プレイヤーの物攻に依存した先制反撃<br>羨望ノ魔襲撃：プレイヤーの魔攻に依存した先制反撃<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃
QE_EV_GEKITOUQUEST_LV_04	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>羨望ノ物襲撃：プレイヤーの物攻に依存した先制反撃<br>羨望ノ魔襲撃：プレイヤーの魔攻に依存した先制反撃<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃
QE_EV_GEKITOUQUEST_LV_05	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>羨望ノ物襲撃：プレイヤーの物攻に依存した先制反撃<br>羨望ノ魔襲撃：プレイヤーの魔攻に依存した先制反撃<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃

QE_EV_GEKITOUQUEST_DIABLO_N_03	攻略のヒント：不死ガーゴイルたちは定期的に強力な攻撃を自身の前方の敵に対して使用するぞ！タイミングを見極めて立ち回ろう！<br>一部スキル紹介：<br>傲慢ノ落刃：傲慢のディアブロのHPが高いほど強力な攻撃
