JB_BGM_0003_TITLE	分別なき欲望
JB_BGM_0154_TITLE	その罪は無慈悲な青
JB_BGM_0154_TITLE_EN	Blue with No Mercy
JB_BGM_0154_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0154_SITUATION	神ガ選ばぬ、革命を　2章『恋と、色欲の偏差』通常バトルBGM
JB_BGM_0155_TITLE	災厄、凍土に踊る
JB_BGM_0155_TITLE_EN	Disasters on the Ice
JB_BGM_0155_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0155_SITUATION	神ガ選ばぬ、革命を　2章『恋と、色欲の偏差』ボスバトルBGM
JB_BGM_0156_TITLE	怠惰罪域＜アケディア・ベルト＞
JB_BGM_0156_TITLE_EN	Acedia Belt
JB_BGM_0156_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0156_SITUATION	神ガ選ばぬ、革命を　3章『それを怠惰と呼ぶのなら』テーマBGM
JB_BGM_0157_TITLE	その罪は轟々と響く
JB_BGM_0157_TITLE_EN	The Sin Roar and Roar
JB_BGM_0157_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0157_SITUATION	神ガ選ばぬ、革命を　3章『それを怠惰と呼ぶのなら』通常バトルBGM
JB_BGM_0158_TITLE	災厄、大地を貫く
JB_BGM_0158_TITLE_EN	Disasters Penetrate the Ground
JB_BGM_0158_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0158_SITUATION	神ガ選ばぬ、革命を　3章『それを怠惰と呼ぶのなら』ボスバトルBGM
JB_BGM_0162_TITLE	暴食罪域＜グラ・ベルト＞への帰還
JB_BGM_0162_TITLE_EN	Return to Gula Belt
JB_BGM_0162_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0162_SITUATION	神ガ選ばぬ、革命を　4章『その暴食をも呑み干して』テーマBGM
JB_BGM_0163_TITLE	災厄、森閑は穢れ
JB_BGM_0163_TITLE_EN	Disasters Defile in the Silence
JB_BGM_0163_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0163_SITUATION	神ガ選ばぬ、革命を　4章『その暴食をも呑み干して』ボスバトルBGM
JB_BGM_0165_TITLE	嫉妬罪域＜インディヴィア・ベルト＞
JB_BGM_0165_TITLE_EN	Indivia Belt
JB_BGM_0165_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0165_SITUATION	神ガ選ばぬ、革命を　5章『嫉妬が胸を灼こうとも』テーマBGM
JB_BGM_0166_TITLE	その罪は濁流となりて
JB_BGM_0166_TITLE_EN	Furious Wave with No Mercy
JB_BGM_0166_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0166_SITUATION	神ガ選ばぬ、革命を　5章『嫉妬が胸を灼こうとも』通常バトルBGM
JB_BGM_0167_TITLE	災厄、水底で渦巻く
JB_BGM_0167_TITLE_EN	Disasters in Seabed Storm
JB_BGM_0167_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0167_SITUATION	神ガ選ばぬ、革命を　5章『嫉妬が胸を灼こうとも』ボスバトルBGM
JB_BGM_0168_TITLE	憤怒罪域＜イラ・ベルト＞
JB_BGM_0168_TITLE_EN	Ira Belt
JB_BGM_0168_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0168_SITUATION	神ガ選ばぬ、革命を　6章『この憤怒こそ我が正義』テーマBGM
JB_BGM_0169_TITLE	その罪は爛々と猛りて
JB_BGM_0169_TITLE_EN	Burned Ferocity with No Mercy
JB_BGM_0169_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0169_SITUATION	神ガ選ばぬ、革命を　6章『この憤怒こそ我が正義』通常バトルBGM
JB_BGM_0170_TITLE	災厄、業火を謡う
JB_BGM_0170_TITLE_EN	Disasters in the Hellfire
JB_BGM_0170_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0170_SITUATION	神ガ選ばぬ、革命を　6章『この憤怒こそ我が正義』ボスバトルBGM
JB_BGM_0172_TITLE	君を待つ世界で
JB_BGM_0172_TITLE_EN	In the World Waiting for You
JB_BGM_0172_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0172_SITUATION	バベル遠征　TOP画面BGM
JB_BGM_0173_TITLE	系譜を紡ぐ者たち
JB_BGM_0173_TITLE_EN	Those Who Spin the Lineage
JB_BGM_0173_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0173_SITUATION	真理の系譜　TOP画面BGM　
JB_BGM_0174_TITLE	強欲罪域＜アヴァリティア・ベルト＞
JB_BGM_0174_TITLE_EN	Avaritia Belt
JB_BGM_0174_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0174_SITUATION	神ガ選ばぬ、革命を　7章『強欲なるは我が心』テーマBGM
JB_BGM_0175_TITLE	その罪は烈々と鳴り渡る
JB_BGM_0175_TITLE_EN	The Sin Rings Relentlessly
JB_BGM_0175_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0175_SITUATION	神ガ選ばぬ、革命を　7章『強欲なるは我が心』通常バトルBGM
JB_BGM_0176_TITLE	災厄、天鼓に駆ける
JB_BGM_0176_TITLE_EN	Disasters, in the Lightning Falls
JB_BGM_0176_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0176_SITUATION	神ガ選ばぬ、革命を　7章『強欲なるは我が心』ボスバトルBGM
JB_BGM_0177_TITLE	誰ガ為の創世
JB_BGM_0177_TITLE_EN	The Genesis
JB_BGM_0177_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0177_SITUATION	汎用　創世編会話パートBGM　ニュートラル曲
JB_BGM_0178_TITLE	傲慢罪域＜スペルビア・ベルト＞
JB_BGM_0178_TITLE_EN	Superbia Belt
JB_BGM_0178_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0178_SITUATION	神ガ選ばぬ、革命を　8章『傲慢こそが世を照らす』テーマBGM
JB_BGM_0179_TITLE	その罪は荒々と引き裂く
JB_BGM_0179_TITLE_EN	The Sin Splits Furiously
JB_BGM_0179_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0179_SITUATION	神ガ選ばぬ、革命を　8章『傲慢こそが世を照らす』通常バトルBGM
JB_BGM_0180_TITLE	災厄、天地を篩う
JB_BGM_0180_TITLE_EN	Disasters Sieving the Life
JB_BGM_0180_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0180_SITUATION	神ガ選ばぬ、革命を　8章『傲慢こそが世を照らす』ボスバトルBGM
JB_BGM_0186_TITLE	天なる蓋を穿つ塔
JB_BGM_0186_TITLE_EN	The Tower of Babel Piercing the Heavens
JB_BGM_0186_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0186_SITUATION	神ガ選ばぬ、革命を　最終章『我らが原罪はここに在り』テーマBGM
JB_BGM_0187_TITLE	罪は己の裡にありて
JB_BGM_0187_TITLE_EN	The Sin Inside of Me
JB_BGM_0187_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0187_SITUATION	神ガ選ばぬ、革命を　最終章『我らが原罪はここに在り』通常バトルBGM
JB_BGM_0188_TITLE	極点
JB_BGM_0188_TITLE_EN	Dead End
JB_BGM_0188_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0188_SITUATION	神ガ選ばぬ、革命を　最終章『我らが原罪はここに在り』ボスバトルBGM
JB_BGM_0181_TITLE	栄華は千古の彼方に
JB_BGM_0181_TITLE_EN	Ancient Glory
JB_BGM_0181_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0181_SITUATION	円環の世界に、竜は啼ク_大テーマBGM
JB_BGM_0182_TITLE	果ての天外にて
JB_BGM_0182_TITLE_EN	The End of the Boundless Sky
JB_BGM_0182_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0182_SITUATION	円環の世界に、竜は啼ク_汎用バトルBGM
JB_BGM_0183_TITLE	細氷　～Before the Luxuria～
JB_BGM_0183_TITLE_EN	Before the Luxuria
JB_BGM_0183_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0183_SITUATION	円環の世界に、竜は啼ク　1章『はじまりの少女』テーマBGM
JB_BGM_0184_TITLE	銀に染まりゆく世界
JB_BGM_0184_TITLE_EN	The World Turns to Silver in a Blizzard
JB_BGM_0184_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0184_SITUATION	円環の世界に、竜は啼ク　1章『はじまりの少女』バトルBGM
JB_BGM_0185_TITLE	明日より来たる因果律
JB_BGM_0185_TITLE_EN	Casuality from the Future
JB_BGM_0185_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0185_SITUATION	円環の世界に、竜は啼ク　1章後編『はじまりの少女』バトルBGM
JB_BGM_0189_TITLE	塵煙　～Before the Acedia～
JB_BGM_0189_TITLE_EN	Before the Acedia
JB_BGM_0189_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0189_SITUATION	円環の世界に、竜は啼ク　2章『魔導の黎明』テーマBGM
JB_BGM_0190_TITLE	灰にくすぶる世界
JB_BGM_0190_TITLE_EN	The World Smoking in Ashes
JB_BGM_0190_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0190_SITUATION	円環の世界に、竜は啼ク　2章『魔導の黎明』バトルBGM
JB_BGM_0191_TITLE	いずれ過去と呼ばれる日々
JB_BGM_0191_TITLE_EN	The Day Eventually Called Past
JB_BGM_0191_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0191_SITUATION	汎用　円環の世界に、竜は啼ク　BGM
JB_BGM_0192_TITLE	百代の過客の跡
JB_BGM_0192_TITLE_EN	Trail of Ancient Travelers
JB_BGM_0192_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0192_SITUATION	汎用　円環の世界に、竜は啼ク　回想BGM
JB_BGM_0193_TITLE	未だ知らぬ、やがて来たるもの
JB_BGM_0193_TITLE_EN	The Day Eventually Come
JB_BGM_0193_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0193_SITUATION	汎用　円環の世界に、竜は啼ク　BGM
JB_BGM_0196_TITLE	潮騒　～Before the Indivia～
JB_BGM_0196_TITLE_EN	Before the Indivia
JB_BGM_0196_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0196_SITUATION	円環の世界に、竜は啼ク　3章『希望の航路に花は咲く』テーマBGM
JB_BGM_0197_TITLE	青に荒れる世界
JB_BGM_0197_TITLE_EN	The World Raging in Blue
JB_BGM_0197_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0197_SITUATION	円環の世界に、竜は啼ク　3章『希望の航路に花は咲く』バトルBGM
JB_BGM_0199_TITLE	陽炎　～Before the Ira～
JB_BGM_0199_TITLE_EN	Before the Ira
JB_BGM_0199_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0199_SITUATION	円環の世界に、竜は啼ク　4章『花は散れども実は残る』テーマBGM
JB_BGM_0200_TITLE	紅に溢れる世界
JB_BGM_0200_TITLE_EN	The World Full of Flames
JB_BGM_0200_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0200_SITUATION	円環の世界に、竜は啼ク　4章『花は散れども実は残る』バトルBGM
JB_BGM_0201_TITLE	叢生　～Before the Gura～
JB_BGM_0201_TITLE_EN	Before the Gura
JB_BGM_0201_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0201_SITUATION	円環の世界に、竜は啼ク　5章『そして地には罪が満ち』テーマBGM
JB_BGM_0202_TITLE	翠に蝕まれる世界
JB_BGM_0202_TITLE_EN	The World Corroded by Jade
JB_BGM_0202_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0202_SITUATION	円環の世界に、竜は啼ク　5章『そして地には罪が満ち』バトルBGM
JB_BGM_0206_TITLE	煙嵐　～Before the Superbia～
JB_BGM_0206_TITLE_EN	Before the Superbia
JB_BGM_0206_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0206_SITUATION	円環の世界に、竜は啼ク　6章『七つの頂が世を照らす』テーマBGM
JB_BGM_0207_TITLE	白に治められる世界
JB_BGM_0207_TITLE_EN	The World Governed by Pure White
JB_BGM_0207_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0207_SITUATION	円環の世界に、竜は啼ク　6章『七つの頂が世を照らす』バトルBGM
JB_BGM_0208_TITLE	天意　～Before the Avaritia～
JB_BGM_0208_TITLE_EN	Before the Avaritia
JB_BGM_0208_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0208_SITUATION	円環の世界に、竜は啼ク　最終章『続く世界に竜は亡く』テーマBGM
JB_BGM_0209_TITLE	黄に昏む世界
JB_BGM_0209_TITLE_EN	The World Fall in Twilight
JB_BGM_0209_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0209_SITUATION	円環の世界に、竜は啼ク　最終章『続く世界に竜は亡く』バトルBGM
JB_BGM_0034_TITLE	やすらぎの日々
JB_BGM_0034_TITLE_EN	Tranquil Days
JB_BGM_0034_COMPOSER	下村陽子
JB_BGM_0034_SITUATION	「喜び」をイメージしたBGM
JB_BGM_0035_TITLE	嘆きの声は地に満ちて
JB_BGM_0035_TITLE_EN	Lamentful Earth
