CARD_001_FLAVOR	俺もああなりたいなあ
TS_ENVYRIA_SHAYNA_01_FLAVOR	可愛いは正義なのだから、道着だって可愛くないとイヤだしダメ。というのがあたしの信念。改造した道着を身にまとって、はいポーズ。<br>このくらいの改良なら、師範代の祖父も許してくれるはず…。それに…。<br><br>「男性用のもいいデザインにできたし。男の人も可愛いの着ていいよね！」<br><br>可愛さ道は、どこまでも本気だよ！<br>（シェイナ『可愛さ極まれり！』二章）
TS_ENVYRIA_LGDSAG_01_FLAVOR	鏡みたいにピカピカに輝く綺麗な石を見つけて、僕たちははしゃいだ。一つしかないから、それは３人全員の宝物に。<br><br>「こうやって見れば、一緒に映れるわ。これから先もこうして見ようね」<br><br>真ん中で石を覗くアガサが無邪気に微笑む。僕とディオスは石とアガサの眩しさを前に言葉が出せず、ただただ頷く。輝く石と綺麗な笑顔は、今もまだ記憶に。<br>（屋敷に残されたロギの日記より）
TS_ENVYRIA_ELIZABETH_01_FLAVOR	おかしいこんなはずじゃ、と呟く彼女の傍らに、何やら積み上がったものが。特効薬作りだという治験も、フラスコ内に試行錯誤の跡を残すのみ。あたくしの足音も気にせず、彼女は思考の海を泳ぐ。<br><br>「ごきげんよう、今日はあたくしの宝石を…ってなんですのこの惨状は!?」<br><br>加害者の無関心ゆえ、哀れな被験者を助けるのは、あたくしの仕事になるのだ。<br>（宝石商マリアンヌの行商日記より）
TS_ENVYRIA_MONZOTM_01_FLAVOR	「じゃあ次に酒場にくるお客さんの性別を当てた方が勝ちってことで！」<br><br>喧騒の合間から、飄々とした風貌の優男の声が響く。対する巨体の男も笑い声をあげる。昼食の奢りを賭けての勝負、騎士の名に誓って二言はない。酒場では良く見る光景だ。彼らは私の運んだグラスを掲げ、勝負を前に約束を交わす。<br><br>「我らが騎士道に、かんぱ～い！」<br>（蒼宴酒場店員テッドの回顧談）
TS_ENVYRIA_MARGARET_01_FLAVOR	「ふっふっふ、ついに手に入れたわ…！某有名薬師が作ったといわれる、超絶滋養薬！　この薬さえあれば、エリザベスお姉様の研究もさらにはかどるっ！　はず！　あぁっ、喜ぶお姉様の笑顔が目に浮かぶ…。よ、喜んでくれるかな…。あたしの気持ち、ちゃんと届くかな…」<br><br>過去に救われた感謝は今も色褪せない。お姉様の喜ぶ顔がみたいなんて不純な動機はほんのちょっとしかないはず。<br>（行商人マーガレットの日記より）
TS_ENVYRIA_DARTAGNAN_01_FLAVOR	「お肉だニャーーー!!!　ガオーン!!!」<br>「…お前ソレ、猫通り越して獣まる出しじゃねえか…!!」<br><br>溢れ出る肉汁、弾け飛ぶ理性！<br>以前の礼だと連れてきてくださった大砲マニア氏の呆れ返った声もなんのその。副団長は幸せを口いっぱいに頬張る。<br><br>「お肉サイコーにゃぁ…」<br>（オリヴィア『緋炎騎士団活動記』副団長との日々）
TS_ENVYRIA_LUCRETIA_01_FLAVOR	ようやく申し出を受けてくださった。<br>多くの女性を魅了できる笑みを作るも、その女性の心を掴むには至らない。高き山の如き人だと、笑みが野心に歪む。<br><br>「ふっ、相変わらずだな、あなたは。だがこれは確かに…いい茶葉だ」<br><br>アップルパイを口にし、茶葉にも賛辞と笑顔を投げかける女性は、親しみやすい無邪気さを浮かべていた。<br>（ゲイン『いと貴き人々』第三章）
TS_ENVYRIA_RUNBELL_01_FLAVOR	一つの場所に留まるのは得意じゃない。けれど友や故郷を守りたい。<br><br>「だから俺は力を磨き続ける」<br><br>一振りの剣と、そこに誓った守りたいものへの想いがある限り、ランベルは決して折れることはないのだろう。そして振り返りもしない彼は、数々の羨望の視線にも、きっと気づかないまま。<br>（ウィンストン・フロリオ『無銘の傭兵たち』第三章）
TS_ENVYRIA_DECEL_01_FLAVOR	大陸の端にあるからって、軽んじられるわけにはいかない。この国でできることを為し続けよう”と常に先頭を歩む若き所長が、珍しいことに本の山に半ば埋もれ、自室で居眠りをしていた。<br><br>「まあ、たまには所長も休むべきだよ。毛布でも持ってくるとしようか」<br><br>研究員たちは踵を返し仮眠室へ。研究所には労りの想いに満ちた空気があった。<br>（魔導研究所主査ビルの回想録より）
TS_ENVYRIA_ALFRED_01_FLAVOR	嗚呼、ついにこの日が、今月のシェイナファンクラブの会報誌が届いた！<br>一日千秋の思いでこの日を待ち焦がれていた。一桁のナンバーが刻まれた会員証はオレの最高の宝物だ。<br><br>「あぁ…今月の付録はシェイナちゃんの籠手のレプリカ…さすが、可愛い…」<br><br>普段はクールに。だから月に１日くらいは、ただのファンでもいいだろう？<br>（アルフレッド「開封厳禁日記」より）
TS_ENVYRIA_PRISCILA_01_FLAVOR	それは、悼み。それは、懺悔。<br>送る者の最小限にして最大限の心遣い。<br>猛威を振るい、数多の槍を散らした戦場に手向けられた一輪の白い花。<br>決して彼女はその花のことを教えてはくれなかったが、その目は誰かを悼み、かつ自分の未来に思いを馳せているように見えた。悲しく儚い眼差しゆえに。<br><br>「せめて、眠りは静かに――…」 <br><br>（クライグ・ニード『戦場風景』葬送）
TS_ENVYRIA_ELAINE_01_FLAVOR	帽子はファッションにして大切な装備。<br>病めるときも健やかなるときも、いつでもそばにある。だからいくら積まれても譲りはしない。…と狙撃手が言った。<br><br>「この帽子には、あたしのだけじゃない想いがこもってるからなー」<br><br>そこにあるこめられた想いの深さに、この買い付けは不調に終わったと知った。<br>（服飾専門店「ゼフィール」エンヴィリア支店店員リビーの業務報告書より）
TS_ENVYRIA_DILGA_01_FLAVOR	戦士の朝はたとえ休日でも早くあらねばならない。季節を問わず、朝は水浴びと乾布摩擦、それから一通り身体を動かすことは怠れない。朝食を終えた後、自分にとっての休日が始まるのだ。<br><br>「この傷は先日の戦いのものだな…」<br><br>鎧に刻まれたすべての傷が生きた証。その傷から過去の戦いに想いを馳せるのはこの相棒と喜びを共有することなのだ。<br>（ロルフ・ラウ『ディルガ列伝』序章）
TS_ENVYRIA_ALAIA_01_FLAVOR	エンヴィリア楽団――正式にはエンヴィリア管弦楽団――は、目前に迫った式典に備え、予行演習も最後の大詰めを迎えていた。当日は騎士団の砲撃手による空砲も織り交ぜた派手な演奏も予定されている。楽器を前に楽団員の一人であろう女性が、決意の言葉を呟いていた。<br><br>「きっと、大丈夫…！」<br><br>（ミルック・ランガム『エンヴィリア探訪記』式典前夜）
TS_ENVYRIA_AYLLU_01_FLAVOR	偉大な魔道士の祖父を師に持ち、蓄えた知識と経験を、惜しみなく目の前の食用キノコ――メルポト茸にぶつける。<br><br>「これは、すごい発見…かも。このメルポト茸…ちょっと伊達男っぽいの…新発見なの…。どこかの研究所に高値で売れちゃうかも…？」<br><br>たとえば、その咥えた草を奪ったら…？<br>想像しただけで夢膨らむ出会いだった。<br>（アイリュ『繁盛日和かも』第２章）
TS_ENVYRIA_AGATHA_01_FLAVOR	“誰かさんたちが全然ニンジンを食べないから”と胸を張ったのはアガサだ。馴染みのシチューには星の形に飾り切りされたニンジン。ささやかだがはっきりした変化に、ロギとディオスの目は丸い。<br><br>「さすがだな！　これは残せまい！」<br><br>笑いあい、語り合う優しい日々。<br>平穏はほのかに甘い味わいをしていた。<br>（ジーク・クロウリー『クロウリー家の徒然』ある食卓の風景にて）
TS_ENVYRIA_FOUNTAIN_01_FLAVOR	“目を閉じて投げたコインが入ったら、思い人と幸せになれる”と言われるエンヴィリア城下の噴水。そこへ、一人の女性が祈るようにコインを投げた。<br><br>「どうかこれからも、彼と一緒に…！」<br><br>そこに彼女の名――ジルダを呼ぶ声。<br>振り向き男性に微笑む彼女の後ろで、コインは吸い込まれるように着水した。<br>（ミッシェラ・グレイソン『ジルダの初恋』第ニ幕）
TS_SLOTH_FIONA_01_FLAVOR	「この幸せな風景をこれからも私たちで守るんです。…ね、アルちゃん！」<br><br>艱難辛苦を乗り越えて、縁を結んだ仲間とともに青空を取り戻した少女。先代の主人の忘れ形見は、今や立派な次期当主として花開いていた。<br><br>心優しき少女は、愛らしくも頼もしい存在とこれからも進んでいく。その道は、情深きガンマンの未来とも、きっとまた交差することもあるのだろう。
TS_ENVYRIA_ROTEN_01_FLAVOR	エンヴィリアは国交が盛んである。すなわち物珍しい他国の商品とも比較的出会えるということ。買い物客の隙間を縫って、威勢よく露天商に声を飛ばそう。<br><br>「その懐中時計！　あたしに売ってくれない？　情報つきなら高く買うから！」<br><br>店主との駆け引きも醍醐味。損得なんて無粋、たまには忘れるのも乙なものだ。<br>（マイルズ・オールコック『エンヴィリア街歩き』露店編）
TS_EXP_01_FLAVOR	あるところに、甘い林檎が大好きなラットンがいました。ラットンは毎日同じ林檎を食べるうちに、どこかにもっと美味しい林檎があるのではと思い始めます。<br><br>「ヌミュアー！」<br><br>強くなれば、どんな場所にある林檎も採りにいけるようになれるはず！<br>決意を胸に旅立つラットン。<br>旅路で齧る林檎からは、爽やかな青空のようなさっぱりした味がしました。
TS_EXP_02_FLAVOR	あるところに、甘い林檎が大好きなラットンがいました。美味しい林檎を探す冒険の中で、ラットンは少しずつ強くなりそして何人かの仲間もできました。<br>そしてある日の冒険で、林檎がぎっしりの宝箱を見つけたのです。<br><br>「ヌミュアアア!!?」<br><br>分け合うと林檎はひとり１個きり。もっとたくさんの素敵な林檎があるはず。甘酸っぱい林檎を齧り、冒険は続きます。
TS_EXP_03_FLAVOR	あるところに、甘い林檎が大好きなラットンがいました。長い冒険の果て、ラットンはついに珍しい林檎をたくさん見つけ出すことができました。<br><br>「ヌミュアー！　ヌミュー！」<br><br>こんなにたくさんあるから、みんなで心ゆくまで仲良く食べられるね！<br>大切な冒険仲間と笑い合って林檎を丸かじり。夢中になって食べた林檎は世界で一番甘く、そして幸せな味でしたとさ。
TS_EXP_04_FLAVOR	あるところに、甘い林檎が大好きなラットンがいました。冒険を終えたラットンは、奥さんラットンとあたたかい家庭を築き、やがて新たな家族を迎えます。<br><br>「ヌミュー!!」<br><br>子は未来への希望だ！<br>自分と血が繋がる命を感じ、思わずラットンの目にも涙。歓喜に震えます。仲間たちに祝福されながら齧る林檎は、涙でちょっぴりしょっぱい味でした。
TS_EXP_EMA_FLAVOR	すごい経験値がもらえる念装
TS_LETTER_01_FLAVOR	２周年、グッとくるモノ。これからもこういう楽しい毎日が続くように、オイラも頑張るんだモノ！　…ってアルちゃんも言ってるので、これからもよろしくお願いします！（代筆、フィオナ）
TS_LETTER_02_FLAVOR	２周年だそうだな？　うぬら人間どもが足掻き、戦い続けた日々の積み重ねで辿り着いた境地と言えるだろう。我にとっては取るに足らない時間ではあるが、まあ素直に祝ってやろうではないか!!
TS_DISGAEA_01_FLAVOR	契約書で運命づけられた「期間限定」。<br>それが終われば跡を濁さず去る…。<br>コラボとはそういうもの…。だが！<br><br>“もう来ない”とは言っていない！<br><br>「またうぬらか…何度時空ゲートと真理<br>の扉を混線させれば気が済む…っ！」<br><br>扉の番人のうめき声も彼らにとってはそよ風の如し。ルール無用な魔王たちは、その気が向く限り、何度だって現れる！
TS_ENVYRIA_VICTOR_01_FLAVOR	騎士たるもの、自身が仕える国のことも知る必要がある。緋炎騎士団の生活にも慣れてきたある日、敬愛する団長にそう言われた。その事態の深刻さは、目の前に吊るされた新品のマントで理解した。<br><br>「合格まで任務不可はひどいっす！」<br><br>それでも学びは止めない。未来を担う俺が過去をおろそかにはできないから。そして早く任務に行きたいから！<br><br>（ヴィクター提出のレポートより）
TS_WRATH_ZAHAR_01_FLAVOR	「暫く、話しかけるな」<br><br>私にそれだけ告げ、彼の人は口を閉ざした。流石にこの時間を邪魔するほど、私は愚かでも無粋でもない。静寂も友だ。<br><br>けれど、彼の人にとってこの時間は静寂ではなかった。大地に突き立てた杖剣に目を伏せ…恐らく語り合っていたのだ。…そう、私の内なる闇が囁いた。<br><br>（ケネス・モーガン『シャドウメサイヤの真実』ニグルの証言）
TS_WRATH_SPICA_01_FLAVOR	お姉ちゃんがもっと可愛くしていれば、きっとお姉ちゃんが気になる人もドキドキしてくれるはず。それで二人が上手くいったら。アタシの家族が増えて、寂しさも減るかもって…ちょっとだけ期待しています。お姉ちゃんには内緒です。<br><br>「お姉ちゃんも、髪飾り似合うね！」<br><br>恥ずかしそうに、でも嬉しそうに笑っているお姉ちゃんが、私は大好きです。<br>（シルマの日記より）
TS_WRATH_GLANZ_01_FLAVOR	ガンランスの砲撃がファンファーレの如く鳴り響く。ぶつかり合う兵士の声も折り重なり、まるでここは歌劇の舞台。<br><br>「今日も君と一緒か。どこも物騒だね。…手早く行こうか、アナスタシア」<br><br>誰もが疲れ傷ついた戦場に、涼しげに降り立つ影が二つ。恐らくはこの二人が混迷する喧騒を瞬く間に静めるだろう。<br>（サディアス・フロリオ『戦場の人々』戦局を握りし女神たち）
TS_WRATH_LAMIA_01_FLAVOR	花畑には、信じられない光景があった。<br><br>「これだろうラミア。以前言っていた花は。…ふふ。少しお前に似ているな」<br><br>戦場で何より恐れられる“朽為”が、弟子と目される少女に穏やかに微笑んでいたからだ。弟子の少女は、無垢な乙女のように差し出された一輪を手に取る。<br>ああ。どうかこの穏やかな景色が、戦火に包まれ、朽ちて無くならないことを。<br>（クライグ・ニード『戦場風景』朽為）
TS_WRATH_ROSA_01_FLAVOR	この日お嬢様は、屋敷の地下室で見つけた古き本を片手に、埃を被っていた武器と出会ってしまったのです。<br><br>「これよ！　私が求めていた世界は！」<br><br>爛々と輝く瞳。興奮で上ずる声。その姿を見て、我々使用人は震えました。<br>旦那様、奥様…、申し訳ございません。ローザお嬢様の人生は、この瞬間に様変わりしてしまったのかもしれません。<br>（執事ワイアットの綴った手紙）
TS_WRATH_MAGNUS_01_FLAVOR	「ほらよ、さっさと決めろ」<br><br>１ゲームの限度額いっぱい賭けたことで奴は罵倒の言葉で自らの動揺を示す。これくらいで怯えるなんざ、器が知れる。<br><br>捩れきった現実なんかよりも全然シンプルな、勝つか負けるか二者択一の世界。心理戦を制すれば、運の外側の“必然”も引き寄せられる。こんな世界、イカサマを仕掛けるほどの価値もないのだ。<br>（マグヌス筆記のメモの切れ端より）
TS_WRATH_SABALETA_01_FLAVOR	注文された酒の中の氷は、既に溶けた。<br>手慰みにバーのマッチ箱を手に取る。品不足が続くご時勢にも関わらず、ぎっしりと詰まったマッチ棒は、店が扱う情報の密度を誇るようだった。大抵のものは容易く燃やし尽くせるだろう。<br><br>「――だから、俺が焦れる前に」<br><br>早く目障りな客を追い払え。マッチ棒の代わりに、指の腹で箱側面を擦った。<br>（サバレタ「反撃の狼煙記」より転載）
TS_VISION_01_FLAVOR	あるところに、人に生み出された機械がありました。<br>機械は、荷物を抱えて歩いています。<br>人に生み出され、人に酷使され、そして人の為に働き続ける…彼らはそういう存在です。心はないかもしれません。けれど、あるかもしれません。<br><br>機械は人を恨むこともなく、今日も昨日と同じように荷物を運び続けます。<br>それはまるで、人が記憶を積み重ねる営みの姿にも似ているのです。
TS_VISION_02_FLAVOR	あるところに、人の手によって作られつつある機械がありました。<br>機械はその時を静かに待っています。<br>人に生み出され、人に酷使され、そして人の為に働き続ける…そういう運命であり、そんな存在です。心はないかもしれません。けれど、あるかもしれません。<br><br>機械はそんな運命など知る由もなく、穏やかな光を浴び、起動の時を迎えます。<br>それはまるで、人が生を受け、自我を持つ、その瞬間の姿にも似ているのです。
TS_WRATH_MARE_01_FLAVOR	「も、もう手出さないで…！」<br><br>ある戦いの中でオレは傷を負った。だけど傍にはチビ助しかいなかった。だからせめてチビ助だけは逃がそうと思った。なのに、チビ助がオレを庇った。<br>手渡した胸元のペンダントを身体の震えで揺らしながら、それでもチビ助はオレを守ろうと立ち続ける。<br>気に入らない…庇われるだなんて。そしてそれを、嬉しいって思うだなんて。<br>（イーラの体験談より）
TS_APR_LIZ_01_FLAVOR	エイプリル念装フレーバー記入<br><br>ウラァ！<br>（蜥蜴新人類の体験談より）
TS_DESERT_BALT_01_FLAVOR	砂漠を誇れる故郷に。<br>だからこの地を守り、戦い続ける。<br><br>「ま、悪くない戦いだったな」<br><br>周囲全てを圧倒した二人の戦士が、団章を太陽に煌めかせ満足気に笑い合う。<br>自警団“熱砂の鷹”――彼らが守っているのは、砂漠の大地と、そこに暮らす民の生活と、己の誇りなのかもしれない。<br>（ウィンストン・フロリオ『砂海にさすらう民たち』“熱砂の鷹”の章）
TS_DESERT_RAMESES_01_FLAVOR	「俺様が太陽の継承者だ！」<br><br>ある時、ラメセスが自身を“太陽の継承者”だと主張し始めました。貴族の証も彼の熱意を受け、眩しく輝いています。我が家に来た頃の病弱だった彼と比べ、元気になりました。彼の出生の秘密を知るのは、両親と長女の私だけですが。<br><br>姉妹で、少しがっかりな弟が描く夢を聞く…それは、家族との大切な時間。<br>（ネフェルティの書き付けより）
TS_DESERT_RETZIUS_01_FLAVOR	憧れを身に纏う。<br>そして背中に未来を感じる。<br><br>「ここは通さないぜ！　ルシアの兄貴の手を煩わせるわけにはいかないんだ！」<br><br>憧れの存在を感じながら、夢見る傭兵が心底嬉しそうに武具を振るう。漲る生命力…それは、この砂漠の地で、何よりも眩い光だと思わせる力があった。<br>（ウィンストン・フロリオ『砂海にさすらう民たち』“砂漠の傭兵”の章）
TS_DESERT_ANK_01_FLAVOR	我ら“白砂の翼”に舞い込む依頼は多種多様。ギルドの旗、もとい看板を背負うアンク様は、全てを把握しているとか。ギルド員を動かし、ライル様をも働かせる…アンク様の指揮は鮮やかです。<br><br>「さあハリル、あなたも気にせずライル様の部屋の掃除を」<br><br>唯一の問題は、難易度の高い依頼も平然と我々に振ることです。<br>（ハリル『“白砂の翼”活動記』）
TS_DESERT_ARKILL_01_FLAVOR	まったく、オレに仕事を依頼したいっていうなら“誠意”くらいは見せる必要があるだろ。<br>せっかくこの自由人なオレが面倒な仕事を引き受けてやったっていうのに、あんな少しだけのゼニーでやれなんて、ケチ臭くていけない。<br><br>「そんなわけだ。ちょっと多めに報酬もらっていくぜ」<br><br>諦めてくれ。必要経費ってやつさ。<br>（アーキルの主張より）
TS_APR_LIZ_01_FLAVOR	ユーザーの皆さんと戦いの記憶を積み重ね、その思い出になれるよう僕たちは今日も戦います。<br>中でもリザードマンさんたちは特にやる気満々。お仲間の、そして僕もお世話になったリザードマン先輩がユニットデビューを果たすから…！<br><br>「いつか僕もプレイアブルキャラに！」<br><br>目標は常に大きく…ですよね、先輩！<br>（リザードマンの後輩・名もなきラーストリス兵のコメントより）
TS_DESERT_RYLE_01_FLAVOR	ええ、あの瞬間からライル様はギルドの長であり、私のご主人様です。<br><br>「誰も彼も、面倒ばかり持ち込む…！」<br><br>逃げ込んできただけの私のように、ライル様もギルドに執着なんてないと思っていたのに、ギルドを、ギルド員を守るべく立ち上がりました。修羅場の中で身を挺してくれる方にギルド員が信頼を寄せるのは、当然のことだと思いませんか？<br>（アンクの体験談より）
TS_SLOTH_FIONA_02_FLAVOR	別の家の人間になろうとしていたエルレスター家の少女が、突如会場に乱入したバイク乗りにさらわれた。<br><br>「女ってのは、幸せになる為に生まれてくるんだ…」<br><br>ヘッドドレスを飛ばされかけながら、花嫁姿の少女を乗せたバイクが遠ざかる。それはどこか旅立ちの姿にも見えた。<br>（スロウスシュタイン発行『バベルコンチネントタイムズ』ゴルドの記事より）
TS_DESERT_ASUWADO_01_FLAVOR	――潜入に２分。目標処理まで45秒。<br>暗殺教団“ザラームガイム”の偉大なる星“ナジュム”様はフードマントを悠々とたなびかせて、我々配下とともに屋敷内へと侵入された。<br><br>「…任務、開始」<br><br>冷たく響くその声は、天より降る星の如く。何人たりとも逃げること能わず。<br>（暗殺教団“ザラームガイム”団員“サカニー”からの報告書より）
TS_DESERT_SUTORIE_01_FLAVOR	この前“でかせぎ”っていうのに行ってるストリエお姉ちゃんが村に帰ってきました。お姉ちゃんに会えて嬉しいです。<br><br>「うふふ、さあ、お土産よ！」<br><br>それはお姉ちゃんの帽子のうさ耳みたいなうさぎのぬいぐるみでした。いつもお土産をくれるお姉ちゃんに、大きくなったら私たちが何か買ってあげたいです。<br>（孤児院アーイラの課題作文「大切な人へ」サミーン）
TS_SLOTH_TARAS_01_FLAVOR	「私の目が行き届かない部分は…頼む」<br>ピスティの葉巻に火を点けた。<br>背後の男に新たに手渡された物だ。そして、俺の気に入りの葉巻でもある。<br>深くて美味いフレーバーを味わう。それから男にも見えるように白い煙を。<br>葉巻の銘の意味は――“信頼”。<br>エドワード公…俺は昔の恩義を忘れたりはしない。たとえ、何があってもだ。<br>（ドン・タラスの回顧録より）
TS_ENVYRIA_CANON_01_FLAVOR	「我が剣が示すは、大陸の正義――」<br><br>ああ、誓いの言葉が震えた。<br>儀礼用の剣を掲げ、当代ロードマスターとして上着を与えられても、彼女はまだ少女だ。仕方ないことだと思う。<br><br>人の身は、運命に対してあまりに無力。それでも正義を背負い、真っ直ぐ前を向く彼女に、神のご加護があらんことを。<br>（ルーカス・ランガム『栄光の聖教騎士団』ロードマスターの章）
TS_WRATH_KUDHANSTEIN_01_FLAVOR	すべての感覚がおぼろげだった。闇が実体化したような石片だけが、触覚を刺激して現実味を与える。ここはどこか、今はいつか、そして俺は一体誰なのか。<br><br>「何もいらない…力さえあれば…」<br><br>微かな気配。その淀みが痛みとなった。否、痛むような心はいらない。まだ捨て足らない。喜びも悲しみも置き去りに、俺はもっと深い闇へと意識を沈める。<br>（クダンシュタインの独白）
TS_LOST_ACHAD_01_FLAVOR	覚えているのは、お腹がとても空いていたこと。多くの奇異の視線が左目に注がれたこと。なのに誰も私に話しかけようとはしなかったこと――アナタ以外は。<br><br>「ようチビ。いい目してるな。これ着けたらもっとカッコいいんじゃないか？」<br><br>差し出された布は純粋な好意と好奇心。<br>この太陽に照らされたときから、きっと私の進むべき道は決まっていたんです。<br>（アハトの独白）
TS_LUST_YAULAS_01_FLAVOR	まさか私が剣を折られる日がくるなんて思わなかった。降りしきる雨よりも、刃を失った剣の軽さが心を凍てつかせた。<br><br>「華麗な剣だった」<br><br>私とは違い、カダノバには傷一つない。痛烈なまでの敗北感に、全身が張り裂けそうな気がした。かなわない。だけどいつか同じ場所にたどり着いて見せる。私は剣の柄を砕けるほどに強く握りしめた。<br>（ヤウラスの記録帳より）
TS_ENVYRIA_MONZOTM_02_FLAVOR	真新しい鎧が太陽の光を反射する。暴動の鎮圧に駆り出されていた若い聖教騎士が無意識に飛び出していく。<br><br>「子供は大陸の希望だ！希望を守る為に命を賭けずして…いつ命を賭ける!!」<br><br>轟いた一喝と行動は彼の声望を一気に高めた。それは後に“豪腕の雷斧”と呼ばれし男の初陣での出来事だった。<br>（ルーカス・ランガム『栄光の聖教騎士団』騎士団長の章）
TS_CRY_MERL_01_FLAVOR	それは、戦乱の世に二人のサキュバスと王の手で招かれし者。<br><br>「――あなたの願いを叶える為に」<br><br>それは、常勝不敗の伝説を背負い、時に盤古の力で戦場を切り開いて来た者。<br>それは、強く気高く、そしてその儚さゆえに、本来とは存在を異にする地に迷い込んでもなお、戦い続ける者。<br>世界は彼らを喚び、願いを託す。そしてこう呼んだ――“英雄”と。
TS_REALEVENT_01_FLAVOR	「思いついちゃったよ！」<br><br>その時、タガタメ運営に激震が走った。<br>獅子の咆哮の如く轟いたＰの宣言に、Ｄが乙女のように繊細な心を揺らし、ＡＤが最大限の真心を込めようと励ます。<br>いざ、神戸の合同サミット！<br>運営の必死の戦いは、実るか否か…!?<br><br>※あくまでタガタメ運営の奮闘を描いたリアルイベント念装なので、タガタメの世界観とは何も関係はありません。
TS_REALEVENT_02_FLAVOR	「思いついちゃったよ！」<br><br>その時、タガタメ運営に激震が走った。<br>獅子の咆哮の如く轟いたＰの宣言に、Ｄが乙女のように繊細な心を揺らし、ＡＤが最大限の真心を込めようと励ます。<br>いざ、神戸の合同サミット！<br>運営の必死の戦いは、実るか否か…!?<br><br>※あくまでタガタメ運営の奮闘を描いたリアルイベント念装なので、タガタメの世界観とは何も関係はありません。
TS_REALEVENT_03_FLAVOR	「思いついちゃったよ！」<br><br>その時、タガタメ運営に激震が走った。<br>獅子の咆哮の如く轟いたＰの宣言に、Ｄが乙女のように繊細な心を揺らし、ＡＤが最大限の真心を込めようと励ます。<br>いざ、神戸の合同サミット！<br>運営の必死の戦いは、実るか否か…!?<br><br>※あくまでタガタメ運営の奮闘を描いたリアルイベント念装なので、タガタメの世界観とは何も関係はありません。
TS_REV_20180526_VISION_001_FLAVOR	イベント用念装
TS_REV_20180526_VISION_002_FLAVOR	イベント用念装
TS_REV_20180526_VISION_003_FLAVOR	イベント用念装
TS_REV_20180526_VISION_004_FLAVOR	イベント用念装
TS_REV_20180526_VISION_005_FLAVOR	イベント用念装
TS_REV_20180526_VISION_006_FLAVOR	イベント用念装
TS_REV_20180526_VISION_007_FLAVOR	イベント用念装
TS_REV_20180526_VISION_008_FLAVOR	イベント用念装
TS_REV_20180526_VISION_009_FLAVOR	イベント用念装
