IT_US_FATE_TAIYAKI_EXPR	Casts Quicken status on user for three turns.
IT_US_POISON_FLAVOR	This elixir has been mixed with special ingredients extracted from a variety of sources, such as crystals and berries, imbuing it with additional properties. It will relieve Poison status, and despite its off-putting appearance, in fact has a pleasant, sweet flavor.
IT_US_ENERGY_EXPR	Medicine that removes Daze, Silence, and Bind statuses.
IT_US_ENERGY_FLAVOR	This elixir has been mixed with special ingredients extracted from a variety of sources, such as crystals and berries, imbuing it with additional properties. It will relieve Daze, Silence, and Bind statuses. Its striking green hue is reminiscent of young leaves, and it tastes like fresh grass.
IT_US_VITALITY_EXPR	Medicine that removes stat reductions.
IT_US_VITALITY_FLAVOR	This elixir has been mixed with special ingredients extracted from a variety of sources, such as crystals and berries, imbuing it with additional properties. It will relieve stat reductions. It has an extremely spicy flavor that is at odds with its pastel pink hue.
IT_US_LIFE_EXPR	Medicine that removes Death Sentence status.
IT_US_LIFE_FLAVOR	Designed with an angelic motif, this bell emits a beautiful, gentle tone when rung. It was originally made in an area of Lustburg and sold as a protective amulet. The sound it makes is said to steer the bearer away from death.
IT_US_POWDER_POWER_EXPR	Powder that raises PATK/MATK.
IT_US_POWDER_POWER_FLAVOR	Made by extracting Alchemia from plants, this powder grants temporary enhancements to the body. The dosage size required varies depending on the type of powder, but each one has the same herb-like taste. This green powder only requires a small dose to work, and is able to activate dormant power within the body.
IT_US_POWDER_GUARD_EXPR	Powder that raises PDEF/MDEF.
IT_US_POWDER_GUARD_FLAVOR	Made by extracting Alchemia from plants, this powder grants temporary enhancements to the body. The dosage size required varies depending on the type of powder, but each one has the same herb-like taste. This orange powder requires a fairly large dose to have any effect, but is able to boost the body's defensive properties.
IT_US_POWDER_HP_EXPR	Powder that increases HP.
IT_US_POWDER_HP_FLAVOR	Made by extracting Alchemia from plants, this powder grants temporary enhancements to the body. The dosage size required varies depending on the type of powder, but each one has the same herb-like taste. This yellow powder requires the largest dose of all the different types, but is able to amplify the user's stamina.
IT_US_POWDER_SPEED_EXPR	Powder that raises AGI.
IT_US_POWDER_SPEED_FLAVOR	Made by extracting Alchemia from plants, this powder grants temporary enhancements to the body. The dosage size required varies depending on the type of powder, but each one has the same herb-like taste. This blue powder only requires a small dose to work, and is able to boost the user's agility.
IT_US_SC_FIRE_Lv1_EXPR	A scroll that invokes a Fire Lv1 magic attack.
IT_US_SC_FIRE_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a relatively small flame.
IT_US_SC_FIRE_Lv2_EXPR	A scroll that invokes a Fire Lv2 magic attack.
IT_US_SC_FIRE_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a decent-sized flame.
IT_US_SC_FIRE_Lv3_EXPR	A scroll that invokes a Fire Lv3 magic attack.
IT_US_SC_FIRE_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a relatively large flame.
IT_US_SC_FIRE_Lv4_EXPR	A scroll that invokes a Fire Lv4 magic attack.
IT_US_SC_FIRE_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a powerful flame.
IT_US_SC_FIRE_Lv5_EXPR	A scroll that invokes a Fire Lv5 magic attack.
IT_US_SC_FIRE_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates an extremely powerful flame.
IT_US_SC_WATER_Lv1_EXPR	A scroll that invokes a Water Lv1 magic attack.
IT_US_SC_WATER_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a relatively small ice shard.
IT_US_SC_WATER_Lv2_EXPR	A scroll that invokes a Water Lv2 magic attack.
IT_US_SC_WATER_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a decent-sized ice shard.
IT_US_SC_WATER_Lv3_EXPR	A scroll that invokes a Water Lv3 magic attack.
IT_US_SC_WATER_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a relatively large ice shard.
IT_US_SC_WATER_Lv4_EXPR	A scroll that invokes a Water Lv4 magic attack.
IT_US_SC_WATER_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a powerful ice shard.
IT_US_SC_WATER_Lv5_EXPR	A scroll that invokes a Water Lv5 magic attack.
IT_US_SC_WATER_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons an extremely powerful ice shard.
IT_US_SC_WIND_Lv1_EXPR	A scroll that invokes a Wind Lv1 magic attack.
IT_US_SC_WIND_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a relatively small whirlwind.
IT_US_SC_WIND_Lv2_EXPR	A scroll that invokes a Wind Lv2 magic attack.
IT_US_SC_WIND_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a decent-sized whirlwind.
IT_US_SC_WIND_Lv3_EXPR	A scroll that invokes a Wind Lv3 magic attack.
IT_US_SC_WIND_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a relatively large whirlwind.
IT_US_SC_WIND_Lv4_EXPR	A scroll that invokes a Wind Lv4 magic attack.
IT_US_SC_WIND_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates a powerful whirlwind.
IT_US_SC_WIND_Lv5_EXPR	A scroll that invokes a Wind Lv5 magic attack.
IT_US_SC_WIND_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it creates an extremely powerful whirlwind.
IT_US_SC_THUNDER_Lv1_EXPR	A scroll that invokes a Thunder Lv1 magic attack.
IT_US_SC_THUNDER_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a relatively small thunderbolt.
IT_US_SC_THUNDER_Lv2_EXPR	A scroll that invokes a Thunder Lv2 magic attack.
IT_US_SC_THUNDER_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a decent-sized thunderbolt.
IT_US_SC_THUNDER_Lv3_EXPR	A scroll that invokes a Thunder Lv3 magic attack.
IT_US_SC_THUNDER_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a relatively large thunderbolt.
IT_US_SC_THUNDER_Lv4_EXPR	A scroll that invokes a Thunder Lv4 magic attack.
IT_US_SC_THUNDER_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons a powerful thunderbolt.
IT_US_SC_THUNDER_Lv5_EXPR	A scroll that invokes a Thunder Lv5 magic attack.
IT_US_SC_THUNDER_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it summons an extremely powerful thunderbolt.
IT_US_SC_SHINE_Lv1_EXPR	A scroll that invokes a Light Lv1 magic attack.
IT_US_SC_SHINE_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it releases a relatively small flash of light energy.
IT_US_SC_SHINE_Lv2_EXPR	A scroll that invokes a Light Lv2 magic attack.
IT_US_SC_SHINE_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it releases a decent-sized flash of light energy.
IT_US_SC_SHINE_Lv3_EXPR	A scroll that invokes a Light Lv3 magic attack.
IT_US_SC_SHINE_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it releases a relatively large flash of light energy.
IT_US_SC_SHINE_Lv4_EXPR	A scroll that invokes a Light Lv4 magic attack.
IT_US_SC_SHINE_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it releases a powerful flash of light energy.
IT_US_SC_SHINE_Lv5_EXPR	A scroll that invokes a Light Lv5 magic attack.
IT_US_SC_SHINE_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it releases an extremely powerful flash of light energy.
IT_US_SC_DARK_Lv1_EXPR	A scroll that invokes a Dark Lv1 magic attack.
IT_US_SC_DARK_Lv1_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it unleashes a relatively small blast of dark energy.
IT_US_SC_DARK_Lv2_EXPR	A scroll that invokes a Dark Lv2 magic attack.
IT_US_SC_DARK_Lv2_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it unleashes a decent-sized blast of dark energy.
IT_US_SC_DARK_Lv3_EXPR	A scroll that invokes a Dark Lv3 magic attack.
IT_US_SC_DARK_Lv3_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it unleashes a relatively large blast of dark energy.
IT_US_SC_DARK_Lv4_EXPR	A scroll that invokes a Dark Lv4 magic attack.
IT_US_SC_DARK_Lv4_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it unleashes a powerful blast of dark energy.
IT_US_SC_DARK_Lv5_EXPR	A scroll that invokes a Dark Lv5 magic attack.
IT_US_SC_DARK_Lv5_FLAVOR	This scroll has been inscribed with an arcane spell, using ink with a high Alchemia concentration. Not only do such scrolls require a special ink, their authors must also possess a high level of ability, and in most lands they are created only in a handful of areas. When used, it unleashes an extremely powerful blast of dark energy.
IT_PG_CLOVER1_EXPR	Raises the player's EXP (small amount)
IT_PG_CLOVER1_FLAVOR	This magical plant increases reactivity with Alchemia. By using it together with a Philosopher's Stone, a lump of concentrated Alchemia, it is said to heighten the user's powers of perception in various ways. This green-colored leaf is only young, and its power is weak.
IT_PG_CLOVER2_EXPR	Raises the player's EXP (medium amount)
IT_PG_CLOVER2_FLAVOR	This magical plant increases reactivity with Alchemia. By using it together with a Philosopher's Stone, a lump of concentrated Alchemia, it is said to heighten the user's powers of perception in various ways. This peach-colored leaf has matured, and possesses high reactive power.
IT_PG_CLOVER3_EXPR	Raises the player's EXP (large amount)
IT_PG_CLOVER3_FLAVOR	This magical plant increases reactivity with Alchemia. By using it together with a Philosopher's Stone, a lump of concentrated Alchemia, it is said to heighten the user's powers of perception in various ways. Gold-colored leaves such as this one are hard to find, and possess extremely high reactive power.
IT_UG_APPLE1_EXPR	An apple that raises a unit's EXP (small amount).
IT_UG_APPLE1_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Green apples such as this are said to contain several years' worth of memories.
IT_UG_APPLE2_EXPR	An apple that raises a unit's EXP (medium amount).
IT_UG_APPLE2_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Red apples such as this are said to contain several decades' worth of memories.
IT_UG_APPLE3_EXPR	An apple that raises a unit's EXP (large amount).
IT_UG_APPLE3_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Golden apples such as this are said to contain an entire era's worth of memories, and are extremely valuable.
IT_UG_APPLE4_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE4_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Rainbow-colored apples such as this are said to contain multiple eras' worth of memories, and are seldom seen at all.
IT_UG_APPLE5_EXPR	An apple that raises a unit's EXP (huge amount).
IT_UG_APPLE5_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Crystal apples such as this are said to contain a near-infinite amount of memories, and are incredibly rare.
IT_UG_APPLE6_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_GRI_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_GRI_FLAVOR	This apple is said to have been the favorite food of a demon's son from a parallel world. The memories contained within it are inherited by the user, and live on forever inside him or her. It is dropped by Fiends, and is considered extremely valuable, as it is thought to contain the memories of a holy war spanning hundreds of years.
IT_UG_APPLE_MGOD_EXPR	An apple that raises a unit's EXP (large amount).
IT_UG_APPLE_MGOD_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. It is dropped by Metal Gods, and is considered extremely valuable as it is thought to contain memories of unimaginable valor.
IT_UG_APPLE_ACORN_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_ACORN_FLAVOR	This apple is said to be imbued with the memories of adventurers who attempted to conquer the Yggdrasil Labyrinth. These memories are inherited by the user, and live on forever inside him or her. It contains the knowledge and wisdom required to complete the maze, and is extremely valuable.
IT_UG_APPLE_DIS_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_DIS_FLAVOR	This apple is said to be imbued with memories of the sins and days of servitude of many Prinnies. When taken in hand, these memories are inherited by the user, and live on forever inside him or her. It won't make the user explode, but can cause him or her to slack off and disappear...
IT_UG_APPLE_FF15_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_FF15_FLAVOR	This apple is said to be imbued with memories of the tender love that a young girl put into a moogle doll. When taken in hand, the girl's bittersweet love for a certain prince flows forth from it, filling the bearer with a surging power.
IT_UG_APPLE_FA_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_FA_FLAVOR	An apple that is the culmination of the knowledge of the greatest alkahestry masters. It allows a person to tap into that accumulated knowledge and also into the Dragon's Pulse, both of which will then flow through the person forever. A lingering, strangely familiar smell comes from this apple. One of Shao May's favorites.
IT_UG_APPLE_AOT_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_AOT_FLAVOR	
IT_UG_APPLE_80CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_80CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_90CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_90CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_100CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_100CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_110CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_110CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_120CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_120CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_130CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_130CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_140CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_140CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_150CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_150CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_160CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_160CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_200CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_200CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_222CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_222CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_500CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_500CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE_600CP_EXPR	An apple that raises a unit's EXP (super-large amount).
IT_UG_APPLE_600CP_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Carried by a young girl, it possesses the power to see the future and is extremely rare.
IT_UG_APPLE999_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE999_FLAVOR	This apple is said to be imbued with the memories of adventurers from around the world. These memories are inherited by the user, and live on forever inside him or her. Rainbow-colored apples such as this are said to contain multiple eras' worth of memories, and are seldom seen at all.
IT_SG_POT1_EXPR	A pot that increases Enhancement Points by a small amount.
IT_SG_POT1_FLAVOR	This pot was created using Alchemy, and is filled with Alchemia particles. When opened, these particles are released, stimulating the target item's Alchemia. Once this process is complete, the item's alchemic properties will have slightly increased.
IT_SG_POT2_EXPR	A pot that increases Enhancement Points by a medium amount.
IT_SG_POT2_FLAVOR	This pot was created using Alchemy, and is filled with Alchemia particles. When opened, these particles are released, stimulating the target item's Alchemia. Once this process is complete, the item's alchemic properties will have increased.
IT_SG_POT3_EXPR	A pot that increases Enhancement Points by a large amount.
IT_SG_POT3_FLAVOR	This pot was created using Alchemy, and is filled with Alchemia particles. When opened, these particles are released, stimulating the target item's Alchemia. Once this process is complete, the item's alchemic properties will have significantly increased.
IT_CV_GOLD1_EXPR	A lump of bronze that can be exchanged for 8000 Zeni.
IT_CV_GOLD1_FLAVOR	This ingot originates from one of the Alchemy mines that once existed around the world. The value of such ingots corresponds to how deep inside the Alchemy mine they were found. Many bronze ones such as this one would have been excavated from near the mine entrances.
IT_CV_GOLD2_EXPR	A lump of silver that can be exchanged for 20,000 Zeni.
IT_CV_GOLD2_FLAVOR	This ingot originates from one of the Alchemy mines that once existed around the world. The value of such ingots corresponds to how deep inside the Alchemy mine they were found. Many silver ones such as this one would have been excavated from halfway into the mines.
IT_CV_GOLD3_EXPR	A lump of gold that can be exchanged for 80,000 Zeni.
IT_CV_GOLD3_FLAVOR	This ingot originates from one of the Alchemy mines that once existed around the world. The value of such ingots corresponds to how deep inside the Alchemy mine they were found. Many gold ones such as this one would have been excavated from the innermost depths of the mines.
IT_CV_GOLD3_SPECIAL_EXPR	A lump of gold that can be exchanged for 100,000,000 Zeni.
IT_CV_GOLD3_SPECIAL_FLAVOR	Special prize from the Countdown Lucky Draw.
IT_CV_GOLD4_EXPR	A prismatic crystal that can be exchanged for 160,000 Zeni.
IT_CV_GOLD4_FLAVOR	This ingot originates from one of the Alchemy mines that once existed around the world. The value of such ingots corresponds to how deep inside the Alchemy mine they were found. Prismatic ones such as this one are extremely rare, and would have been excavated only occasionally from the innermost depths of the mines.
IT_CV_RH_GOLD_EXPR	 
IT_CV_RH_GOLD_FLAVOR	 
IT_EQUP_COP_EXPR	An ore that can be used to enhance equipment.
IT_EQUP_COP_FLAVOR	This ore was gradually formed over time from a meteorite that once fell from the sky. It can be used to enhance equipment, namely weapons and armor. Ores such as this can be found near to the earth's surface, and are often seen for sale.
IT_EQUP_SIL_EXPR	An ore that can be used to enhance equipment.
IT_EQUP_SIL_FLAVOR	This ore was gradually formed over time from a meteorite that once fell from the sky. It can be used to enhance equipment and make it more powerful. Ores such as this, which have a distinctive ashy silver color, are less common than Damask ones, and quite difficult to obtain.
IT_EQUP_MIT_EXPR	An ore that can be used to enhance equipment.
IT_EQUP_MIT_FLAVOR	This ore was gradually formed over time from a meteorite that fell from the sky in ancient times Equipment enhanced with ores such as this is said to be imbued with a silver hue and a strength greater than that of steel. Such ores are only found deep beneath the earth's surface, and are rarely seen for sale.
IT_EQUP_ORI_EXPR	An ore that can be used to enhance equipment.
