SECRET_SHOP_01_NAME	Adventurers' Shop
EVENT_SHOP_44_NAME	Mistletoe Exchange Shop
EVENT_SHOP_45_NAME	Veda Fringe Dimension Exchange Shop
EVENT_SHOP_46_NAME	Winter Holiday Raid Wreath Exchange Shop
EVENT_SHOP_47_NAME	Port Coin Exchange Shop
EVENT_SHOP_48_NAME	Sparkler Exchange Shop
EVENT_SHOP_49_NAME	Raid Coin Exchange Shop
EVENT_SHOP_50_NAME	Shayna's Fan Coin Exchange Shop
EVENT_SHOP_51_NAME	The Seven Deadly Sins Coin Exchange Shop
EVENT_SHOP_52_NAME	Groundhog Chocolate Exchange Shop
EVENT_SHOP_53_NAME	Vision Coin Exchange Shop
EVENT_SHOP_54_NAME	Spring Sprig Exchange Shop
EVENT_SHOP_55_NAME	Alchemy Mushroom Exchange Shop
EVENT_SHOP_56_NAME	Easter Egg Exchange Shop
EVENT_SHOP_57_NAME	Templar Festival Coin Exchange Shop
EVENT_SHOP_58_NAME	TAC Coin Exchange Shop
EVENT_SHOP_59_NAME	Pirate Coin Exchange Shop
EVENT_SHOP_60_NAME	Savage Sea Raid Coin Exchange Shop
EVENT_SHOP_61_NAME	Genesis Coin Exchange Shop
EVENT_SHOP_62_NAME	Xeno Belt Region Coin Exchange Shop
EVENT_SHOP_63_NAME	Battle Coin Exchange Shop
EVENT_SHOP_64_NAME	Summer Beach Stall
EVENT_SHOP_65_NAME	PotK Coin Exchange Shop
EVENT_SHOP_66_NAME	Fierce Battle Coin Exchange Shop [Gold]
EVENT_SHOP_67_NAME	Fierce Battle Coin Exchange Shop [Silver]
EVENT_SHOP_68_NAME	Fierce Battle Coin Exchange Shop [Bronze]
EVENT_SHOP_69_NAME	Brilliant Coin Exchange Shop
EVENT_SHOP_70_NAME	Harvest Coin Exchange Shop
EVENT_SHOP_71_NAME	Flame King Raid Coin Exchange Shop
EVENT_SHOP_72_NAME	Heretic Order Exchange Shop
EVENT_SHOP_73_NAME	Halloween 2020 Coin Exchange Shop
EVENT_SHOP_74_NAME	3rd Anniversary Celebration Coin Exchange Shop
EVENT_SHOP_75_NAME	Community's Choice Coin Exchange Shop
EVENT_SHOP_76_NAME	Community's Choice Voucher Exchange Shop
EVENT_SHOP_77_NAME	Collab Coin Crystal of Re:union Exchange Shop
EVENT_SHOP_78_NAME	Collab Coin Shinobi Nightmare Exchange Shop
EVENT_SHOP_79_NAME	Collab Coin Brave Frontier Exchange Shop
EVENT_SHOP_80_NAME	Winter Holiday 2020 Coin Exchange Shop
EVENT_SHOP_81_NAME	Ouroboros 2020 Wreath Exchange Shop
EVENT_SHOP_82_NAME	Collab Coin Exchange Shop
EVENT_SHOP_83_NAME	Knighthood of Wratharis Coin Exchange Shop
EVENT_SHOP_84_NAME	Black and White Bear Coin Exchange Shop
EVENT_SHOP_85_NAME	Valentine Coin 2021 Exchange Shop
EVENT_SHOP_86_NAME	Greed Dike Army Coin Exchange Shop
EVENT_SHOP_87_NAME	Wedding 2021 Coin Exchange Shop
EVENT_SHOP_88_NAME	White Day 2021 Coin Exchange Shop
EVENT_SHOP_89_NAME	Mechanical Coin Exchange Shop
EVENT_SHOP_90_NAME	TAC Festival Coin Exchange Shop
EVENT_SHOP_91_NAME	Decisive Battle Coin Exchange Shop
EVENT_SHOP_92_NAME	Phantom Battle Coin Exchange Shop
EVENT_SHOP_93_NAME	Trial Essence Exchange Shop
EVENT_SHOP_94_NAME	Real Gems Exchange Shop
EVENT_SHOP_95_NAME	Premium Arena Coin Exchange Shop
EVENT_SHOP_96_NAME	Scarlet Flame Coin Exchange Shop
EVENT_SHOP_97_NAME	Nigredo Coin Exchange Shop
EVENT_SHOP_98_NAME	Special Voucher Exchange Shop
EVENT_SHOP_99_NAME	Attack Talos Coin Exchange Shop
EVENT_SHOP_100_NAME	Queen Coin Exchange Shop
EVENT_SHOP_101_NAME	Letter from Lustburg Exchange Shop
EVENT_SHOP_102_NAME	Summer Campaign Coin Exchange Shop
EVENT_SHOP_103_NAME	Beach 2021 Coin Exchange Shop
EVENT_SHOP_104_NAME	Summer Festival Coin Exchange Shop
EVENT_SHOP_105_NAME	Special Prize Exchange Shop
EVENT_SHOP_106_NAME	1st Prize Exchange Shop
EVENT_SHOP_107_NAME	2nd Prize Exchange Shop
EVENT_SHOP_108_NAME	3rd Prize Exchange Shop
EVENT_SHOP_109_NAME	4th Prize Exchange Shop
EVENT_SHOP_110_NAME	5th Prize Exchange Shop
EVENT_SHOP_111_NAME	Wedding Special Coin Exchange Shop
EVENT_SHOP_112_NAME	Goetia's Summer Shop
EVENT_SHOP_113_NAME	Special Featured Coin Exchange Shop
EVENT_SHOP_114_NAME	Ratty Coin Exchange Shop
EVENT_SHOP_115_NAME	Demon Coin Exchange Shop
EVENT_SHOP_116_NAME	Autumn Campaign Coin Exchange Shop
EVENT_SHOP_117_NAME	TAC Festival [Yura] Coin Exchange Shop
EVENT_SHOP_118_NAME	Armed Dance Coin Exchange Shop
EVENT_SHOP_119_NAME	TAC Festival [Irene] Coin Exchange Shop
EVENT_SHOP_120_NAME	Dark Phantom Coin Exchange Shop
EVENT_SHOP_121_NAME	5★ Seal Coupon Exchange Shop
EVENT_SHOP_122_NAME	Pre-Anniversary Coin Exchange Shop
EVENT_SHOP_123_NAME	Halloween 2021 Coin Exchange Shop
EVENT_SHOP_124_NAME	Halloween Summon Coin Exchange Shop
EVENT_SHOP_125_NAME	4th Anniversary Celebration Coin Exchange Shop
EVENT_SHOP_126_NAME	Collab Festival Coin Exchange Shop
EVENT_SHOP_127_NAME	Winter Festival Coin Exchange Shop
EVENT_SHOP_128_NAME	The Holidays Coin Exchange Shop
EVENT_SHOP_129_NAME	Ouroboros 2021 Wreath Exchange Shop
EVENT_SHOP_130_NAME	New Year's 2022 Coin Exchange Shop
EVENT_SHOP_131_NAME	Spirit Festival Coin Exchange Shop
EVENT_SHOP_132_NAME	Fierce Battle Coin Exchange Shop
EVENT_SHOP_133_NAME	Valentine 2022 Coin Exchange Shop
EVENT_SHOP_134_NAME	Giri Choco Exchange Shop
EVENT_SHOP_135_NAME	Honmei Choco Exchange Shop
EVENT_SHOP_136_NAME	Elizabeth Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_137_NAME	Margaret Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_138_NAME	Emma Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_139_NAME	Noah Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_140_NAME	Leafah Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_141_NAME	Eve Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_142_NAME	Tina Super Training Set Voucher Exchange Shop
EVENT_SHOP_143_NAME	White Day 2022 Coin Exchange Shop
EVENT_SHOP_144_NAME	Spring Festival Coin Shop
EVENT_SHOP_145_NAME	Deadly Trio of Wratharis Coin Exchange Shop
EVENT_SHOP_146_NAME	TAC Festival Skin Voucher Exchange Shop
EVENT_SHOP_147_NAME	April Fools 2022 Coin Exchange Shop
EVENT_SHOP_148_NAME	Deadly Trio of Wratharis Soul Shard Voucher Exchange Shop
EVENT_SHOP_149_NAME	Collab Coin Exchange Shop
EVENT_SHOP_150_NAME	Magic Stone Exchange Shop I
EVENT_SHOP_151_NAME	Magic Stone Exchange Shop II
EVENT_SHOP_152_NAME	Magic Stone Exchange Shop III
EVENT_SHOP_153_NAME	Spring Summon Coin Exchange Shop
EVENT_SHOP_154_NAME	Wedding 2022 Coin Exchange Shop
EVENT_SHOP_155_NAME	Ancient Coin Exchange Shop
EVENT_SHOP_156_NAME	Giant Taurus Coin Exchange Shop
EVENT_SHOP_157_NAME	12.5 Million Downloads Celebration Coin Exchange Shop
EVENT_SHOP_158_NAME	Holy Guard Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_159_NAME	Crystal Coin Exchange Shop
EVENT_SHOP_160_NAME	Beach 2022 Coin Exchange Shop
EVENT_SHOP_161_NAME	Summer Celebration Shop
EVENT_SHOP_162_NAME	TAC Festival [Kaede] Coin Exchange Shop
EVENT_SHOP_163_NAME	Summer Festival 2022 Coin Exchange Shop
EVENT_SHOP_164_NAME	Templar Perfect Training Set Voucher Exchange Shop
EVENT_SHOP_165_NAME	TAC Festival [Kalmia] Coin Exchange Shop
EVENT_SHOP_166_NAME	Super Training Set Voucher Exchange Shop
EVENT_SHOP_167_NAME	TAC Festival [Nero] Coin Exchange Shop
EVENT_SHOP_168_NAME	Collab Coin Exchange Shop
EVENT_SHOP_169_NAME	Shinobi Nightmare Unit Soul Shard Vouncher Exchange Shop
EVENT_SHOP_170_NAME	Halloween 2022 Coin Exchange Shop
EVENT_SHOP_171_NAME	Edgar Super Training Set Voucher Exchange Shop
EVENT_SHOP_172_NAME	Lisbeth Super Training Set Voucher Exchange Shop
EVENT_SHOP_173_NAME	Kamui Super Training Set Voucher Exchange Shop
EVENT_SHOP_174_NAME	GR Booster Pack Hero Exchange Shop
EVENT_SHOP_175_NAME	GR Booster Pack Heroine Exchange Shop
EVENT_SHOP_176_NAME	5th Anniversary Coin Exchange Shop
EVENT_SHOP_177_NAME	Collab Coin Exchange Shop
EVENT_SHOP_178_NAME	Eternal Darkness Coin Exchange Shop
EVENT_SHOP_179_NAME	Ouroboros 2022 Wreath Exchange Shop
EVENT_SHOP_180_NAME	New Year's 2023 Coin<br>Exchange Shop
EVENT_SHOP_181_NAME	Fortune Slip Exchange Shop [Great Blessing]
EVENT_SHOP_182_NAME	Fortune Slip Exchange Shop [Good Blessing]
EVENT_SHOP_183_NAME	Fortune Slip Exchange Shop [Fair Blessing]
EVENT_SHOP_184_NAME	Fortune Slip Exchange Shop [Small Blessing]
