BUNDLE_NAME_ENUM_001	Commencement Bundle
BUNDLE_NAME_ENUM_009_03M	Valentine's Heartthrob Bundle
BUNDLE_DESC_ENUM_009_03M	★Valentine's Day Exclusive Offer!★<br>A special date with your heartthrob for your sweetest Valentine's Day.
BUNDLE_NAME_ENUM_0015	Ouroboros's Reunion Bundle
BUNDLE_DESC_ENUM_0015	★Welcome back!★<br>A surprise hoard of goodies that Ouroboros kept for you while you were away. Only available for 7 days!
BUNDLE_NAME_ENUM_0014_02	2 Million Downloads Celebration Bundle
BUNDLE_DESC_ENUM_0014_02	★2 Million Downloads!★<br>A special offer to celebrate having two million downloads! Thank you for your continued support!
BUNDLE_NAME_ENUM_008_02	2 Million Downloads Celebration Deluxe Bundle
BUNDLE_DESC_ENUM_008_02	★2 Million Downloads!★<br>A special offer to celebrate having two million downloads! Thank you for your continued support!
BUNDLE_NAME_ENUM_001a	First Purchase Flash Bundle
BUNDLE_DESC_ENUM_001a	★Exclusive offer!★<br>Power comes to those who seize the opportunity when it presents itself.
BUNDLE_DESC_ENUM_GEM_001	An extremely valuable set with a great amount of Gems.
BUNDLE_NAME_ENUM_009_04	Spring Festival Bundle
BUNDLE_DESC_ENUM_009_04	★Spring Festival Special Offer!★<br>An exclusive bundle to celebrate this season.
BUNDLE_NAME_ENUM_0016	Ouroboros's Earrings
BUNDLE_DESC_ENUM_0016	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0017	Ouroboros's Ring
BUNDLE_DESC_ENUM_0017	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0015a	Ouroboros's Bangle
BUNDLE_DESC_ENUM_0015a	A valuable set of items and Gems
BUNDLE_NAME_ENUM_003a	Ouroboros's Stash
BUNDLE_DESC_ENUM_003a	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0018	Ouroboros's Coffer
BUNDLE_DESC_ENUM_0018	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0019	Ouroboros's Bracelet
BUNDLE_DESC_ENUM_0019	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0020	Ouroboros's Tiara
BUNDLE_DESC_ENUM_0020	A valuable set of items and Gems
BUNDLE_DESC_ENUM_008_03	An exclusive bundle to unleash the true potential of your units!
BUNDLE_DESC_ENUM_009_05	An exclusive bundle to make your strongest units even stronger!
BUNDLE_NAME_ENUM_008_04	[5 Million Downloads Worldwide!] Bundle
BUNDLE_DESC_ENUM_008_04	A special offer to commemorate our 5 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_009_06	[5 Million Downloads Worldwide!] Deluxe Bundle
BUNDLE_DESC_ENUM_009_06	A special offer to commemorate our 5 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_0011_01	[5 Million Downloads Worldwide!] Mega Bundle
BUNDLE_DESC_ENUM_0011_01	A special offer to commemorate our 5 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_008_05	Global v2.0 Celebration Bundle
BUNDLE_DESC_ENUM_008_05	A special Celebration Bundle to commemorate our Global v2.0 release.
BUNDLE_NAME_ENUM_009_07	Global v2.0 Celebration Deluxe Bundle
BUNDLE_DESC_ENUM_009_07	A special Celebration Bundle offer to commemorate our Global v2.0 release.<br>Use 4★ gear selector to obtain a 4★ gear of your choice. (Excluding Golden Jade Tarot, Serenity Chakram, collaboration and Sacred Stone gear.)
BUNDLE_NAME_ENUM_007_02	Ouroboros's Keepsake
BUNDLE_DESC_ENUM_007_02	An exclusive bundle to unleash the true potential of your units!<br>Use 5★ 25-Soul Shard Selector to select 25 5★ Soul Shards of your choice, excluding Setsuna Soul Shards, Sophia Soul Shards, Collaboration Soul Shards and Sacred Stone Soul Shards.
BUNDLE_NAME_ENUM_008_06	Ouroboros's Cache
BUNDLE_DESC_ENUM_008_06	An exclusive bundle to unleash the true potential of your units!<br>Use 5★ 50-Soul Shard Selector to select 50 5★ Soul Shards of your choice, excluding Setsuna Soul Shards, Sophia Soul Shards, Collaboration Soul Shards and Sacred Stone Soul Shards.
BUNDLE_NAME_ENUM_009_08	Ouroboros's Chest
BUNDLE_DESC_ENUM_009_08	An exclusive bundle to unleash the true potential of your units!<br>Use 5★ 50-Soul Shard Selector to select 50 5★ Soul Shards of your choice, excluding Setsuna Soul Shards, Sophia Soul Shards, Collaboration Soul Shards and Sacred Stone Soul Shards.
BUNDLE_NAME_ENUM_005a	Ouroboros's Jewelry
BUNDLE_DESC_ENUM_005a	A valuable set of items and Gems
BUNDLE_DESC_ENUM_GEM_002	An extremely valuable set with a great amount of Gems.
BUNDLE_NAME_ENUM_0017_01	Amazon Prime Bundle
BUNDLE_DESC_ENUM_0017_01	★Amazon Prime Exclusive Offer!★<br>An extremely valuable set with a great amount of Gems.<br>Discount is only applicable for Amazon Prime Members.
BUNDLE_NAME_ENUM_0013_03	Amazon Prime Deluxe Bundle
BUNDLE_DESC_ENUM_0013_03	★Amazon Prime Exclusive Offer!★<br>An extremely valuable set with a great amount of Gems.<br>Discount is only applicable for Amazon Prime Members.
BUNDLE_NAME_ENUM_WEEKLY_01	Sapphire Bundle
BUNDLE_DESC_ENUM_WEEKLY_01	A decent set of essentials.
BUNDLE_NAME_ENUM_WEEKLY_02	Ruby Bundle
BUNDLE_DESC_ENUM_WEEKLY_02	A generous box of supplies.
BUNDLE_NAME_ENUM_WEEKLY_03	Emerald Bundle
BUNDLE_DESC_ENUM_WEEKLY_03	An incredible crate of treasures.
BUNDLE_NAME_ENUM_SUMMER2018_01	Summer Sports Meet Bundle
BUNDLE_DESC_ENUM_SUMMER2018_01	★Summer Sports Meet Special Offer!★ Equip your units and become a winner!
BUNDLE_NAME_ENUM_SUMMER2018_02	Summer Sports Meet Deluxe Bundle
BUNDLE_DESC_ENUM_SUMMER2018_02	★Summer Sports Meet Special Offer!★ Equip your units and become a winner!<br>Use [Summer Sports Meet] 4★ Gear Selector to obtain a 4★ Gear with MOVE/AGI boost of your choice. (Some 4★ Gears are not available in this selector)
BUNDLE_NAME_ENUM_SUMMER2018_03	Summer Sports Meet Mega Bundle
BUNDLE_DESC_ENUM_SUMMER2018_03	★Summer Sports Meet Special Offer!★ Equip your units and become a winner!<br>Use [Summer Sports Meet] 4★ Gear Selector to obtain a piece of 4★ gear with the MOVE/AGI boost of your choice. (Some 4★ gear is not available in this selector)
BUNDLE_NAME_ENUM_0021	Ouroboros's Brooch
BUNDLE_DESC_ENUM_0021	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0014	Ouroboros's Locket
BUNDLE_DESC_ENUM_0014	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0014_03	Sapphire Bundle
BUNDLE_DESC_ENUM_0014_03	A decent set of essentials.<br>Use [Starter] 5★ 25-Soul Shard Selector to select 25 5★ Soul Shards of your choice. (Anastasia/Magnus/Vettel/Yomi/Shenmei/Ryle)
BUNDLE_NAME_ENUM_007_03	Halloween Candy Basket
BUNDLE_DESC_ENUM_007_03	★Halloween Exclusive Offer!★<br>A spook-tacular candy basket to celebrate this Halloween season.
BUNDLE_NAME_ENUM_008_07	Trick-or-Treat Bag
BUNDLE_DESC_ENUM_008_07	★Halloween Exclusive Offer!★<br>A spook-tacular Trick-or-Treat Bag to celebrate this Halloween season.<br>Use Trick-or-Treat 10-Summon Ticket to summon 10 Spooky Halloween Surprises, with one guaranteed summon of 15 Featured 5★ Unit Soul Shards (Uzuma/Leoniaz/Ravina/Basheeny/Roxanne/Noah/Zofia)
BUNDLE_NAME_ENUM_0014_04	[7 Million Downloads Worldwide!] Bundle
BUNDLE_DESC_ENUM_0014_04	A special offer to commemorate our 7 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_009_09	[7 Million Downloads Worldwide!] Deluxe Bundle
BUNDLE_DESC_ENUM_009_09	A special offer to commemorate our 7 Million Downloads Worldwide Celebration! Thank you for your continued support!
SUB_NAME_ENUM_1STANNI_01	[1st Anniversary] Subscription
SUB_DESC_ENUM_1STANNI_01	★1st Anniversary Exclusive Offer!★<br> For a limited time, purchase this subscription and get 200 Free Gems daily for 30 days.<br>Gems will be sent to Gifts.
BUNDLE_NAME_ENUM_1STPURCHASE_01	First Purchase Flash Bundle
BUNDLE_DESC_ENUM_1STPURCHASE_01	★Exclusive offer!★<br>Power comes to those who seize the opportunity when it presents itself.<br>Use [Start Dash] Featured 5★ 50-Soul Shard Selector to select 50 5★ Soul Shards of your choice. (Hazel/Lupinus/Reimei/Vettel/Elizabeth/Fung Liu/Shayna/Shenmei/Aruba/Magnus/Teona/Flamel/Yomi/Ryle/Spica/Suzuka/Anastasia/Aswald/Rosa/Zahar)
BUNDLE_NAME_ENUM_WEEKLY_03_01	Emerald Bundle
BUNDLE_DESC_ENUM_WEEKLY_03_01	An incredible crate of treasures.<br>Use 5★ Unit with 25 Soul Shards Summon Ticket to summon a 5★ unit and 25 Soul Shards for that unit.
BUNDLE_NAME_ENUM_008_08	Black Friday Deluxe Bundle
BUNDLE_DESC_ENUM_008_08	★Black Friday Special Offer!★<br>An exclusive bundle to make your strongest units even stronger!<br>Use 5★ Gear Summon Ticket to summon a 5★ version of a 4★ gear item.
BUNDLE_NAME_ENUM_009_10	Black Friday Mega Bundle
BUNDLE_DESC_ENUM_009_10	★Black Friday Special Offer!★<br>An exclusive bundle to make your strongest units even stronger!<br>Use 5★ Gear Summon Ticket to summon a 5★ version of a 4★ gear item.
BUNDLE_NAME_ENUM_008_09	Winter Remedial Bundle
BUNDLE_DESC_ENUM_008_09	★Winter Holiday Exclusive Offer!★<br>Have a cozy private lesson with Minerva this Winter season.<br>Use Minerva's Delight 10-Summon Ticket to summon 10 Winter Holiday Surprises, with 15 Soul Shards of one featured 5★ unit guaranteed (Birgitta/Acht/Vier/Bashenny/Minerva/Klima/Itsuki)
BUNDLE_NAME_ENUM_006_01	Winter Holiday Mega Bundle
BUNDLE_DESC_ENUM_006_01	★Winter Holiday Exclusive Offer!★<br>A sack of presents to celebrate this winter festive season.<br>Use 5★ Gear Summon Ticket to obtain a 5★ gear version of a 4★ gear.
SUB_NAME_ENUM_NEWY_01	[New Year Celebration] Subscription
SUB_DESC_ENUM_NEWY_01	★New Year Celebration Exclusive Offer!★<br>For a limited time, purchase this subscription and receive 900 Paid Gems upon purchase. You'll also get 170 Free Gems daily for 30 days.<br>Gems will be sent to Gifts.
BUNDLE_NAME_ENUM_007_04	Amazon Bundle
BUNDLE_DESC_ENUM_007_04	★Amazon Exclusive Offer!★<br>An extremely valuable set with a great amount of Gems.
BUNDLE_NAME_ENUM_0018_01	Amazon Deluxe Bundle
BUNDLE_DESC_ENUM_0018_01	★Amazon Exclusive Offer!★<br>An extremely valuable set with a great amount of Gems.
BUNDLE_NAME_ENUM_8MDL_01	[8 Million Downloads Worldwide!] Bundle
BUNDLE_DESC_ENUM_8MDL_01	A special offer to commemorate our 8 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_8MDL_02	[8 Million Downloads Worldwide!] Deluxe Bundle
BUNDLE_DESC_ENUM_8MDL_02	A special offer to commemorate our 8 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_8MDL_03	[8 Million Downloads Worldwide!] Mega Bundle
BUNDLE_DESC_ENUM_8MDL_03	A special offer to commemorate our 8 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_VALE2019_01	Cupid's Bouquet
BUNDLE_DESC_ENUM_VALE2019_01	★Valentine's Day Exclusive Offer!★<br>A beautiful bouquet made by Cupid for your perfect Valentine's Day.<br>Use [Valentine] Featured 5★ 25-Soul Shard Selector to summon 25 5★ Soul Shards of your choice. (Klima/Tamamo/Aswald/Noah/Albea/Eve/Lucretia)
BUNDLE_NAME_ENUM_VALE2019_02F	Valentine's Sweetheart Bundle
BUNDLE_DESC_ENUM_VALE2019_02F	★Valentine's Day Exclusive Offer! ★<br>A special date with your sweetheart for your sweetest Valentine's Day.<br>Use [Valentine] Featured 5★ Unit Selector to summon the 5★ unit of your choice. (Klima/Tamamo/Aswald/Noah/Albea/Eve/Lucretia)<br>Use 5★ Gear Summon Ticket to summon a 5★ gear version of a 4★ gear.
BUNDLE_NAME_ENUM_LVLUP01	Level Up Bundle
BUNDLE_DESC_ENUM_LVLUP01	Earn gems as you level up!<br>Player Lv:15 = 750 gems<br>Player Lv:40 = 2250 gems<br>Player Lv:60 = 3000 gems<br>Player Lv:85 = 4500 gems<br>Player Lv:100 = 7500 gems
BUNDLE_NAME_ENUM_008_10	Garden Party Bundle
BUNDLE_DESC_ENUM_008_10	You're invited to an exclusive tea party hosted by a Slothstein Socialite.<br>Use Garden Party 10-Summon Ticket to summon 10 special treats, with 15 Soul Shards of one featured 5★ unit guaranteed (Siegfried/Shion/Roxanne/Minerva)<br>
BUNDLE_MILESTONE_LVL_COINS	Lv {0}: Gems x{1}
BUNDLE_NAME_ENUM_008_11	Roxanne's Summer Secret
BUNDLE_DESC_ENUM_008_11	★Summer Celebration Exclusive Offer！★<br>A pure maiden's daring bid to win the heart of her beloved this summer !<br>Use Roxanne's Secret 10-Summon Ticket to summon 10 Summer Surprises, with one guaranteed 15 Featured 5★ Unit Soul Shards (Asuka/Roxanne/Minerva/Shion/Siegfried)
BUNDLE_NAME_ENUM_008_12	Remedial Bundle
BUNDLE_DESC_ENUM_008_12	★Summer Celebration Exclusive Offer！★<br>Have a cozy private lesson with Minerva.<br>Use Minerva's Delight 10-Summon Ticket to Summon 10 Summer Surprises, with one guaranteed 15 Featured 5★ Unit Soul Shards (Asuka/Roxanne/Minerva/Shion/Siegfried)
BUNDLE_NAME_ENUM_008_13	Chloe Gala Bundle
BUNDLE_DESC_ENUM_008_13	★Special Offer!★<br>Cheer Chloe up with a memorable date!
BUNDLE_NAME_ENUM_10MDL_01	[10 Million Downloads Worldwide!] Mega Bundle
BUNDLE_DESC_ENUM_10MDL_01	A special offer to commemorate our 10 Million Downloads Worldwide Celebration! Thank you for your continued support!
BUNDLE_NAME_ENUM_HALLO	Trick-or-Treat Bag
BUNDLE_DESC_ENUM_HALLO	★Halloween Exclusive Offer!★<br>A spook-tacular Trick-or-Treat Bag to celebrate this Halloween season.
BUNDLE_NAME_ENUM_DOUBLE11_01	Double 11 Bundle
BUNDLE_DESC_ENUM_DOUBLE11_01	★Exclusive Offer!★<br>Spend 11/11 (November 11) with your significant units and unleash their true potential!
BUNDLE_NAME_ENUM_DOUBLE11_02	Double 11 Mega Bundle
BUNDLE_DESC_ENUM_DOUBLE11_02	★Exclusive Offer!★<br>Spend 11.11 (November 11) with your significant units and unleash their true potential!
BUNDLE_NAME_ENUM_2NDANNI_01	[2nd Anniversary] Bundle
BUNDLE_DESC_ENUM_2NDANNI_01	★2nd Anniversary Exclusive Offer!★<br>A special offer to commemorate our 2nd Anniversary.<br>* The selector excludes collaborations, Global Originals, limited units/gear/items. The selector also excludes all units/gear/items after November 13, 2019.
BUNDLE_NAME_ENUM_2NDANNI_02	[2nd Anniversary] Deluxe Bundle
BUNDLE_DESC_ENUM_2NDANNI_02	★2nd Anniversary Exclusive Offer!★<br>A special offer to commemorate our 2nd Anniversary.<br>* The selector excludes collaborations, Global Originals, limited units/gear/items. The selector also excludes all units/gear/items after November 13, 2019.
BUNDLE_NAME_ENUM_2NDANNI_03	[2nd Anniversary] Mega Bundle
BUNDLE_DESC_ENUM_2NDANNI_03	★2nd Anniversary Exclusive Offer!★<br>A special offer to commemorate our 2nd Anniversary.
BUNDLE_NAME_ENUM_BLKFRI2019_01	Black Friday Ruby Bundle
BUNDLE_DESC_ENUM_BLKFRI2019_01	★Black Friday Special Offer!★<br>An incredible crate of treasures for any renowned master!
BUNDLE_NAME_ENUM_BLKFRI2019_02	Black Friday Sapphire Bundle
BUNDLE_DESC_ENUM_BLKFRI2019_02	★Black Friday Special Offer!★<br>An incredible crate of treasures for any renowned master!
BUNDLE_NAME_ENUM_XMAS2019_EIRA	Eira's Winter Surprise Bundle
BUNDLE_DESC_ENUM_XMAS2019_EIRA	★Winter Holiday Exclusive Offer!★<br>Delightful winter cheer from Eira to warm everyone's hearts.
BUNDLE_NAME_ENUM_XMAS2019_MINE	Winter Remedial Bundle
BUNDLE_DESC_ENUM_XMAS2019_MINE	★Winter Holiday Exclusive Offer!★<br>Have a cozy private lesson with Minerva this Winter season.
BUNDLE_NAME_ENUM_NEWY2019_01	[New Year's Celebration!] Bundle
BUNDLE_DESC_ENUM_NEWY2019_01	★Happy New Year!★<br>A special offer to welcome 2020.
BUNDLE_DESC_ENUM_NEWY2019_01_DISCLAIMER	★Happy New Year!★<br>A special offer to welcome 2020.<br>* The selector excludes collaborations, Global Originals, limited units/gear/items. The selector also excludes all units/gear/items after December 31, 2019.
BUNDLE_DESC_ENUM_006_DISCLAIMER	An incredible treasure chest for any renowned master!<br>* The selector excludes collaborations, Global Originals, limited units/gear/items. The selector also excludes all units/gear/items after January 15, 2020.
BUNDLE_NAME_ENUM_CNY2020_01	Lunar New Year Bundle
BUNDLE_DESC_ENUM_CNY2020_01	★Happy Lunar New Year!★<br>Ring in the Year of the Rat with this special offer.
BUNDLE_NAME_ENUM_001b	Ouroboros's Charm
BUNDLE_DESC_ENUM_001b	A valuable set of items and Gems
BUNDLE_NAME_ENUM_DAILY_01	Daily Blessings Bundle
BUNDLE_DESC_ENUM_DAILY_01	A valuable set with great amount of Gems. Bundle will reset daily!
BUNDLE_NAME_ENUM_SEASONPASS_01	Premium Pass
BUNDLE_DESC_ENUM_SEASONPASS_01	★Includes 1250 Paid Gems★<br>Purchasing this will unlock additional rewards for the current Season.
BUNDLE_DESC_ENUM_WEEKLY_02b	A generous box of supplies. Bundle will reset weekly!
BUNDLE_NAME_ENUM_VALE_ASUK	Cheerful Sweetheart Bundle
BUNDLE_DESC_ENUM_VALE_ASUK	★ Valentine's Day Exclusive Offer！★<br>A cheerful smile and a sweet treat that warms you up after a hard day!
BUNDLE_NAME_ENUM_VALE2020_01	Valentine Sweetheart Bundle
BUNDLE_DESC_ENUM_VALE2020_01	★ Valentine's Day Exclusive Offer！★<br>A special date with your sweetheart for your sweetest Valentine's Day. <br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_MONTHLY_01	Diamond Bundle
BUNDLE_DESC_ENUM_MONTHLY_01	An enormous box of supplies.<br>Bundle will reset monthly!
BUNDLE_NAME_ENUM_WEEKLY_02b	Weekly Invocation Bundle
BUNDLE_NAME_ENUM_MONTHLY_01b	Monthly Dedication Bundle
BUNDLE_DESC_ENUM_001_2020	★Only available for 7 days!★<br>An exclusive bundle to help you kick-start your adventure!<br>Tap the item icon to show details.
BUNDLE_NAME_ENUM_WHITEDAY_01	White Day Bundle
BUNDLE_DESC_ENUM_WHITEDAY_01	★Happy White Day!★<br>A bundle filled with a selection of sweet delights!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_PRODUCER_01	Producer's Special Bundle
BUNDLE_DESC_ENUM_PRODUCER_01	Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_DUEL_SIEG	Siegfried's Swashbuckling Set
BUNDLE_DESC_ENUM_DUEL_SIEG	A suave set of clothes for Siegfried after mastering his swordsmanship. While he is not too fond of it, someone else is head over heels for it.
BUNDLE_DESC_ENUM_008_10b	You're invited to an exclusive tea party hosted by a Slothstein Socialite.
BUNDLE_NAME_ENUM_V6	Global v6.0 Celebration Bundle
BUNDLE_DESC_ENUM_V6	A special offer to commemorate our Global Version 6.0 Celebration Bundle.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_V6_DAILY_FREE	Daily Global v6.0 Celebration Gift
BUNDLE_DESC_ENUM_V6_DAILY_FREE	A special gift to commemorate our Global Version 6.0 Celebration Bundle. Refresh daily!
BUNDLE_NAME_ENUM_LVPROG_15	Progression Bundle - Level 15
BUNDLE_DESC_ENUM_LVPROG_15	Congratulations on reaching level 15! Here's a little something for you to celebrate the moment ★.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_LVPROG_40	Progression Bundle - Level 40
BUNDLE_DESC_ENUM_LVPROG_40	Congratulations on reaching level 40! Here's a little something for you to celebrate the moment ★.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_LVPROG_60	Progression Bundle - Level 60
BUNDLE_DESC_ENUM_LVPROG_60	Congratulations on reaching level 60! Here's a little something for you to celebrate the moment ★.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_LVPROG_85	Progression Bundle - Level 85
BUNDLE_DESC_ENUM_LVPROG_85	Congratulations on reaching level 85! Here's a little something for you to celebrate the moment ★.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_LVPROG_100	Progression Bundle - Level 100
BUNDLE_DESC_ENUM_LVPROG_100	Congratulations on reaching level 100! Here's a little something for you to celebrate the moment ★.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_11MDL_01	[11 Million Downloads Worldwide!] Mega Bundle
BUNDLE_DESC_ENUM_11MDL_01	A special offer to commemorate our 11 Million Downloads Worldwide Celebration! Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_SWIM_MORR	Morrigan's Seaside Siesta
BUNDLE_DESC_ENUM_SWIM_MORR	★Summer Celebration Exclusive Offer!★<br>Fine weather and fine wine needs company, will you join her?
BUNDLE_NAME_ENUM_SWIM_EIRA	Eira's Summer Splash
BUNDLE_DESC_ENUM_SWIM_EIRA	★Summer Celebration Exclusive Offer!★<br>The seaside is perfect for some fun in the sun with this spirited lass!
BUNDLE_NAME_ENUM_SWIM_ROXA	Roxanne's Summer Secret
BUNDLE_DESC_ENUM_SWIM_ROXA	★Summer Celebration Exclusive Offer!★<br>A pure maiden's daring bid to win the heart of her beloved this summer!
BUNDLE_NAME_ENUM_AUTUMN2020	Early Autumn Celebration Bundle
BUNDLE_DESC_ENUM_AUTUMN2020	A special offer to celebrate the start of Autumn season. Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_AUTUMN2020_FREE	Early Autumn Celebration Gift
BUNDLE_DESC_ENUM_AUTUMN2020_FREE	A special gift to celebrate the start of Autumn season. Refresh daily!
BUNDLE_NAME_ENUM_AUTUMN2020_02	Early Autumn Celebration Deluxe Bundle
BUNDLE_DESC_ENUM_AUTUMN2020_02	A special offer to celebrate the start of Autumn season. Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_V7	Global v7.0 Celebration Bundle
BUNDLE_DESC_ENUM_V7	A special offer to commemorate our Global Version 7.0 Celebration Bundle.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_V7_DAILY_FREE	Daily Global v7.0 Celebration Gift
BUNDLE_DESC_ENUM_V7_DAILY_FREE	A special gift to commemorate our Global Version 7.0 Celebration Bundle. Refresh daily!
BUNDLE_NAME_ENUM_FREE_WEEKLY_01	Ouroboros's Weekly Gift
BUNDLE_DESC_ENUM_FREE_WEEKLY_01	A lovely gift that Ouroboros has prepared just for you. Refresh weekly!
BUNDLE_NAME_ENUM_DAILYLUCKY_01	Daily Lucky Charm
BUNDLE_DESC_ENUM_DAILYLUCKY_01a	A charm that will bring good luck to your adventure. Refresh Daily.<br>Use Lucky Ticket to summon one lucky surprise and get 50 - 2500 bonus gems. *The Gems are "Free Common Gems" and sent to Gifts.
BUNDLE_DESC_ENUM_DAILYLUCKY_01b	A charm that will bring good luck to your adventure. Refresh Daily.<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_PREANNI2020_DISC	Pre-Anniversary Celebration Bundle
BUNDLE_DESC_ENUM_PREANNI2020_DISC	A special offer to show our appreciation for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_PREANNI2020_STEP1	Pre-Anniversary Celebration Step Up Bundle (Step 1)
