CREATE_KNIGHTS_TITLE	創建騎士團
CONFIG_DATA_ERROR	靜態數據配置錯誤
HAVE_APPLYED_INCHECK	已經申請過，正在審核中
CANCEL_JOIN_LIST_CHANGE	取消申請列表已變更
CREATE_COIN_LIMIT	創建騎士團幻晶石不足
PERMISSION_DENY	權限不足
NO_IN_QST	不在騎士團中
NO_IN_SAME_QST	不在同一個騎士團中
PROMOTE_VICE_LIMIT	對方已是副團長不能升為副團長
REDUCE_VICE_LIMIT	對方不是副團長，不能撤銷
VICE_COUNT_LIMIT	副團長人數達到上限
LORD_CANNOT_QUIT	團長不能退出團
DISSOLVE_MEMBER_LIMIT	只有一人時才能解散騎士團
ID_NOT_EXIST	玩家申請信息已不存在
DONATION_COUNT_LIMIT	捐獻次數限制
DONATION_GOLD_LIMIT	捐獻金幣限制
DONATION_COIN_LIMIT	捐獻幻晶石限制
RENAME_COIN_LIMIT	改名幻晶石限制
FAILED_CREATE_KNIGHTS	創建騎士團失敗
FAILED_JOIN_KNIGHTS	無騎士團列表，請創建騎士團。
FAILED_SEARCH_KN	獲取騎士團列表失敗
SEARCH_INPUT_EMPTY	請輸入正確的騎士團ID!
DENA_JOIN_TIME_KNIGHTS	本次申請距離上一次加入未滿24小時！
DENA_KNIGHTSMEMBERLIMIT	騎士團成員已滿
DENA_CANCELJOINCHANGE	您可能已經加入騎士團或被拒絕，請返回！
DENA_KNIGHTS_LEVEL_FORBID	您的等級未達到該騎士團的要求！
DENA_QST_DEFAULT_AOU	歡迎各位英雄加入本騎士團
DENA_QST_NOCHAT_MSG	騎士團頻道只能在加入騎士團後使用！
DENA_SETLORD_TIME_LIMET	該玩家長期不在線，不能升為團長！
DENA_WART_OPEN	優化中…
BD_CANGET_HONOR	可獲得榮譽值
BD_JOIN_APPLY_MSG	是否同意以下的入團申請？
BD_CURRET_MEMBER	現有成員
BD_JOIN_SUCCESS	您現已加入{0}騎士團！請與大家一起開創未來吧！
BD_rule	1、當角色等級達到50級時，即可創建騎士團或加入他人的騎士團。<br>2、每日騎士團的團員可以為騎士團捐獻，捐獻後將會獲得榮譽值，榮譽值會轉換為騎士團的經驗為騎士團陞級。<br>3、騎士團等級提升後，可以接納更多的團員。<br>4、若720小時未上線，則團長職位將自動轉讓給其他成員！<br>5、每日每位騎士團團員獲得榮譽值上限為5000點。
BD_rule_title	騎士團規則(體驗版)
DenaGuild_qst_list_empty	未找到符合騎士團，請重新搜索！
DenaGuild_dissolve_member_limit	只有剩下團長一人時才能解散騎士團！！
DENAGUILDCHAMPIONS_HONOR_NOT_OPEN	榮譽戰活動未開啟
DENAGUILDCHAMPIONS_NOT_QST_MEMBER	非騎士團成員不能操作
DENAGUILDCHAMPIONS_QST_LEVEL_LIMIT	騎士團等級不足無法報名
DENAGUILDCHAMPIONS_PLAYER_LEVEL_LIMIT	玩家等級不足無法報名
DENAGUILDCHAMPIONS_NOT_IN_SIGN_TIME	不在報名時間內
DENAGUILDCHAMPIONS_SEASON_NOT_EXIST	賽季數據未配寘
DENAGUILDCHAMPIONS_HAVE_SIGN	已經報名
DENAGUILDCHAMPIONS_QST_NOT_MATCH	騎士團不滿足匹配條件
DENAGUILDCHAMPIONS_NOT_IN_PREPARE_TIME	不在準備階段時間內
DENAGUILDCHAMPIONS_UNIT_IN_OTHER_TEAM	此英靈已在其他隊伍中
DENAGUILDCHAMPIONS_NOT_IN_BATTLE_TIME	不在戰鬥階段時間內
DENAGUILDCHAMPIONS_NOT_SELF_UNITS	不是自己的英靈
DENAGUILDCHAMPIONS_PLAYER_NOT_SIGN	該玩家未報名
DENAGUILDCHAMPIONS_TEAM_NOT_EXIST	隊伍不存在
DENAGUILDCHAMPIONS_TEAM_HAVE_DIED	當前隊伍已經死亡
DENAGUILDCHAMPIONS_TEAM_HAVE_SET_DEFEND	當前隊伍已經設定在其他據點上了
DENAGUILDCHAMPIONS_STRONGHOLD_NOT_OWN	當前據點不是已方佔領的
DENAGUILDCHAMPIONS_SET_DEFEND_OVER_TIME	設定防守的保護時間已過
DENAGUILDCHAMPIONS_POINT_HAVE_SET_DEFEND	當前據點已經被其他人防守
DENAGUILDCHAMPIONS_TEAM_TYPE_ERROR	設定隊伍類型錯誤
DENAGUILDCHAMPIONS_TEAM_NUM_ERROR	設定隊伍編號錯誤
DENAGUILDCHAMPIONS_TEAM_DEFEND_TYPE_ERROR	設定隊伍設定類型錯誤
DENAGUILDCHAMPIONS_TEAM_FORMATION_ERROR	設定隊伍英靈參數錯誤
DENAGUILDCHAMPIONS_STRONGHOLD_OVER_COUNT	大據點傳參超過上限
DENAGUILDCHAMPIONS_POINT_OVER_COUNT	小據點傳參超過上限
DENAGUILDCHAMPIONS_PARTYPLACE_PARAM_ERROR	設定站位傳參錯誤
DENAGUILDCHAMPIONS_NOT_ENEMY_DEFEND	不是敵方在防守
DENAGUILDCHAMPIONS_DEFEND_TEAM_NOT_EXIST	防守隊伍不存在
DENAGUILDCHAMPIONS_DEFEND_TEAM_IS_DEAD	敵方防守隊伍已經死亡
DENAGUILDCHAMPIONS_DEFEND_IN_BATTLING	敵方防守隊伍正在交戰中
DENAGUILDCHAMPIONS_ATTACK_TEAM_IS_DEAD	我主攻擊隊伍已經死亡
DENAGUILDCHAMPIONS_ATTACK_IN_BATTLING	我方攻擊隊伍正在交戰中
DENAGUILDCHAMPIONS_DEFEND_IN_PROTECT	在防守保護時間內不能攻擊
DENAGUILDCHAMPIONS_DEFEND_FOREVER_OCCUPY	防守隊伍已經永久佔領此據點
DENAGUILDCHAMPIONS_SAVE_BATTLE_PARAM_ERROR	保存戰鬥結果傳參錯誤
DENAGUILDCHAMPIONS_BATTLE_OVER_TIME	戰鬥已過期
DENAGUILDCHAMPIONS_BATTLE_PLAYER_CHANGE	不是此玩家的戰鬥
DENAGUILDCHAMPIONS_CANNOT_DIRECT_OCCUPY	當前有防守隊伍不能直接佔領
DENAGUILDCHAMPIONS_AI_IS_ATTACKING_OTHER	中立據點正被敵方騎士團攻打中
DENAGUILDCHAMPIONS_SIGN_REQ_JOIN_TIME	入團時間過短不能報名
DENAGUILDCHAMPIONS_SIGN_CANNOT_LEAVE_QST	已經報名參加榮譽戰的成員不能離開騎士團
DENAGUILDCHAMPIONS_ENDLIMIT_TIME_OCCUPY	榮譽之戰最後10分鐘內，無法進攻中立據點！請全力攻打敵方據點！
