IT_US_FATE_TAIYAKI_EXPR	3回合內，帶有加速效果
IT_SI_2017_SEPT_PI_TICKET_EXPR	9月14日為止稀有召喚登場的★3、★4、★4-5、★5英靈的魂之碎片X50的召喚禮券。包括聖石的追憶英靈、十戒英靈。各種聯動英靈的碎片不在其中。
IT_US_COMEBACK_TICKET01_EXPR	召喚中消耗1張禮券，可以進行保底10只3星?5星英靈的召喚。還有金塊贈送
IT_US_HAGA_SOULTICKET_1_EXPR	鋼之鍊金術師FA聯動英靈中，可以獲得1只的魂之碎片的禮券
IT_US_HAGA_SOULTICKET_2_EXPR	鋼之鍊金術師FA聯動英靈中，可以獲得1只的魂之碎片的禮券
IT_US_FA_PICKUP_TICKET03_EXPR	可以在鋼之鍊金術師FA聯動英靈中抽取PICK UP召喚的召喚禮券
IT_SI_ENCHANT_JOBITEM_TICKET01_EXPR	可以選擇上級暗騎、武聖的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_SI_EQ_SOUL_ENCHANT_TICKET_01_EXPR	從附魔職業轉換所必要的證明中選擇1種：6個組合來召喚的禮券。對象職業：武聖【破獸?殘兵?機壞】、上級暗騎【諜影?屠戮?血界?噬魂?追獵】
IT_SI_ENCHANT_JOBITEM_TICKET02_EXPR	可以選擇上級聖騎、教授、獵人的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_SI_EQ_SOUL_ENCHANT_TICKET_02_EXPR	可以選擇上級聖騎、教授、獵人的附魔職業轉換所必要的證明中的1種：6個組合來召喚的禮券。對象職業：上級聖騎【斷刃?折槍?無拳】、教授【援助?強效?生化】獵人【獵鷹】
IT_SU_20171026_SINOBINA_TICKET_EXPR	忍者惡夢聯動英靈中可以選擇(櫻、百合、黃泉)其中一隻召喚的禮券
IT_US_NEICA_TICKET_EXPR	可以確保召喚1只妮卡的召喚禮券
IT_SA_S4_BUGU_TICKET14_EXPR	可以從★4的武具中選擇的召喚禮券
IT_US_2017NOV_ARTIFACT_PIECE_TICKET_EXPR	2017年11月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_2017DEC_ARTIFACT_PIECE_TICKET_EXPR	2017年12月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_2018JAN_ARTIFACT_PIECE_TICKET_EXPR	2018年1月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_2018FEB_ARTIFACT_PIECE_TICKET_EXPR	2018年2月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_2018MAR_ARTIFACT_PIECE_TICKET_EXPR	2018年3月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_FA_SOULTICKET_10_EXPR	鋼之鍊金術師FA聯動英靈中，可以獲得1只的魂之碎片10個的禮券
IT_US_2017NOV_PICKUP_20PERTICKET_EXPR	可以20%概率召喚1只PICK UP英靈的召喚禮券
IT_SA_S34_BUGU_TICKET15_EXPR	可以選擇11月1日為止登場的可以在武具召喚中獲得的★3、★4的武具並召喚的禮券※包括活動限定武具（克勞利的劍、魔刃投影）。不包括『龍神的戰鎧』『軍神的首飾』『戒環?黒炎』和其他聯動武具。
IT_SET_2017_BUGU_TICKET15_EXPR	可以選擇11月1日為止登場的可以在武具召喚中獲得的★3、★4的武具並召喚的禮券※包括活動限定武具（克勞利的劍、魔刃投影）。不包括『龍神的鬥爭』『軍神的首飾』『戒環?黒炎』和其他聯動武具。
IT_SU_FA_TICKET_02_EXPR	可選擇1個鋼之鍊金術師FA聯動英靈(愛德華、羅伊·穆斯唐、莉莎·霍克艾、布拉德雷、普萊伊德)的召喚禮券。
IT_US_2017NOV_COLLABO_SOULTICKET_50_EXPR	幻影聯動英靈中，可以獲得1只的魂之碎片50個的禮券
IT_US_2017NOV_COLLABO_TICKET03_EXPR	可以確保召喚1只幻影聯動英靈的召喚禮券
IT_US_SEISEKI_SOULTICKET_150_EXPR	聖石英靈中，可以獲得1只的魂之碎片150個的禮券
IT_US_2017DEC_PICKUP_SOULTICKET_25_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2017DEC_PICKUP_SOULTICKET_50_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X50的禮券
IT_US_2017DEC_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_SA_S4_BUGU_TICKET15_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2017DEC_TICKET_EXPR	可選擇1個(澤恩、提爾鋒(黑色殺欲)、貝爾塔、歐提瑪、烏茲瑪、繆娜、哈澤魯)的召喚禮券。
IT_US_2017NOV_COLLABO_TICKET04_EXPR	可以確保召喚1只幻影聯動英靈的召喚禮券
IT_US_2017DEC_COLLABO_20PERTICKET_EXPR	可以20%概率召喚1只幻影聯動英靈(雷瓦汀、西塔、芙奧卡斯、朗基努斯、提爾鋒(黑色殺欲))的召喚禮券
IT_US_2017DEC_COLLABO_20PERTICKET02_EXPR	可以20%概率召喚1只幻影聯動英靈(舍金納、芭蕉扇、厄洛斯、阿爾忒彌斯)的召喚禮券
IT_SU_SEISEKI06_TICKET_EXPR	可以選擇1只聖石英靈（卡達諾巴?庫達恩修坦?賽達?蒙澤因?亞烏拉斯?扎因?歐提瑪?繆娜·巴西尼）的召喚禮券【2017年12月份開始】
IT_US_2017DEC_SEISEKI_20PERTICKET_EXPR	水、雷、暗屬性的聖石英靈20%概率召喚1只的禮券
IT_US_2017DEC_SEISEKI_20PERTICKET02_EXPR	火、風、光屬性的聖石英靈20%概率召喚1只的禮券
IT_US_2017DEC_PICKUP_20PERTICKET_EXPR	可以20%概率召喚1只PICK UP英靈的召喚禮券
IT_US_2018JAN_SEISEKI_TICKET_EXPR	可以保底召喚1只聖石的追憶英靈的召喚禮券
IT_US_2018JAN_PICKUP_SOULTICKET_25_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2018JAN_PICKUP_SOULTICKET_50_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X50的禮券
IT_US_2018JAN_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_US_2018JAN_COLLABO_TICKET04_EXPR	可以確保召喚1只FF15聯動英靈的召喚禮券（可以從1/1開始召喚）
IT_SA_S4_BUGU_TICKET16_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2018JAN_TICKET_EXPR	可以選擇(特來沙、西爾瑪、克雷特、阿斯瓦朵、剎那、永山)其中一隻的召喚禮券
IT_US_SOULTICKET_25_03_EXPR	新英靈中(特來沙、西爾瑪、克雷特)可以獲得1只的魂之碎片X25的禮券
IT_US_SOULTICKET_50_02_EXPR	新英靈中(特來沙、西爾瑪、克雷特)可以獲得1只的魂之碎片X50的禮券
IT_SI_ENCHANT_JOBITEM_TICKET03_EXPR	可以選擇1月1日的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_US_2018JAN_20PERTICKET_EXPR	新英靈中(特來沙、西爾瑪、克雷特)召喚1只概率為20%的禮券
IT_US_NEWYEARSCARD_2018_01_EXPR	根據2018年1月14日開始的抽選結果可以召喚的禮券。
IT_SA_NEWYEARS_BUGU_TICKET_2018_01_EXPR	可以從羽子板（幸刀?祝劍?福雙）其中選擇1個的召喚禮券
IT_US_2018DIS_COLLABO_Concept_TICKET01_EXPR	可以召喚1個真理念裝『第128話「魔王再來」』的禮券
IT_US_2018_FIONA_Concept_TICKET01_EXPR	可以召喚1個真理念裝『二人的未來』的禮券
IT_US_FgG_SOULTICKET_25_EXPR	FgG聯動新英靈中(雷瓦汀(黑色殺欲)、弗萊庫格爾、帕拉蘇、月夜見)可以獲得1只的魂之碎片X25的禮券
IT_US_FgG_SOULTICKET_50_EXPR	FgG聯動新英靈中(雷瓦汀(黑色殺欲)、弗萊庫格爾、帕拉蘇、月夜見)可以獲得1只的魂之碎片X50的禮券
IT_US_2018JAN_PICKUP_TICKET02_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_SA_S4_BUGU_TICKET17_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2018JAN_TICKET02_EXPR	可召喚1只PICK UP英靈的禮券
IT_SI_ENCHANT_JOBITEM_TICKET04_EXPR	可以選擇1月18日的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_US_ENCHANT_RARE5_TICKET_EXPR	可以保底召喚1只1月18日為止的迷人★5英靈的召喚禮券
IT_SI_EQ_SOUL_ENCHANT_TICKET_03_EXPR	可以選擇1月1日的附魔職業證明中的1種：6個組合來召喚的禮券
IT_US_2018JAN_3TITTLECOLLABO_TICKET01_EXPR	可以確保召喚1只FgG聯動英靈的召喚禮券
IT_US_LETTER_TICKET01_EXPR	可以得到安比利亞出身的英靈的書信的禮券
IT_US_LETTER_TICKET02_EXPR	可以得到斯洛斯修坦、格拉特尼弗斯出身的英靈的書信的禮券
IT_US_LETTER_TICKET03_EXPR	可以得到沙漠地帶、格裡特達伊克出身的英靈的書信的禮券
IT_US_LETTER_TICKET04_EXPR	可以得到撒加地方、諾森布萊特出身的英靈的書信的禮券
IT_US_LETTER_TICKET05_EXPR	可以得到拉斯特里斯出身的英靈的書信的禮券
IT_US_LETTER_TICKET06_EXPR	可以得到路斯特布魯格出身的英靈的書信的禮券
IT_US_LETTER_TICKET07_EXPR	可以得到綿津見出身的英靈的書信的禮券
IT_US_LETTER_TICKET08_EXPR	可以得到其他出身的英靈的書信的禮券
IT_US_TS_EXP_10TICKET_EXPR	召喚中消耗1張禮券，可以進行強化用念裝的10連特別召喚禮券。【未使用]
IT_US_TS_EXP_TICKET_EXPR	可以召喚1個強化用念裝的禮券
IT_US_2018VALENTINE_TICKET01_EXPR	可以保底召喚1只情人節英靈的召喚禮券
IT_US_SOULTICKET_25_04_EXPR	新英靈中(傑拉德、娜塔莉)可以獲得1只的魂之碎片X25的禮券
IT_US_SOULTICKET_50_03_EXPR	新英靈中(傑拉德、娜塔莉)可以獲得1只的魂之碎片X50的禮券
IT_US_2018FEB_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_US_DIS_SOULTICKET_25_EXPR	魔界戰記聯動英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_DIS_SOULTICKET_50_EXPR	魔界戰記聯動英靈中，可以獲得1只的魂之碎片X50的禮券
IT_SU_2018FEB_TICKET_EXPR	可召喚1只PICK UP英靈的禮券
IT_SI_ENCHANT_JOBITEM_TICKET05_EXPR	可以選擇1月31日的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_SU_DIS_TICKET03_EXPR	可以選擇1只魔界戰記聯動英靈（拉哈爾、艾特娜、蘿莎、阿爾彌拉、奇力亞、雪拉菲娜、火紅瑪格納斯、鈴）的召喚禮券
IT_US_KAIGAN_RARE5_TICKET_EXPR	可以保底召喚1只真理開眼所開放的★5英靈的召喚禮券
IT_US_BABEL_RARE5_TICKET01_EXPR	可以保底召喚1只巴貝爾戰記中登場的★5英靈的召喚禮券
IT_US_SOULTICKET_25_05_EXPR	新英靈中(蕾迪亞、伊拉)可以獲得1只的魂之碎片X25的禮券
IT_US_SOULTICKET_50_04_EXPR	新英靈中(蕾迪亞、伊拉)可以獲得1只的魂之碎片X50的禮券
IT_US_2018MAR_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_SU_2018MAR_TICKET_EXPR	可召喚1只PICK UP英靈的禮券
IT_US_TS_VISION_TICKET_EXPR	召喚1張梅卡妮卡幻象的召喚禮券
IT_US_TS_EXP_03_TICKET_EXPR	召喚1張拉特恩的幸福的召喚禮券
IT_EQ_MIEL_ROD_EXPR	米埃莉琪固有職業【主教+】的裝備　◆魔攻+18、魔防+10、速度+6、石化耐性+19、黑暗耐性+11、停止耐性+8、沉默耐性+8
IT_EQ_MIEL_ROD_FLAVOR	米埃莉琪很喜歡的杖。米埃莉琪因為怕生不愛去學校，她的姐姐為了讓她能在家裡練習魔法就送給她這個杖。杖上的絲帶是她的媽媽讓她系上的。
IT_EQ_MIEL_HEADRIBBON_EXPR	米埃莉琪固有職業【主教+】的裝備　◆魔攻+20、魔防+18、物攻+16、會心+16、運+9
IT_EQ_MIEL_HEADRIBBON_FLAVOR	母親在米埃莉琪生日時送給她所最愛的蝴蝶型絲帶。是以米埃莉琪最喜歡的蝴蝶為模型製作的。
IT_EQ_MIEL_DRESS_EXPR	米埃莉琪固有職業【主教+】的裝備　◆HP+30、物防+26、魔防+18、會心+14、暈眩耐性+7
IT_EQ_MIEL_DRESS_FLAVOR	米埃莉琪很喜愛的裙子。“我好想穿著像蝴蝶那樣的公主裙啊”，她瞞著遠方的父母寫了這封信後，就收到了這個禮裙
