
EFF_UP	UP
BUFF_Resist_Blind	BLIND RESIST
BUFF_Resist_DisableSkill	SILENCE RESIST
BUFF_Resist_DisableMove	ROOT RESIST
BUFF_Resist_DisableAttack	NOATTACK RESIST
BUFF_Resist_Zombie	ZOMBIE RESIST
BUFF_Resist_DeathSentence	DEATH RESIST
BUFF_Resist_Berserk	BERSERK RESIST
BUFF_Resist_Knockback	KNOCKBACK RESIST
BUFF_Resist_ResistBuff	BUFF RESIST
BUFF_Resist_ResistDebuff	DEBUFF RESIST
BUFF_Resist_Stop	STOP RESIST
BUFF_Resist_Fast	FAST RESIST
BUFF_Resist_Slow	SLOW RESIST
BUFF_Resist_AutoHeal	AUTOHEAL RESIST
BUFF_Resist_Donsoku	SLOWMOVE RESIST
BUFF_Resist_Rage	RAGE RESIST
BUFF_Resist_GoodSleep	GOOD SLEEP RESIST
BUFF_EffectRange	RANGE
BUFF_EffectScope	SCOPE
BUFF_EffectHeight	HEIGHT
BUFF_HitRate	ACCURACY
BUFF_AvoidRate	AVOIDANCE
BUFF_CriticalRate	CRIT%
BUFF_SlashAttack	SLASH
BUFF_PierceAttack	PIERCE
BUFF_BlowAttack	BLOW
BUFF_ShotAttack	SHOT
BUFF_MagicAttack	MAGIC
BUFF_ReactionAttack	REACTION
BUFF_JumpAttack	JUMP ATK
BUFF_GainJewel	GAIN JEWEL
BUFF_GainJewelRate	GAIN JEWEL
BUFF_UsedJewelRate	USED JEWEL
BUFF_UsedJewel	USED JEWEL
BUFF_ActionCount	ACTION
BUFF_GutsRate	GUTS
BUFF_AutoJewel	AUTOJEWEL
BUFF_ChargeTimeRate	CHARGE TIME
BUFF_CastTimeRate	CAST TIME
BUFF_BuffTurn	BUFF TURN
BUFF_DebuffTurn	DEBUFF TURN
BUFF_CombinationRange	COMBINATION RANGE
BUFF_HpCostRate	HP RATE
BUFF_SkillUseCount	SKILL COUNT
BUFF_PoisonDamage	POISON DAMAGE
BUFF_PoisonTurn	POISON TURN
BUFF_Assist_AutoJewel	AUTOJEWEL
BUFF_Resist_AutoJewel	AUTOJEWEL RESIST
BUFF_Assist_DisableHeal	DISABLE HEAL
BUFF_Resist_DisableHeal	DISABLE HEAL RESIST
BUFF_Resist_Slash	SLASH RESIST
BUFF_Resist_Pierce	PIERCE RESIST
BUFF_Resist_Blow	BLOW RESIST
BUFF_Resist_Shot	SHOT RESIST
BUFF_Resist_Magic	MAGIC RESIST
BUFF_Resist_Reaction	REACTION RESIST
BUFF_Resist_Jump	JUMP RESIST
BUFF_Avoid_Slash	SLASH AVOID
BUFF_Avoid_Pierce	PIERCE AVOID
BUFF_Avoid_Blow	BLOW AVOID
BUFF_Avoid_Shot	SHOT AVOID
BUFF_Avoid_Magic	MAGIC AVOID
BUFF_Avoid_Reaction	REACTION AVOID
BUFF_Avoid_Jump	JUMP AVOID
BUFF_Assist_SingleAttack	SINGLE TARGET SKILL
BUFF_Assist_AreaAttack	AREA OF EFFECT SKILL
BUFF_Resist_SingleAttack	SINGLE TARGET SKILL RESIST
BUFF_Resist_AreaAttack	AREA OF EFFECT SKILL RESIST
BUFF_Assist_DecCT	DECREASE CT
BUFF_Assist_IncCT	INCREASE CT
BUFF_Resist_DecCT	DECREASE CT RESIST
BUFF_Resist_IncCT	INCREASE CT RESIST
BUFF_Assist_ESA_Fire	FIRE SPECIAL ATTCK
BUFF_Assist_ESA_Water	WATER SPECIAL ATTCK
BUFF_Assist_ESA_Wind	WIND SPECIAL ATTCK
BUFF_Assist_ESA_Thunder	THUNDER SPECIAL ATTCK
BUFF_Assist_ESA_Shine	SHINE SPECIAL ATTCK
BUFF_Assist_ESA_Dark	DARK SPECIAL ATTCK
BUFF_Resist_ESA_Fire	FIRE SPECIAL ATTCK RESIST
BUFF_Resist_ESA_Water	WATER SPECIAL ATTCK RESIST
BUFF_Resist_ESA_Wind	WIND SPECIAL ATTCK RESIST
BUFF_Resist_ESA_Thunder	THUNDER SPECIAL ATTCK RESIST
BUFF_Resist_ESA_Shine	SHINE SPECIAL ATTCK RESIST
BUFF_Resist_ESA_Dark	DARK SPECIAL ATTCK RESIST

;狀態的說明	
COND_Poison	POISON
COND_Paralysed	PARALYZE
COND_Stun	STUN
COND_Sleep	SLEEP
COND_Charm	CHARM
COND_Stone	STONE
COND_Blindness	BLIND
COND_DisableSkill	DISABLE SKILL
COND_DisableMove	DISABLE MOVE
COND_DisableAttack	DISABLE ATTACK
COND_Zombie	ZOMBIE
COND_DeathSentence	DEATH
COND_Berserk	BERSERK
COND_DisableKnockback	DISABLE KNOCKBACK
COND_DisableBuff	DISABLE BUFF
COND_DisableDebuff	DISABLE DEBUFF
COND_Stop	STOP
COND_Fast	CLOCK UP
COND_Slow	CLOCK DOWN
COND_AutoHeal	REGENERATE
COND_Donsoku	SLOWMOVE
COND_Rage	RAGE
COND_GoodSleep	GOOD SLEEP
COND_AutoJewel	REGENERATE
COND_DisableHeal	DISABLE HEAL
COND_DisableSingleAttack	DISABLE SINGLE TARGET SKILL
COND_DisableAreaAttack	DISABLE AREA OF EFFECT SKILL
COND_DisableDecCT	DISABLE DECREASE CT
COND_DisableIncCT	DISABLE INCREASE CT
COND_DisableEsaFire	DISABLE FIRE SPECIAL ATTCK
COND_DisableEsaWater	DISABLE WATER SPECIAL ATTCK
COND_DisableEsaWind	DISABLE WIND SPECIAL ATTCK
COND_DisableEsaThunder	DISABLE THUNDER SPECIAL ATTCK
COND_DisableEsaShine	DISABLE SHINE SPECIAL ATTCK
COND_DisableEsaDark	DISABLE DARK SPECIAL ATTCK

;CT減少/増加表示
POP_DEC_CT	CT {0} DOWN
POP_INC_CT	CT {0} UP

;ＯＢＪＥＣＴ關連的說明
UN_GM_GEM	回復靈魂魔力
UN_GM_GEM_HEAL	HP回復的追加效果
UN_GM_GEM_HEAL_BLACK	拿了這個的話，黑騎士會???！？
UN_GM_GEM_MOVE	移動力增加的追加效果
UN_GM_GEM_CRITICAL	暴擊率UP的追加效果
UN_GM_GEM_YUTO01	開關α
UN_GM_GEM_YUTO02	開關β
UN_GM_GEM_BARRIER	障壁魔力
UN_GM_GEM_TRAP_01	？魔力
UN_GM_GEM_TRAP_02	？魔力
UN_GM_GEM_TRAP_03	？魔力
UN_GM_GEM_TRAP_04	？魔力
UN_GM_GEM_KAIMON_SWITCH	開門的開關

TELOP_WITHDRAW	撤退

;英靈詳情顯示相關	
BUD_LS_NO_NAME	無

BUD_ELEMENT	屬性耐性
BUD_TAG	類型
BUD_ATK_DETAIL	當前的屬性
BUD_COND	當前的狀態異常

BUD_AD_SLASH	斬擊
BUD_AD_STAB	刺突
BUD_AD_BLOW	打擊
BUD_AD_SHOT	射擊
BUD_AD_MAGIC	魔法
BUD_AD_JUMP	跳躍

BUD_AD_ASSIST	攻擊
BUD_AD_RESIST	耐性
BUD_AD_AVOID	回避

BUD_AD_ALL_HIT	全體命中
BUD_AD_ALL_AVOID	全體回避
BUD_AD_ALL_RECOVER	治癒力

BUD_AD_UP	提升
BUD_AD_DW	下降

BUD_COND_SHIELD_DETAIL	盾牌({0})
BUD_COND_SHIELD_DETAIL_COUNT	剩余{0}次
BUD_COND_SHIELD_DETAIL_HP	HP{0}
BUD_COND_SHIELD_DETAIL_LIMIT	LIMIT{0}

BUD_COND_SHIELD	盾牌
BUD_COND_POISON	毒
BUD_COND_PARALYSED	麻痹
BUD_COND_STUN	暈眩
BUD_COND_SLEEP	睡眠
BUD_COND_CHARM	奪魂
BUD_COND_STONE	石化
BUD_COND_BLINDNESS	黑暗
BUD_COND_DISABLESKILL	沉默
BUD_COND_DISABLEMOVE	禁止移動
BUD_COND_DISABLEATTACK	禁止攻擊
BUD_COND_ZOMBIE	僵尸化
BUD_COND_DEATHSENTENCE	死亡宣判
BUD_COND_BERSERK	狂化
BUD_COND_DISABLEKNOCKBACK	擊退無效
BUD_COND_DISABLEBUFF	增益無效
BUD_COND_DISABLEDEBUFF	減益無效
BUD_COND_STOP	停止
BUD_COND_FAST	加速
BUD_COND_SLOW	減速
BUD_COND_AUTOHEAL	自動回復
BUD_COND_DONSOKU	鈍足
BUD_COND_RAGE	憤怒
BUD_COND_GOODSLEEP	熟睡
BUD_COND_AUTOJEWEL	魔力自動回復
BUD_COND_DISABLEHEAL	回復無效
BUD_COND_DISABLESINGLEATTACK	單體攻擊無效
BUD_COND_DISABLEAREAATTACK	范圍攻擊無效
BUD_COND_DISABLEDECCT	CT減少無效
BUD_COND_DISABLEINCCT	CT増加無效
BUD_COND_DISABLEESAFIRE	屬性特攻【火】無效
BUD_COND_DISABLEESAWATER	屬性特攻【水】無效
BUD_COND_DISABLEESAWIND	屬性特攻【風】無效
BUD_COND_DISABLEESATHUNDER	屬性特攻【雷】無效
BUD_COND_DISABLEESASHINE	屬性特攻【光】無效
BUD_COND_DISABLEESADARK	屬性特攻【暗】無效

BUD_COND_DESC	<color=yellow>{0}：</color>{1}
BUD_COND_DESC_SHIELD	對於特定的攻擊，阻擋傷害<br>的狀態。阻攔率和次數、上限數等根據<br>盾牌的種類不同而不同。
BUD_COND_DESC_POISON	受到一定次數毒的傷害。
BUD_COND_DESC_PARALYSED	狀態異常中一定概率下<br>無法行動。
BUD_COND_DESC_STUN	不能行動。
BUD_COND_DESC_SLEEP	睡眠中無法行動的狀態。<br>受到攻擊傷害的話會清醒。
BUD_COND_DESC_CHARM	以為我方是敵人而自動行動。
BUD_COND_DESC_STONE	無法行動。石化是不會<br>因為時間推移而解除的。全體都被石化的話就會<br>被視為死亡而被判定為失敗。
BUD_COND_DESC_BLINDNESS	攻擊的命中率下降。
BUD_COND_DESC_DISABLESKILL	無法使用技能
BUD_COND_DESC_DISABLEMOVE	無法移動。<br>此時可以攻擊。
BUD_COND_DESC_DISABLEATTACK	無法進行攻擊。<br>此時可以移動。
BUD_COND_DESC_ZOMBIE	變成僵尸的狀態。
BUD_COND_DESC_DEATHSENTENCE	無法解除的話，一定回合<br>后會死亡。
BUD_COND_DESC_BERSERK	變成不可操作的狀態，AI自動行動。
BUD_COND_DESC_DISABLEKNOCKBACK	擊退無效化。
BUD_COND_DESC_DISABLEBUFF	增益無效化。<br>（被動除外）
BUD_COND_DESC_DISABLEDEBUFF	減益無效化。<br>（被動除外）
BUD_COND_DESC_STOP	一定時間內回合不輪到自己，即<br>行動被跳過了。
BUD_COND_DESC_FAST	輪到自己的回合的速度<br>提升。
BUD_COND_DESC_SLOW	輪到自己的回合的速度<br>降低。
BUD_COND_DESC_AUTOHEAL	自己的HP自動回復。
BUD_COND_DESC_DONSOKU	可移動的范圍變窄。
BUD_COND_DESC_RAGE	只攻擊特定的敵人。
BUD_COND_DESC_GOODSLEEP	睡眠時有熟睡的效果。
BUD_COND_DESC_AUTOJEWEL	自己的魔力自動<br>回復。
BUD_COND_DESC_DISABLEHEAL	回復無效化。
BUD_COND_DESC_DISABLESINGLEATTACK	對單體攻擊無效化。
BUD_COND_DESC_DISABLEAREAATTACK	對范圍攻擊無效化。
BUD_COND_DESC_DISABLEDECCT	CT減少無效
BUD_COND_DESC_DISABLEINCCT	CT増加無效
BUD_COND_DESC_DISABLEESAFIRE	屬性特攻【火】無效
BUD_COND_DESC_DISABLEESAWATER	屬性特攻【水】無效
BUD_COND_DESC_DISABLEESAWIND	屬性特攻【風】無效
BUD_COND_DESC_DISABLEESATHUNDER	屬性特攻【雷】無效
BUD_COND_DESC_DISABLEESASHINE	屬性特攻【光】無效
BUD_COND_DESC_DISABLEESADARK	屬性特攻【暗】無效

;天氣相關	
WEATHER_DESC	<color=yellow>{0}：</color>{1}

