TITLE	幫助
MAIN_TEXT_12	除了劇情展開的副本以外，不同時間段會有不同限時副本。<br>■蘋果的帝園：可以獲得英靈經驗值上升的物品。<br>▼開放時間：<br>可挑戰次數依照遊戲內的說明爲主。<br><br>■黃金潮：能獲得可以交換金幣的出售用物品。<br>▼開放時間：<br>可挑戰次數依照遊戲內的說明爲主。挑戰次數在規定時間進行重置以後，也需要玩家重新登錄遊戲哦。
MENU_CATE_13	副本
MENU_13	日常副本
MAIN_TITLE_13	關於日常副本
MAIN_TEXT_13	『為了誰的鍊金術師』日常副本可以獲得進化所需要的各類材料。<br>■開放時間：可挑戰次數依照遊戲內的說明爲主。挑戰次數在規定時間進行重置以後，也需要玩家重新登錄遊戲哦。
MENU_CATE_14	副本
MENU_14	副本任務（達成獎勵）
MAIN_TITLE_14	副本任務（達成獎勵）
MAIN_TEXT_14	劇情副本中設置有3個達成條件的“副本任務”，通關“達成條件”後，可以獲得與條件相應的“達成獎勵”。另外，副本任務獎勵僅在首次條件達成時可以領取。
MENU_CATE_15	副本
MENU_15	關於AP
MAIN_TITLE_15	關於AP
MAIN_TEXT_15	AP會在挑戰副本等時候被消耗。另外，被消耗的AP會隨著時間（6分鍾1點）回復，使用幻晶石也可以回復。■AP回復量<br>一次的回復量是120，最大能到1000。<br>※最大AP未滿120的情況，會超過最大值回復。<br>例）最大AP為20的情況<br>則變成20+120（1次的回復量）140AP的狀態。<br>※超過最大值的情況，AP在回復到以低於最大值之前，不會進行時間回復。<br>另外，無法挑戰比自己最大AP值高的關卡。
MENU_CATE_16	副本
MENU_16	編成
MAIN_TITLE_16	編成
MAIN_TEXT_16	劇情副本中，會有1個固定英靈為主人公，外加自己擁有的3個英靈，傭兵1個，此為5人陣容的主要英靈。主要英靈死亡的時候，可登場的後備陣容有2個英靈。可以編輯最多7人的隊伍來挑戰劇情副本中的關卡。
MENU_CATE_17	副本
MENU_17	關於傭兵
MAIN_TITLE_17	關於傭兵
MAIN_TEXT_17	“傭兵”是可以通過消耗金幣使其編入隊伍的英靈。另外，根據雇傭的傭兵等級，需要消耗的金錢也不同。此外，10級以下的傭兵英靈可以免費雇傭。
MENU_CATE_18	副本
MENU_18	關於候補陣容
MAIN_TITLE_18	關於候補陣容
MAIN_TEXT_18	候補陣容是在主要英靈死亡後登場的後備英靈。劇情副本的時候，最多可以帶2個候補陣容到副本中。
MENU_CATE_19	副本
MENU_19	總攻擊力
MAIN_TITLE_19	總攻擊力
MAIN_TEXT_19	“總攻擊力”是隊伍編成的所有英靈的合計攻擊力。<br>考慮英靈職業的平衡，編輯出總攻擊力高的隊伍。
MENU_CATE_20	副本
MENU_20	道具編成
MAIN_TITLE_20	道具編成
MAIN_TEXT_20	
MENU_CATE_21	副本
MENU_21	關於行動順序
MAIN_TITLE_21	關於行動順序
MAIN_TEXT_21	戰鬥中的行動順序，根據玩家英靈和敵人英靈的速度順序來決定。行動順序透過在回合中有無移動，或者使用攻擊、能力、道具等可能產生變化。
MENU_CATE_22	副本
MENU_22	英靈的移動
MAIN_TITLE_22	英靈的移動
MAIN_TEXT_22	英靈根據職業，移動範圍和可移動的高低差會變化。利用職業的移動、高低差的特性，制訂完美戰略吧！
MENU_CATE_23	副本
MENU_23	地形的高低差（height：高度）
MAIN_TITLE_23	地形的高低差（height：高度）
MAIN_TEXT_23	
MENU_CATE_24	副本
MENU_24	英靈的朝向
MAIN_TITLE_24	英靈的朝向
MAIN_TEXT_24	敵軍英靈一般都在背後，所以最好背靠牆壁，或者和隊友英靈背靠背是最有效的。
MENU_CATE_25	副本
MENU_25	等待回合（WT）	
MAIN_TITLE_25	等待回合（WT）	
MAIN_TEXT_25	
MENU_CATE_26	副本
MENU_26	主動回合（AT）
MAIN_TITLE_26	主動回合（AT）
MAIN_TEXT_26	
MENU_CATE_27	副本
MENU_27	靈魂魔力(SP)
MAIN_TITLE_27	靈魂魔力(SP)
MAIN_TEXT_27	發動能力的時候所必要的東西，在對敵人發動攻擊或發動部分能力時可以獲得。另外，根據攻擊方向是從正面、側面、還是背面，獲得的靈魂魔力可能會發生變化。
MENU_CATE_28	副本
MENU_28	魔法的目標設定
MAIN_TITLE_28	魔法的目標設定
MAIN_TEXT_28	發動魔法系技能的時候，可選擇“英靈”或者“範圍”為對象。英靈的話，英靈在移動的時候也會追隨著目標。在魔法發動前，目標移動的情況下此魔法無效，但進入範圍的時候會影響到技能。
MENU_CATE_29	副本
MENU_29	關於魔法的使用
MAIN_TITLE_29	關於魔法的使用
MAIN_TEXT_29	
MENU_CATE_30	副本
MENU_30	關於道具的使用
MAIN_TITLE_30	關於道具的使用
MAIN_TEXT_30	在戰鬥中道具用完、如果下次副本挑戰時持有該道具，則在可持有數範圍內可以自動補充。
MENU_CATE_31	副本
MENU_31	關於屬性
MAIN_TITLE_31	關於屬性
MAIN_TEXT_31	
MENU_CATE_32	副本
MENU_32	戰鬥預測
MAIN_TITLE_32	戰鬥預測
MAIN_TEXT_32	進行普通攻擊的時候，會顯示戰鬥預測的傷害值。但是，實際情況和戰鬥預測值可能會有所不同。
MENU_CATE_33	副本
MENU_33	關於會心
MAIN_TITLE_33	關於會心
MAIN_TEXT_33	根據玩家英靈和敵人英靈在攻擊時的“會心”值，能產生比普通攻擊更大的傷害。這個值越大，會心發生的機率越高。
MENU_CATE_34	副本
MENU_34	關於連攜攻擊
MAIN_TITLE_34	關於連攜攻擊
MAIN_TEXT_34	隊友英靈相互靠近的情況下可以發動“連攜攻擊”。<br>連攜值越高，連攜攻擊的發動率越高。<br>另外，進行界限突破時候可以提高連攜值，可連攜的範圍會變大。
MENU_CATE_35	副本
MENU_35	英靈的失敗（英靈死亡）
MAIN_TITLE_35	英靈的失敗（英靈死亡）
MAIN_TEXT_35	主人公的HP為0或者玩家英靈全體死亡的情況下，遊戲結束。但是，設置了候補陣容的情況下，可以替換死亡的英靈參加戰鬥，讓戰鬥繼續。
MENU_CATE_36	副本
MENU_36	關於視點的切換
MAIN_TITLE_36	關於視點的切換
MAIN_TEXT_36	旋轉地圖可以改變鏡頭的視點。使用這個功能，可以旋轉地圖，之前那個角度無法看到的死角也能看得到。玩家可以選擇有利的視點。
MENU_CATE_37	副本
MENU_37	自動戰鬥
MAIN_TITLE_37	自動戰鬥
MAIN_TEXT_37	曾經通關過的關卡可以讓其自動戰鬥。設定自動戰鬥後，可以讓戰鬥自動進行。可以從地圖的右上方選單設定。
MENU_CATE_38	副本
MENU_38	撤退
MAIN_TITLE_38	撤退
MAIN_TEXT_38	想要中途停止戰鬥的時候，通過地圖右上的選單，選擇撤退，可以結束此副本的戰鬥。撤退戰鬥後，出擊時消耗的AP不會返還。另外，戰鬥馬上要結束時進行撤退，有可能會消耗全部的AP。
MENU_CATE_39	副本
MENU_39	地圖上的靈魂魔力(SP)
MAIN_TITLE_39	地圖上的靈魂魔力(SP)
MAIN_TEXT_39	在地圖上可以獲得靈魂魔力。在靈魂魔力中，不僅能增加靈魂魔力的持有數，還能在戰鬥中給玩家英靈附加特殊效果。
MENU_CATE_40	副本
MENU_40	地圖上的寶箱
MAIN_TITLE_40	地圖上的寶箱
MAIN_TEXT_40	移動到地圖上的“寶箱”位置，則行動結束後，可以獲得此寶箱，副本中可獲得的道具數會增加。一邊調整與敵人的戰鬥，在通關前獲取寶箱吧。
MENU_CATE_41	副本
MENU_41	繼續
MAIN_TITLE_41	繼續
MAIN_TEXT_41	即使戰鬥結束，使用幻晶石可以回到戰鬥結束前夕，HP滿滿的狀態下繼續戰鬥。
MENU_CATE_42	副本
MENU_42	關於掃蕩券
MAIN_TITLE_42	關於掃蕩券
MAIN_TEXT_42	使用“掃蕩券”後，雖然會消耗AP，但可以直接跳過副本戰鬥，通關戰鬥，獲得經驗值、道具。但是只能在通關過的劇情副本和部分活動副本中使用。
MENU_CATE_43	副本
MENU_43	玩家升級
MAIN_TITLE_43	玩家升級
MAIN_TEXT_43	累積玩家經驗值，可以升級玩家等級。玩家經驗值可以透過通關劇情副本、通關“每日”任務和“成就”任務等獲得。
MENU_CATE_44	副本
MENU_44	英靈升級
MAIN_TITLE_44	英靈升級
MAIN_TEXT_44	累積英靈經驗值（英靈EXP），可以升級。英靈經驗值可以透過通關劇情副本、使用英靈經驗值道具來獲得。但是英靈等級上限不得超過玩家等級。
MENU_CATE_45	副本
MENU_45	獲得道具
MAIN_TITLE_45	獲得道具
MAIN_TEXT_45	獲得道具是指透過各種副本的“達成條件（副本任務）”後獲得之獎勵，以及在副本中打倒敵人、獲取寶箱等事件來獲得的道具。
MENU_CATE_46	副本
MENU_46	獲得玩家EXP
MAIN_TITLE_46	獲得玩家EXP
MAIN_TEXT_46	獲得玩家EXP是指通關“任務”、劇情副本等獲得玩家升級所必要的經驗值
MENU_CATE_47	副本
MENU_47	獲得英靈EXP
MAIN_TITLE_47	獲得英靈EXP
MAIN_TEXT_47	獲得英靈EXP是指使用蘋果道具、通關劇情副本等獲得英靈升級所必要的經驗值
MENU_CATE_48	副本
MENU_48	英靈強化
MAIN_TITLE_48	英靈強化
MAIN_TEXT_48	
MENU_CATE_49	英靈
MENU_49	進化
MAIN_TITLE_49	進化
MAIN_TEXT_49	透過進化可以提高英靈的稀有度。可進化的上限是☆數決定。為了進化，要把英靈等級提升到最大，除了金幣還需要其他進化素材。進化素材可以根據星期副本等途徑來獲得。<br><br>進化必要的等級如下<br>☆1→☆2的進化  10Lv<br>☆2→☆3的進化  20Lv<br>☆3→☆4的進化  30Lv<br>☆4→☆5的進化  50Lv<br>※英靈等級無法超過玩家等級
MENU_CATE_50	英靈
MENU_50	界限突破
MAIN_TITLE_50	界限突破
MAIN_TEXT_50	
MENU_CATE_51	英靈
MENU_51	魂之碎片
MAIN_TITLE_51	魂之碎片
MAIN_TEXT_51	魂之碎片是英靈界限突破時必要的道具。收集魂之碎片，也可以鍊成碎片。“魂之碎片”通過商店或者“召喚”獲得。<br>※召喚已持有的英靈時，根據稀有度相返還對應數量的“魂之碎片”。<br><br>■每個稀有度的魂之碎片個數<br>・★★★　　＝15個<br>・★★★★　＝20個<br>・★★★★★＝25個
MENU_CATE_52	英靈
MENU_52	職業
MAIN_TITLE_52	職業
MAIN_TEXT_52	職業是指英靈持有的職業，分為一職、二職、三職三種。英靈最少持有2個職業，初期職業以外的職業是被鎖住的。解鎖職業需要進行規定次數的界限突破。
MENU_CATE_53	英靈
MENU_53	職業等級
MAIN_TITLE_53	職業等級
MAIN_TEXT_53	
MENU_CATE_54	英靈
MENU_54	職業解放
MAIN_TITLE_54	職業解放
MAIN_TEXT_54	
MENU_CATE_55	英靈
MENU_55	轉職
MAIN_TITLE_55	轉職
MAIN_TEXT_55	英靈經過一定次數的界限突破後，裝備了各職業的證之後，可以解鎖職業。就能進行轉職。
MENU_CATE_56	英靈
MENU_56	不同職業的影響
MAIN_TITLE_56	不同職業的印象
MAIN_TEXT_56	職業有固定的能力，英靈的屬性輔正會變化。<br>例：職業“盜賊”<br>具備速度快和高彈跳力，在戰場屬於支援型職業。<br>優點：速度、靈活的值容易變高<br>缺點：HP值低
MENU_CATE_57	英靈
MENU_57	關於職業的攻擊種類
MAIN_TITLE_57	關於職業的攻擊種類
MAIN_TEXT_57	各職業裡，有下述的攻擊種類。<br><br>【斬擊】<br>戰士 / 聖騎士 / 上級聖騎 / 暗黑騎士<br>上級暗騎 / 魔法劍士 / 雙劍士 / 盜賊<br>忍者 / 侍 / 舞者 / 花嫁 / 花婿 / 海賊 / 斧戰士<br>占星術師/死靈法師/ 劍豪 / 武聖<br><br>【刺擊】<br>槍術士 / 龍騎士 / 上級龍騎 / 武神<br><br> 【打擊】<br>武鬥家 / 拳聖 / 巫女 / 牧師 / 主教 <br>賦予師 / 魔道士 / 奇術師 / 賢者 / 召喚師<br>商人 / 鍛造師 / 神子 /鎧魔道師<br><br>【射擊】<br>弓箭手 / 槍手 / 狙擊手<br>工匠 / 機械師 / 旅人 / 獵人<br><br>【特殊】<br>馴獸師 /藥師 /教授 / 吟遊詩人
MENU_CATE_58	英靈
MENU_58	能力強化
MAIN_TITLE_58	能力強化
MAIN_TEXT_58	
MENU_CATE_59	英靈
MENU_59	能力設置
MAIN_TITLE_59	能力設置
MAIN_TEXT_59	
MENU_CATE_60	英靈
MENU_60	隊長技能
MAIN_TITLE_60	隊長技能
MAIN_TEXT_60	隊長技能為稀有度3星以上的英靈所持有的技能。靈活利用隊長技能，可以使英靈編成的屬性上升，還有各式各樣的效果。
MENU_CATE_61	英靈
MENU_61	好友技能
MAIN_TITLE_61	好友技能
MAIN_TEXT_61	<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>好友技能是，雇傭的好友所持有的隊長技能，所獲得的技能效果。
MENU_CATE_62	英靈
MENU_62	發動技能
MAIN_TITLE_62	發動技能
MAIN_TEXT_62	<br><br><br><br><br><br><br><br><br><br><br><br><br>發動技能是指，此英靈的職業於戰鬥中玩家可選擇使用的能力。但是，“發動技能”的使用需要一定數量的靈魂魔力。
MENU_CATE_63	英靈
MENU_63	反應能力
MAIN_TITLE_63	反應能力
MAIN_TEXT_63	<br><br><br>“反應能力”是在受到對方攻擊的情況下，發動效果的能力。每個英靈最多可以持有1個反應能力
MENU_CATE_64	英靈
MENU_64	支援能力
MAIN_TITLE_64	支援能力
MAIN_TEXT_64	只有持有支援能力的英靈，可以獲得非攻擊系的特殊能力。每個英靈最多可以有2個支援能力。另外，存在只有特定職業才能發揮的能力。<br>（例  鷹眼：射程+1⇒射擊系職業的情況下會發揮效果
MENU_CATE_65	英靈
MENU_65	關於裝備
MAIN_TITLE_65	關於裝備
MAIN_TEXT_65	裝備職業專屬裝備品，可以提高英靈的屬性。<br>〈各種顏色的顯示〉<br>綠色：持有裝備品而且是滿級狀態。<br>黃色：雖然持有裝備品，但是未滿可裝備等級。<br>顯示無：未持有裝備品。<br>※即使未持有裝備品，通過素材合成可以製作成必要裝備是顯示為黃色+。
MENU_CATE_66	英靈
MENU_66	關於裝備道具
MAIN_TITLE_66	關於裝備道具
MAIN_TEXT_66	裝備道具可以透過副本、商店獲得。裝備職業專屬裝備品後，英靈的數值會上升。但是，每個職業可以裝備的道具有規定個數，一旦裝備上就無法取下。
MENU_CATE_67	英靈
MENU_67	裝備品強化
MAIN_TITLE_67	裝備品強化
MAIN_TEXT_67	透過店內的“裝備品強化”，將各英靈的裝備道具進行強化，提升屬性值。裝備品強化中，需要消耗作為強化費用的金幣和強化素材。<br>職業等級上升時，上升的屬性值無法繼承。
MENU_CATE_68	英靈
MENU_68	強化積分
MAIN_TITLE_68	強化積分
MAIN_TEXT_68	強化積分是，強化裝備道具所需要的積分（經驗值）。各“強化素材”的積分不同，強化積分累積到指定值後，可以進行強化。（例：Lv1→Lv2）
MENU_CATE_69	英靈
MENU_69	強化道具的退還
MAIN_TITLE_69	強化道具的退還
MAIN_TEXT_69	職業升級時，存在強化過的裝備的話，裝備強化時所使用的強化素材（鍊金壺等）會返還。
MENU_CATE_70	英靈
MENU_70	素材合成
MAIN_TITLE_70	素材合成
MAIN_TEXT_70	可以使用素材合成製作裝備品。裝備品或者素材道具可以透過副本或者限時副本來獲得。另外，也可以在商店購買。<br>※英靈＞職業＞點擊裝備圖標＞素材合成，可以製作。
MENU_CATE_71	武具
MENU_71	武具
MAIN_TITLE_71	武具
MAIN_TEXT_71	武具所持有的上限數是300個，如果獲得武具超過上限，則會換成碎片。
MENU_CATE_72	武具
MENU_72	武具煉成
MAIN_TITLE_72	武具煉成
MAIN_TEXT_72	
MENU_CATE_73	武具
MENU_73	武具強化
MAIN_TITLE_73	武具強化
MAIN_TEXT_73	
MENU_CATE_74	武具
MENU_74	武具進化
MAIN_TITLE_74	武具進化
MAIN_TEXT_74	
MENU_CATE_75	武具
MENU_75	武具分解
MAIN_TITLE_75	武具分解
MAIN_TEXT_75	
MENU_CATE_76	武具
MENU_76	武具的裝備
MAIN_TITLE_76	武具的裝備
MAIN_TEXT_76	
MENU_CATE_77	競技場
MENU_77	競技場規則
MAIN_TITLE_77	競技場規則
MAIN_TEXT_77	競技場中，自己與其他玩家進行3對3的自動戰鬥。玩家編成隊伍，與對戰對手進行戰鬥。贏到最後的隊伍獲勝。但是，行動次數以內未打倒對戰對手時為防禦方勝利。
MENU_CATE_78	競技場
MENU_78	BP
MAIN_TITLE_78	BP
MAIN_TEXT_78	競技場中，最多可持有5BP（戰鬥積分），每場戰鬥消耗1BP戰鬥。BP每天0點重置。
MENU_CATE_79	競技場
MENU_79	隊伍編成
MAIN_TITLE_79	隊伍編成
MAIN_TEXT_79	向對手玩家發起挑戰的時候，使用已經編輯好的攻擊隊伍。反之，如果被發起挑戰，則使用已經編輯好的防禦隊伍。
MENU_CATE_80	競技場
MENU_80	競技場排行榜
MAIN_TITLE_80	競技場排行榜
MAIN_TEXT_80	排行榜中，參與競技場的全體玩家排名可以在“綜合排行榜”中確認。不僅是自己挑戰別人的結果，被別人挑戰的結果也會影響到排行榜排名。
MENU_CATE_81	競技場
MENU_81	關於排行榜獎勵
MAIN_TITLE_81	關於排行榜獎勵
MAIN_TEXT_81	獎勵包括，自己更新了自己的最佳排名時的獎勵、每日排行榜中獲得的獎勵。每日排行榜是根據每天“晚上9點”時的排行榜進行獎勵發放，獎勵發放有一定的時間延遲，請耐心等待哦。
MENU_CATE_82	競技場
MENU_82	記錄
MAIN_TITLE_82	記錄
MAIN_TEXT_82	自己發起的挑戰（攻擊）、被他人挑戰（防禦）的對戰記錄確認
MENU_CATE_83	競技場
MENU_83	競技場幣
MAIN_TITLE_83	競技場幣
MAIN_TEXT_83	競技場幣是競技場專用的“兌換所”中可以使用的、進行道具交換的貨幣。競技場幣是在競技場勝利時可以獲得。持有數可以在兌換所內確認。
MENU_CATE_84	競技場
MENU_84	兌換所（競技場）
MAIN_TITLE_84	兌換所（競技場）
MAIN_TEXT_84	在競技場內的兌換所，可以兌換競技場獲得的競技場幣或者道具。另外，英靈的“魂之碎片”或者“證”道具等也可以進行兌換。
MENU_CATE_85	協力模式
MENU_85	協力模式
MAIN_TITLE_85	協力模式
MAIN_TEXT_85	協力模式中，最多4人隊伍，進行通關副本的協力戰鬥。通關條件是敵人英靈全滅。相反，所有玩家英靈死亡的話則失敗。<br>※參與協力模式不消耗AP，但召集隊伍的隊長需要消耗AP。
MENU_CATE_86	協力模式
MENU_86	協力模式副本規則
MAIN_TITLE_86	協力模式副本規則
MAIN_TEXT_86	協力模式的規則概要如下。<br>■各玩家的操作時間為行動開始時10秒、移動時+10秒、行動選擇時+10秒。限制時間過後自動操作。<br>■無法使用道具。<br>■參加的全體成員可獲得通關時所得的道具。
MENU_CATE_87	協力模式
MENU_87	關於參加協力模式
MAIN_TITLE_87	關於參加協力模式
MAIN_TEXT_87	參與協力模式有兩種方法。<br>■募集隊伍：創建隊伍，號召玩家們來加入。<br>■加入隊伍：加入玩家開啟的隊伍。點擊“更新房間列表”按鈕，則隊伍的頁面會更新。
MENU_CATE_88	協力模式
MENU_88	募集方法：邀請好友
MAIN_TITLE_88	募集方法：邀請好友
MAIN_TEXT_88	“邀請好友”中可以通過通訊工具告知其他好友創建隊伍信息，從而邀請好友一起遊戲。
MENU_CATE_89	協力模式
MENU_89	募集方法2：線下募集
MAIN_TITLE_89	募集方法2：線下募集
MAIN_TEXT_89	“線下募集”中，線下邀約好友，可以組隊參與協力模式一起遊戲哦。
MENU_CATE_90	協力模式
MENU_90	入室限制
MAIN_TITLE_90	入室限制
MAIN_TEXT_90	協力模式的隊伍中，除了“誰都能加入”，還有只有好友才能參加的“PASS設定”。PASS設定中，如果將入室限制設定為ON，那麼會自動生成號碼。將這個號碼告訴好友吧。
MENU_CATE_91	協力模式
MENU_91	轉職 共鬥副本
MAIN_TITLE_91	轉職 共鬥副本
MAIN_TEXT_91	轉職共鬥副本是可以獲得轉職所必須的證明的副本。想要證明道具，就挑戰這裡的協力模式副本吧。
MENU_CATE_92	協力模式
MENU_92	進化 共鬥副本
MAIN_TITLE_92	進化 共鬥副本
MAIN_TEXT_92	轉職共鬥副本是可以獲得進化所必須的進化素材的副本。想要進化素材，就挑戰這裡的協力模式副本吧。
MENU_CATE_93	協力模式
MENU_93	協力模式幣
MAIN_TITLE_93	協力模式幣
MAIN_TEXT_93	協力模式幣僅在協力模式用的兌換所可以使用的貨幣。協力模式幣可以透過通關協力模式副本獲得。累積協力模式幣，可以與兌換所的道具進行兌換。
MENU_CATE_94	協力模式
MENU_94	兌換所（協力模式）
MAIN_TITLE_94	兌換所（協力模式）
MAIN_TEXT_94	協力模式內的兌換所中，可以用協力模式副本中獲得的協力模式幣與道具進行兌換。此外，還能與英靈的靈魂碎片進行兌換。
MENU_CATE_95	對戰
MENU_95	對戰說明
MAIN_TITLE_95	對戰說明
MAIN_TEXT_95	“對戰”規則概要如下。 <br>■最多可以編輯5人。 <br>■從編輯頁面的“英靈配置”中，可以設置英靈在地圖上的配置。 <br>■普通攻擊下無法發動協作。 <br>■最大行動次數以內依然無法確定勝負的情況下，以剩餘HP多的一方為勝，還是一樣的情況下為平局。 <br>■各玩家的指令輸入時間是，行動開始時10秒，移動時+10秒，行動選擇時+10秒。
MENU_CATE_96	對戰
MENU_96	自由對戰
MAIN_TITLE_96	自由對戰
MAIN_TEXT_96	自由對戰中，可以隨機與其他玩家匹配對戰。<br>創建房間，共享密碼或專用URL則可以進行對戰。
MENU_CATE_97	對戰
MENU_97	好友對戰
MAIN_TITLE_97	好友對戰
MAIN_TEXT_97	好友對戰則是邀請好友進行對戰。<br>創建房間，共享密碼或專用URL則可以進行對戰。<br>另外，共享有以下兩種方法，可以從“呼叫好友”中選擇。<br>■通過LINE募集：使用“LINE”的功能，呼叫好友來參戰。<br>■複製URL：複製到剪貼板的URL發送給好友們，就能讓其來參戰了
MENU_CATE_98	召喚
MENU_98	稀有召喚
MAIN_TITLE_98	稀有召喚
MAIN_TEXT_98	消耗幻晶石，可以獲得3★以上的英靈。還可能獲得魂之碎片。<br>每天1次可以透過使用付費幻晶石，進行相當划算的召喚。次數的重置是每天0點。
MENU_CATE_99	召喚
MENU_99	普通召喚
MAIN_TITLE_99	普通召喚
MAIN_TEXT_99	消耗金幣，可以獲得英靈或者魂之碎片或者裝備品等。每天5次，可免費抽取。<br>次數重置為每天0點。
MENU_CATE_100	商店
MENU_100	各種商店
MAIN_TITLE_100	各種商店
MAIN_TEXT_100	
MENU_CATE_101	商店
MENU_101	金幣
MAIN_TITLE_101	金幣
MAIN_TEXT_101	金幣是在《為了誰的鍊金術師》的世界裡，相當於“貨幣”的東西。除了能在商店裡購買道具，在英靈養成、英靈召喚時也可以使用。
MENU_CATE_102	商店
MENU_102	賣出
MAIN_TITLE_102	賣出
MAIN_TEXT_102	透過賣出通關副本時獲得的道具，可以獲得金幣
MENU_CATE_103	商店
MENU_103	幻晶石商店
MAIN_TITLE_103	幻晶石商店
MAIN_TEXT_103	幻晶石除了可用於英靈的「召喚」外，也可用於兌換「金幣」，AP的回復等。<br>※幻晶石從免費獲得的部分先開始消費。<br>※消費幻晶石時，免費部分的幻晶石不足時，將消耗不足部分相應的付費石。
MENU_CATE_104	商店
MENU_104	魂之兌換所
MAIN_TITLE_104	魂之兌換所
MAIN_TEXT_104	在魂之兌換所，透過消耗靈魂幣可以購買道具或者英靈的魂之碎片。靈魂幣，英靈界限突破等級變成最大英靈的魂之碎片時可以獲得。兌換所的商品會在特定時間（9點、12點、18點、21點）刷新，刷新的商品為隨機。也可以使用靈魂幣進行刷新。每次進行刷新所需要的靈魂幣不同，日期變化後，會重置為第一次時所需的量。
MENU_CATE_105	好友
MENU_105	好友功能
MAIN_TITLE_105	好友功能
